canonical_game_id,season_label,game_date,date_precision,team_a_key,team_b_key,team_a_score,team_b_score,result_winner_team_key,overtime_periods,site_type,designated_home_team_key,venue_key,site_city,site_state,game_type,postseason_round,administrative_status,administrative_note,canonical_status,notes
CBBG-0000001,1906-1907,1907-01-12,EXACT,central-methodist,missouri,5,65,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000002,1906-1907,1907-01-18,EXACT,missouri,washington-university-of-st-louis,24,28,washington-university-of-st-louis,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000003,1906-1907,1907-02-02,EXACT,k-c-athletic-club,missouri,35,34,k-c-athletic-club,0,TEAM_A_HOME,k-c-athletic-club,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000004,1906-1907,1907-02-04,EXACT,baker,missouri,43,28,baker,0,TEAM_A_HOME,baker,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000005,1906-1907,1907-02-05,EXACT,emporia-state,missouri,26,40,missouri,0,TEAM_A_HOME,emporia-state,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000006,1906-1907,1907-02-06,EXACT,fort-riley,missouri,6,66,missouri,0,TEAM_A_HOME,fort-riley,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000007,1906-1907,1907-02-07,EXACT,kansas-state,missouri,34,19,kansas-state,0,TEAM_A_HOME,kansas-state,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000008,1906-1907,1907-02-08,EXACT,haskell,missouri,47,40,haskell,0,TEAM_A_HOME,haskell,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000009,1906-1907,1907-02-09,EXACT,central-missouri,missouri,18,43,missouri,0,TEAM_A_HOME,central-missouri,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000010,1906-1907,1907-02-14,EXACT,missouri,missouri-athletic-club,35,29,missouri,0,TEAM_B_HOME,missouri-athletic-club,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000011,1906-1907,1907-02-15,EXACT,missouri,washington-university-of-st-louis,37,30,missouri,0,TEAM_B_HOME,washington-university-of-st-louis,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000012,1906-1907,1907-03-02,EXACT,k-c-athletic-club,missouri,26,46,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000013,1906-1907,1907-03-11,EXACT,kansas,missouri,31,34,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000014,1906-1907,1907-03-12,EXACT,kansas,missouri,12,34,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000015,1906-1907,1907-03-19,EXACT,haskell,missouri,21,30,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000016,1906-1907,1907-03-23,EXACT,missouri,missouri-athletic-club,22,32,missouri-athletic-club,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000017,1907-1908,1907-12-12,EXACT,joplin-ymca,missouri,21,42,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000018,1907-1908,1907-12-13,EXACT,missouri,missouri-rolla,39,18,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000019,1907-1908,1907-12-14,EXACT,missouri,missouri-rolla,75,11,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000020,1907-1908,1907-12-17,EXACT,central-missouri,missouri,16,34,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000021,1907-1908,1908-01-28,EXACT,missouri,missouri-athletic-club,31,30,missouri,0,TEAM_B_HOME,missouri-athletic-club,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000022,1907-1908,1908-01-29,EXACT,missouri,washington-university-of-st-louis,22,30,washington-university-of-st-louis,0,TEAM_B_HOME,washington-university-of-st-louis,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000023,1907-1908,1908-01-30,EXACT,iowa,missouri,46,15,iowa,0,TEAM_A_HOME,iowa,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000024,1907-1908,1908-01-31,EXACT,missouri,nebraska,30,41,nebraska,0,TEAM_B_HOME,nebraska,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000025,1907-1908,1908-02-01,EXACT,missouri,nebraska,31,43,nebraska,0,TEAM_B_HOME,nebraska,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000026,1907-1908,1908-02-03,EXACT,k-c-athletic-club,missouri,27,46,missouri,0,TEAM_A_HOME,k-c-athletic-club,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000027,1907-1908,1908-02-04,EXACT,kansas,missouri,21,20,kansas,0,TEAM_A_HOME,kansas,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000028,1907-1908,1908-02-05,EXACT,kansas,missouri,24,18,kansas,0,TEAM_A_HOME,kansas,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000029,1907-1908,1908-02-06,EXACT,central-missouri,missouri,16,46,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000030,1907-1908,1908-02-08,EXACT,baker,missouri,28,38,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000031,1907-1908,1908-02-15,EXACT,missouri,missouri-athletic-club,24,36,missouri-athletic-club,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000032,1907-1908,1908-02-17,EXACT,kansas,missouri,30,19,kansas,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000033,1907-1908,1908-02-18,EXACT,kansas,missouri,26,22,kansas,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000034,1907-1908,1908-02-22,EXACT,k-c-athletic-club,missouri,34,28,k-c-athletic-club,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000035,1908-1909,1908-12-18,EXACT,central-missouri,missouri,16,38,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000036,1908-1909,1908-12-19,EXACT,central-missouri,missouri,12,46,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000037,1908-1909,1909-01-09,EXACT,iowa-state,missouri,14,53,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000038,1908-1909,1909-01-16,EXACT,missouri,washington-university-of-st-louis,25,34,washington-university-of-st-louis,0,TEAM_B_HOME,washington-university-of-st-louis,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000039,1908-1909,1909-01-17,EXACT,missouri,washington-university-of-st-louis,26,44,washington-university-of-st-louis,0,TEAM_B_HOME,washington-university-of-st-louis,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000040,1908-1909,1909-01-22,EXACT,missouri,missouri-rolla,43,12,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000041,1908-1909,1909-01-23,EXACT,missouri,missouri-rolla,49,22,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000042,1908-1909,1909-02-01,EXACT,missouri,nebraska,26,24,missouri,0,TEAM_B_HOME,nebraska,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000043,1908-1909,1909-02-02,EXACT,kansas-state,missouri,29,31,missouri,0,TEAM_A_HOME,kansas-state,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000044,1908-1909,1909-02-03,EXACT,kansas,missouri,24,15,kansas,0,TEAM_A_HOME,kansas,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000045,1908-1909,1909-02-04,EXACT,kansas,missouri,31,23,kansas,0,TEAM_A_HOME,kansas,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000046,1908-1909,1909-02-06,EXACT,central-missouri,missouri,14,36,missouri,0,TEAM_A_HOME,central-missouri,,,,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000047,1908-1909,1909-02-12,EXACT,kansas,missouri,24,19,kansas,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000048,1908-1909,1909-02-13,EXACT,kansas,missouri,21,37,missouri,0,TEAM_B_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000049,1908-1909,1909-02-17,EXACT,missouri,washington-university-of-st-louis,36,16,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000050,1909-1910,1910-01-10,EXACT,missouri,william-jewell,42,19,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000051,1909-1910,1910-01-11,EXACT,missouri,william-jewell,37,35,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000052,1909-1910,1910-01-13,EXACT,missouri,washington-university-of-st-louis,25,10,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
CBBG-0000053,1909-1910,1910-01-14,EXACT,missouri,washington-university-of-st-louis,30,9,missouri,0,TEAM_A_HOME,missouri,rothwell-gymnasium,Columbia,MO,REGULAR_SEASON,,,,PROVISIONAL,
