canonical_game_id,venue_id,venue_key,site_city,site_state,source_authority,source_index_url,source_document_title,source_document_url,source_locator,source_scope,resolution_basis,notes
CBBG-0003431,VEN-000143,municipal-auditorium-kc,Kansas City,MO,NCAA,https://www.ncaa.org/championships/statistics-and-records/mens-basketball/,Division I Men's Basketball Attendance and Sites,https://fs.ncaa.org.s3.amazonaws.com/Docs/stats/m_final4/AttendSites.pdf,1941 NCAA tournament; attendance/site records,Official NCAA Division I men's basketball tournament attendance and site records,Owner-resolved NCAA archival site audit mapped to the global physical venue registry.,
CBBG-0003432,VEN-000143,municipal-auditorium-kc,Kansas City,MO,NCAA,https://www.ncaa.org/championships/statistics-and-records/mens-basketball/,Division I Men's Basketball Attendance and Sites,https://fs.ncaa.org.s3.amazonaws.com/Docs/stats/m_final4/AttendSites.pdf,1941 NCAA tournament; attendance/site records,Official NCAA Division I men's basketball tournament attendance and site records,Owner-resolved NCAA archival site audit mapped to the global physical venue registry.,
CBBG-0015125,VEN-000215,tulane-gym,New Orleans,LA,NCAA,https://www.ncaa.org/championships/statistics-and-records/mens-basketball/,Division I Men's Basketball Attendance and Sites,https://fs.ncaa.org.s3.amazonaws.com/Docs/stats/m_final4/AttendSites.pdf,1942 NCAA tournament; attendance/site records,Official NCAA Division I men's basketball tournament attendance and site records,Owner-resolved NCAA archival site audit mapped to the global physical venue registry.,
CBBG-0006463,VEN-000215,tulane-gym,New Orleans,LA,NCAA,https://www.ncaa.org/championships/statistics-and-records/mens-basketball/,Division I Men's Basketball Attendance and Sites,https://fs.ncaa.org.s3.amazonaws.com/Docs/stats/m_final4/AttendSites.pdf,1942 NCAA tournament; attendance/site records,Official NCAA Division I men's basketball tournament attendance and site records,Owner-resolved NCAA archival site audit mapped to the global physical venue registry.,
CBBG-0006464,VEN-000215,tulane-gym,New Orleans,LA,NCAA,https://www.ncaa.org/championships/statistics-and-records/mens-basketball/,Division I Men's Basketball Attendance and Sites,https://fs.ncaa.org.s3.amazonaws.com/Docs/stats/m_final4/AttendSites.pdf,1942 NCAA tournament; attendance/site records,Official NCAA Division I men's basketball tournament attendance and site records,Owner-resolved NCAA archival site audit mapped to the global physical venue registry.,
CBBG-0003530,VEN-000143,municipal-auditorium-kc,Kansas City,MO,NCAA,https://www.ncaa.org/championships/statistics-and-records/mens-basketball/,Division I Men's Basketball Attendance and Sites,https://fs.ncaa.org.s3.amazonaws.com/Docs/stats/m_final4/AttendSites.pdf,1945 NCAA tournament; attendance/site records,Official NCAA Division I men's basketball tournament attendance and site records,Owner-resolved NCAA archival site audit mapped to the global physical venue registry.,
CBBG-0003531,VEN-000143,municipal-auditorium-kc,Kansas City,MO,NCAA,https://www.ncaa.org/championships/statistics-and-records/mens-basketball/,Division I Men's Basketball Attendance and Sites,https://fs.ncaa.org.s3.amazonaws.com/Docs/stats/m_final4/AttendSites.pdf,1945 NCAA tournament; attendance/site records,Official NCAA Division I men's basketball tournament attendance and site records,Owner-resolved NCAA archival site audit mapped to the global physical venue registry.,
CBBG-0003627,VEN-000143,municipal-auditorium-kc,Kansas City,MO,NCAA,https://www.ncaa.org/championships/statistics-and-records/mens-basketball/,Division I Men's Basketball Attendance and Sites,https://fs.ncaa.org.s3.amazonaws.com/Docs/stats/m_final4/AttendSites.pdf,1949 NCAA tournament; attendance/site records,Official NCAA Division I men's basketball tournament attendance and site records,Owner-resolved NCAA archival site audit mapped to the global physical venue registry.,
CBBG-0003628,VEN-000143,municipal-auditorium-kc,Kansas City,MO,NCAA,https://www.ncaa.org/championships/statistics-and-records/mens-basketball/,Division I Men's Basketball Attendance and Sites,https://fs.ncaa.org.s3.amazonaws.com/Docs/stats/m_final4/AttendSites.pdf,1949 NCAA tournament; attendance/site records,Official NCAA Division I men's basketball tournament attendance and site records,Owner-resolved NCAA archival site audit mapped to the global physical venue registry.,
CBBG-0006603,VEN-000123,madison-square-garden-1925,New York,NY,NCAA,https://www.ncaa.org/championships/statistics-and-records/mens-basketball/,Division I Men's Basketball Attendance and Sites,https://fs.ncaa.org.s3.amazonaws.com/Docs/stats/m_final4/AttendSites.pdf,1949 NCAA tournament; attendance/site records,Official NCAA Division I men's basketball tournament attendance and site records,Owner-resolved NCAA archival site audit mapped to the global physical venue registry.,
CBBG-0006604,VEN-000123,madison-square-garden-1925,New York,NY,NCAA,https://www.ncaa.org/championships/statistics-and-records/mens-basketball/,Division I Men's Basketball Attendance and Sites,https://fs.ncaa.org.s3.amazonaws.com/Docs/stats/m_final4/AttendSites.pdf,1949 NCAA tournament; attendance/site records,Official NCAA Division I men's basketball tournament attendance and site records,Owner-resolved NCAA archival site audit mapped to the global physical venue registry.,
CBBG-0006605,VEN-000078,hec-edmundson-pavilion,Seattle,WA,NCAA,https://www.ncaa.org/championships/statistics-and-records/mens-basketball/,Division I Men's Basketball Attendance and Sites,https://fs.ncaa.org.s3.amazonaws.com/Docs/stats/m_final4/AttendSites.pdf,1949 NCAA tournament; attendance/site records,Official NCAA Division I men's basketball tournament attendance and site records,Owner-resolved NCAA archival site audit mapped to the global physical venue registry.,
