source_row,conference,active_in_2027,filled_in_to_completion,notes
2,Atlantic Sun,Yes,No,"All rows are in the sheet, but not all rows are filled out - older history is wacky on Wikipedia, and this will require some research. Even in the 2000s I have conflicting information"
3,Border,No,No,Probably no tournament?
4,CAA,Yes,No,"formerly known as ECAC-South. All years have a row, but needs a bit of research"
5,East Coast (ECC),No,No,"ALL YEARS HAVE A ROW, BUT SOME ROWS ARE MISSING DATA OR UNSURE"
6,ECAC,No,No,What the flying fuck is this? We must research. Do these count as conference tournaments?????? They gave out autobids!
7,Patriot,Yes,No,"starting in 2005 we've got some top half of the bracket sharing one venue and bottom half sharing another venue, oh boy"
8,SIAA,No,No,"ALL YEARS HAVE A ROW, BUT SOME ROWS ARE MISSING DATA OR UNSURE"
9,Skyline,No,No,Probably no tournament?
10,SWAC,Yes,No,"Mostly complete, first two years missing, couple of research questions"
11,ACC,Yes,Yes,
12,America East,Yes,Yes,"Formerly known as ECAC North. Typical format was first through semis at one site, finals at campus site. Has been all campus sites since 2015"
13,American,Yes,Yes,
14,American South,No,Yes,
15,American West,No,Yes,
16,Atlantic 10,Yes,Yes,Formerly known as Eastern Collegiate Basketball League (Eastern 8)
17,Big 12,Yes,Yes,
18,Big East,Yes,Yes,
19,Big Eight,No,Yes,
20,Big Sky,Yes,Yes,
21,Big South,Yes,Yes,
22,Big Ten,Yes,Yes,
23,Big West,Yes,Yes,formerly known as the PCAA
24,Conference USA,Yes,Yes,
25,Great Midwest,No,Yes,
26,Great West,No,Yes,
27,Horizon,Yes,Yes,Formerly known as Midwest City and Midwest Collegiate
28,Ivy,Yes,Yes,
29,MAC,Yes,Yes,
30,MEAC,Yes,Yes,
31,Metro,Yes,Yes,Formerly known as MAAC
32,Metro (1975),No,Yes,
33,Missouri Valley,Yes,Yes,
34,Mountain West,Yes,Yes,
35,Northeast,Yes,Yes,Formerly known as the ECAC Metro
36,Ohio Valley,Yes,Yes,
37,Pac-12,Yes,Yes,formerly known as Pac-10
38,SEC,Yes,Yes,
39,Southern,Yes,Yes,"I *believe* every tournament has been played one site only, but I have not checked every one individually"
40,Southland,Yes,Yes,
41,Southwest,No,Yes,
42,Summit,Yes,Yes,Formerly known as Mid-Continent and AMCU-8
43,Sun Belt,Yes,Yes,
44,UAC,Yes,Yes,Formerly known as WAC
45,West Coast,Yes,Yes,Formerly known as WCAC
