program_key,conference_regular_season_championships,conference_tournament_championships,ncaa_tournament_appearances,final_four_appearances,national_championships,best_finish_key,best_finish_year,verification_status,verification_basis,canonical_crosscheck_status,notes
abilene-christian,0,2,2,0,0,ROUND_OF_32,2021,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
air-force,1,0,4,0,0,ROUND_OF_64,2006,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
akron,7,8,8,0,0,ROUND_OF_64,2026,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
alabama,10,9,27,1,0,FINAL_FOUR,2024,VERIFIED,"Owner verified the Alabama accomplishment row. Alabama Athletics SEC Records (https://rolltide.com/sports/2023/11/27/sec-records) establishes 9 SEC regular-season titles and 8 SEC Tournament titles; the owner-supplied Alabama historical record and 1929-30 championship history add the Southern Conference regular-season and tournament titles, for 10 and 9 respectively. Alabama Athletics NCAA Tournament History (https://rolltide.com/sports/2026/2/27/ncaa-tournament-history) supports the approved on-court NCAA fields: 27 appearances, 1 Final Four, 0 national titles, best finish FINAL_FOUR, most recent best-finish year 2024.",MATCH,Verified through onboarding plan 2ca6f0d6065d.
alabama-a-m,1,1,1,0,0,PLAY_IN_ROUND,2005,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
alabama-state,3,5,5,0,0,ROUND_OF_64,2025,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
alcorn-state,12,6,6,0,0,ROUND_OF_32,1980,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
american-university,8,4,4,0,0,ROUND_OF_64,2014,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
app-state,7,3,3,0,0,ROUND_OF_32,1979,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
arizona,30,10,40,5,1,NATIONAL_CHAMPION,1997,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
arizona-state,8,0,17,0,0,ELITE_EIGHT,1975,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
arkansas,24,8,37,6,1,NATIONAL_CHAMPION,1994,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,MATCH,
arkansas-pine-bluff,0,1,1,0,0,ROUND_OF_64,2010,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
arkansas-state,5,1,1,0,0,ROUND_OF_64,1999,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
army,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
auburn,6,3,14,2,0,FINAL_FOUR,2025,VERIFIED,"Owner-approved Auburn accomplishment reference: 14 NCAA appearances, 2 Final Fours, 0 national titles, Best Finish Final Four, Best Finish Year 2025, 6 cross-conference regular-season titles, and 3 conference-tournament titles; documented in schools/auburn/notes.md and the Auburn media-guide source package.",MATCH,Verified through onboarding plan 56819c828d70.
austin-peay,9,5,7,0,0,SWEET_SIXTEEN,1973,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
ball-state,7,7,7,0,0,SWEET_SIXTEEN,1990,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
baylor,7,0,17,3,1,NATIONAL_CHAMPION,2021,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
bellarmine,0,1,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
belmont,13,8,8,0,0,ROUND_OF_64,2019,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
bethune-cookman,3,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
binghamton,1,1,1,0,0,ROUND_OF_64,2009,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
boise-state,7,6,10,0,0,ROUND_OF_32,1976,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
boston-college,4,3,18,0,0,ELITE_EIGHT,1994,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
boston-university,8,7,7,0,0,ELITE_EIGHT,1959,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
bowling-green,9,0,4,0,0,SWEET_SIXTEEN,1963,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
bradley,8,4,9,2,0,NATIONAL_RUNNER_UP,1954,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
brown,1,0,2,0,0,ELITE_EIGHT,1939,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
bryant,2,2,2,0,0,ROUND_OF_64,2025,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
bucknell,19,8,8,0,0,ROUND_OF_32,2006,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
buffalo,4,4,4,0,0,ROUND_OF_32,2019,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
butler,22,7,16,2,0,NATIONAL_RUNNER_UP,2011,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
byu,29,3,33,0,0,ELITE_EIGHT,1981,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
cal-poly,1,1,1,0,0,ROUND_OF_64,2014,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
cal-state-bakersfield,1,1,1,0,0,ROUND_OF_64,2016,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
cal-state-fullerton,2,4,4,0,0,ELITE_EIGHT,1978,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
cal-state-northridge,2,2,2,0,0,ROUND_OF_64,2009,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
california,15,0,19,3,1,NATIONAL_CHAMPION,1959,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
california-baptist,0,1,1,0,0,ROUND_OF_64,2026,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
campbell,2,1,1,0,0,ROUND_OF_64,1992,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
canisius,4,1,4,0,0,ELITE_EIGHT,1956,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
central-arkansas,1,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
central-connecticut,5,3,3,0,0,ROUND_OF_64,2007,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
central-michigan,8,2,4,0,0,SWEET_SIXTEEN,1975,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
charleston,12,6,7,0,0,ROUND_OF_32,1997,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
charleston-southern,4,4,1,0,0,ROUND_OF_64,1997,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
