program_key,alias_name,alias_type,effective_start_season,effective_end_season,verification_status,evidence_basis,evidence_url,notes
sam-houston,Sam Houston Normal Institute,OFFICIAL_HISTORICAL_NAME,,,VERIFIED,Sam Houston institutional history documents the Normal Institute lineage into the later teachers-college/university identity.,https://intranet.shsu.edu/academics/education/about/,Historical institutional name.
dayton,St. Mary's College,OFFICIAL_HISTORICAL_NAME,,,VERIFIED,Dayton institutional history documents St. Mary's College as the predecessor name of the same institution; reciprocal basketball history confirms the 1915-16 Ohio State game.,https://udayton.edu/about/history.php,Historical institutional name; apostrophe variants remain source labels.
lamar,Lamar State College of Technology,OFFICIAL_HISTORICAL_NAME,,,VERIFIED,Lamar institutional history documents Lamar State College of Technology as the predecessor name in the same university lineage.,https://www.lamar.edu/about-lu/the-university/history.html,Historical institutional name.
north-texas,North Texas State Teachers College,OFFICIAL_HISTORICAL_NAME,,,VERIFIED,UNT institutional history documents the teachers-college lineage into present North Texas.,https://www.unt.edu/history,Historical institutional name.
stephen-f-austin,Stephen F. Austin State Teachers College,OFFICIAL_HISTORICAL_NAME,,,VERIFIED,SFA institutional history documents the teachers-college predecessor in the same institutional lineage.,https://www.sfasu.edu/about-sfa/history,Historical institutional name.
east-texas-a-m,Texas A&M University-Commerce,OFFICIAL_HISTORICAL_NAME,,,VERIFIED,East Texas A&M documents the 2024 institutional renaming from Texas A&M University-Commerce.,https://www.etamu.edu/about-us/,Immediate predecessor name.
northwestern-state,Northwestern State College of Louisiana,OFFICIAL_HISTORICAL_NAME,,,VERIFIED,Northwestern State institutional history documents the college name before the 1970 university renaming.,https://www.nsula.edu/about/history/,Historical institutional name.
pepperdine,Pepperdine College,OFFICIAL_HISTORICAL_NAME,,,VERIFIED,Pepperdine institutional history documents Pepperdine College as the predecessor name of the same institution.,https://www.pepperdine.edu/about/our-story/history/,Historical institutional name.
texas-state,Southwest Texas State Teachers College,OFFICIAL_HISTORICAL_NAME,,,VERIFIED,Texas State institutional history documents this official predecessor name in the same lineage.,https://www.txst.edu/about/history-traditions/names.html,Historical institutional name.
louisiana,Southwestern Louisiana Institute,OFFICIAL_HISTORICAL_NAME,,,VERIFIED,University of Louisiana at Lafayette institutional history documents Southwestern Louisiana Institute as a predecessor name.,https://louisiana.edu/about-us/university-history/history-university,Historical institutional name.
louisiana,University of Southwestern Louisiana,OFFICIAL_HISTORICAL_NAME,,,VERIFIED,University of Louisiana at Lafayette institutional history documents University of Southwestern Louisiana as a predecessor name.,https://louisiana.edu/about-us/university-history/history-university,Historical institutional name.
murray-state,Murray State Teachers College,OFFICIAL_HISTORICAL_NAME,,,VERIFIED,Murray State institutional history documents the teachers-college predecessor in the same university lineage.,https://www.murraystate.edu/about/administration/PresidentsOffice/HistoryoftheOffice.aspx,Historical institutional name.
loyola-marymount,Loyola University of Los Angeles,OFFICIAL_HISTORICAL_NAME,,,VERIFIED,LMU institutional history documents Loyola University of Los Angeles as a predecessor in the Loyola Marymount lineage.,https://www.lmu.edu/about/history/,Historical institutional name.
houston-christian,Houston Baptist University,OFFICIAL_HISTORICAL_NAME,,,VERIFIED,Houston Christian announced the institutional name change from Houston Baptist University in 2022.,https://hc.edu/news-and-events/2022/09/21/houston-baptist-university-becomes-houston-christian-university/,Immediate predecessor name.
wichita-state,University of Wichita,OFFICIAL_HISTORICAL_NAME,,,VERIFIED,Wichita State institutional history documents the University of Wichita name in the same institutional lineage.,https://www.wichita.edu/about/history.php,Historical institutional name.
