school,top_level_scope
"Abilene Christian","2013-14+"
"Air Force","1957-58+"
"Akron","1947-48..1949-50|1980-81+"
"Alabama","INCEPTION+"
"Alabama A&M","1998-99+"
"Alabama State","1982-83+"
"UAlbany","1999-00+"
"Alcorn State","1977-78+"
"American University","1966-67+"
"App State","1973-74+"
"Arizona","1947-48..1947-48|1950-51+"
"Arizona State","1950-51+"
"Arkansas","INCEPTION+"
"Arkansas State","1970-71+"
"Army","INCEPTION+"
"Auburn","INCEPTION+"
"Austin Peay","1963-64+"
"Ball State","1969-70+"
"Baylor","INCEPTION+"
"Bellarmine","2020-21+"
"Belmont","1997-98+"
"Bethune-Cookman","1980-81+"
"Binghamton","2001-02+"
"Boise State","1971-72+"
"Boston College","INCEPTION+"
"Boston University","1947-48..1948-49|1957-58+"
"Bowling Green","INCEPTION+"
"Bradley","INCEPTION+"
"Brown","INCEPTION+"
"Bryant","2008-09+"
"Bucknell","INCEPTION+"
"Buffalo","1973-74..1976-77|1991-92+"
"Butler","INCEPTION+"
"BYU","INCEPTION+"
"California Baptist","2018-19+"
"Cal Poly","1994-95+"
"Cal State Bakersfield","2006-07+"
"Cal State Fullerton","1974-75+"
"California","INCEPTION+"
"Campbell","1977-78+"
"Canisius","INCEPTION+"
"Central Arkansas","2006-07+"
"Central Connecticut","1986-87+"
"Central Michigan","1973-74+"
"Charleston","1991-92+"
"Charleston Southern","1974-75+"
"Charlotte","1972-73+"
"Chattanooga","1977-78+"
"Chicago State","1984-85+"
"Cincinnati","INCEPTION+"
"Clemson","INCEPTION+"
"Cleveland State","1972-73+"
"Coastal Carolina","1986-87+"
"Colgate","INCEPTION+"
"Colorado","INCEPTION+"
"Colorado State","INCEPTION+"
"Columbia","INCEPTION+"
"UConn","1947-48..1947-48|1951-52+"
"Coppin State","1985-86+"
"Cornell","INCEPTION+"
"Creighton","1947-48..1955-56|1959-60+"
"Cal State Northridge","1990-91+"
"Dartmouth","INCEPTION+"
"Davidson","INCEPTION+"
"Dayton","INCEPTION+"
"Delaware","1957-58+"
"Delaware State","1973-74+"
"Denver","1998-99+"
"DePaul","INCEPTION+"
"Detroit Mercy","INCEPTION+"
"Drake","INCEPTION+"
"Drexel","1973-74+"
"Duke","INCEPTION+"
"Duquesne","INCEPTION+"
"East Carolina","1964-65+"
"East Tennessee State","1958-59+"
"East Texas A&M","2022-23+"
"Eastern Illinois","1981-82+"
"Eastern Kentucky","1947-48..1947-48|1951-52+"
"Eastern Michigan","1973-74+"
"Eastern Washington","1983-84+"
"Elon","1997-98+"
"Evansville","1977-78+"
"Fairfield","1964-65+"
"Fairleigh Dickinson","1967-68+"
"Florida Atlantic","1993-94+"
"Florida International","1987-88+"
"Florida","INCEPTION+"
"Florida A&M","1978-79+"
"Florida Gulf Coast","2007-08+"
"Florida State","1956-57+"
"Fordham","INCEPTION+"
"Fresno State","1955-56..1957-58|1970-71+"
"Furman","INCEPTION+"
"Gardner-Webb","2002-03+"
"George Mason","1978-79+"
"George Washington","INCEPTION+"
"Georgetown","INCEPTION+"
"Georgia","INCEPTION+"
"Georgia Southern","1973-74+"
"Georgia State","1973-74+"
"Georgia Tech","INCEPTION+"
"Gonzaga","1952-53+"
"Grambling","1977-78+"
"Grand Canyon","2013-14+"
"Green Bay","1981-82+"
"Hampton","1995-96+"
"Harvard","INCEPTION+"
"Hawai'i","1970-71+"
"High Point","1996-97+"
"Hofstra","1966-67+"
"Holy Cross","INCEPTION+"
"Houston","1950-51+"
"Houston Christian","2008-09+"
"Howard","1973-74+"
"Idaho","INCEPTION+"
"Idaho State","1958-59+"
"Illinois","INCEPTION+"
"Illinois State","1971-72+"
"Incarnate Word","2013-14+"
"Indiana","INCEPTION+"
"Indiana State","1947-48..1947-48|1968-69+"
"Iona","1953-54+"
"Iowa","INCEPTION+"
"Iowa State","INCEPTION+"
"IU Indianapolis","1997-98+"
"Jackson State","1977-78+"
"Jacksonville","1966-67+"
"Jacksonville State","1995-96+"
"James Madison","1976-77+"
"Kansas","INCEPTION+"
"Kansas City","1989-90+"
"Kansas State","INCEPTION+"
"Kennesaw State","2005-06+"
"Kent State","1947-48..1947-48|1951-52+"
"Kentucky","1947-48..1951-52|1953-54+"
"La Salle","INCEPTION+"
"Lafayette","INCEPTION+"
"Lamar","1969-70+"
"Le Moyne","2023-24+"
"Lehigh","INCEPTION+"
"Liberty","1988-89+"
"Lindenwood","2022-23+"
"Lipscomb","2001-02+"
"Little Rock","1978-79+"
"Long Island University","1947-48..1950-51|1968-69+"
"Long Beach State","1969-70+"
"Longwood","2004-05+"
"Louisiana","1971-72..1972-73|1975-76+"
"Louisiana Tech","1973-74+"
"UL Monroe","1973-74+"
"Louisville","INCEPTION+"
"Loyola Chicago","INCEPTION+"
"Loyola Maryland","1947-48..1949-50|1981-82+"
"Loyola Marymount","1949-50+"
"LSU","INCEPTION+"
"Maine","1961-62+"
"Manhattan","INCEPTION+"
"Marist","1981-82+"
"Marquette","INCEPTION+"
"Marshall","1947-48..1947-48|1953-54+"
"Maryland","INCEPTION+"
"Massachusetts","1961-62+"
"McNeese","1973-74+"
"Memphis","1955-56+"
"Mercer","1973-74+"
"Mercyhurst","2024-25+"
"Merrimack","2019-20+"
"Miami","1948-49..1952-53|1954-55..1970-71|1985-86+"
