program_key,season_label,conference_key,conference_name
abilene-christian,2026-2027,wac,WAC
air-force,2026-2027,mountain-west,Mountain West
akron,2026-2027,mac,MAC
alabama,2026-2027,sec,SEC
alabama-a-m,2026-2027,swac,SWAC
alabama-state,2026-2027,swac,SWAC
alcorn-state,2026-2027,swac,SWAC
american-university,2026-2027,patriot,Patriot
app-state,2026-2027,sun-belt,Sun Belt
arizona,2026-2027,big-12,Big 12
arizona-state,2026-2027,big-12,Big 12
arkansas,2026-2027,sec,SEC
arkansas-pine-bluff,2026-2027,swac,SWAC
arkansas-state,2026-2027,sun-belt,Sun Belt
army,2026-2027,patriot,Patriot
auburn,2026-2027,sec,SEC
austin-peay,2026-2027,united-athletic,United Athletic
ball-state,2026-2027,mac,MAC
baylor,2026-2027,big-12,Big 12
bellarmine,2026-2027,atlantic-sun,Atlantic Sun
belmont,2026-2027,missouri-valley,Missouri Valley
bethune-cookman,2026-2027,swac,SWAC
binghamton,2026-2027,america-east,America East
boise-state,2026-2027,pac-12,Pac-12
boston-college,2026-2027,acc,ACC
boston-university,2026-2027,patriot,Patriot
bowling-green,2026-2027,mac,MAC
bradley,2026-2027,missouri-valley,Missouri Valley
brown,2026-2027,ivy,Ivy
bryant,2026-2027,america-east,America East
bucknell,2026-2027,patriot,Patriot
buffalo,2026-2027,mac,MAC
butler,2026-2027,big-east,Big East
byu,2026-2027,big-12,Big 12
cal-poly,2026-2027,big-west,Big West
cal-state-bakersfield,2026-2027,big-west,Big West
cal-state-fullerton,2026-2027,big-west,Big West
cal-state-northridge,2026-2027,big-west,Big West
california,2026-2027,acc,ACC
california-baptist,2026-2027,big-west,Big West
campbell,2026-2027,caa,CAA
canisius,2026-2027,maac,MAAC
central-arkansas,2026-2027,united-athletic,United Athletic
central-connecticut,2026-2027,nec,NEC
central-michigan,2026-2027,mac,MAC
charleston,2026-2027,caa,CAA
charleston-southern,2026-2027,big-south,Big South
charlotte,2026-2027,american,American
chattanooga,2026-2027,southern,Southern
chicago-state,2026-2027,nec,NEC
cincinnati,2026-2027,big-12,Big 12
clemson,2026-2027,acc,ACC
cleveland-state,2026-2027,horizon,Horizon
coastal-carolina,2026-2027,sun-belt,Sun Belt
colgate,2026-2027,patriot,Patriot
colorado,2026-2027,big-12,Big 12
colorado-state,2026-2027,pac-12,Pac-12
columbia,2026-2027,ivy,Ivy
coppin-state,2026-2027,meac,MEAC
cornell,2026-2027,ivy,Ivy
creighton,2026-2027,big-east,Big East
dartmouth,2026-2027,ivy,Ivy
davidson,2026-2027,atlantic-10,Atlantic 10
dayton,2026-2027,atlantic-10,Atlantic 10
delaware,2026-2027,cusa,CUSA
delaware-state,2026-2027,meac,MEAC
denver,2026-2027,wcc,WCC
depaul,2026-2027,big-east,Big East
detroit-mercy,2026-2027,horizon,Horizon
drake,2026-2027,missouri-valley,Missouri Valley
drexel,2026-2027,caa,CAA
duke,2026-2027,acc,ACC
duquesne,2026-2027,atlantic-10,Atlantic 10
east-carolina,2026-2027,american,American
east-tennessee-state,2026-2027,southern,Southern
east-texas-a-m,2026-2027,southland,Southland
eastern-illinois,2026-2027,ohio-valley,Ohio Valley
eastern-kentucky,2026-2027,united-athletic,United Athletic
eastern-michigan,2026-2027,mac,MAC
eastern-washington,2026-2027,big-sky,Big Sky
elon,2026-2027,caa,CAA
evansville,2026-2027,missouri-valley,Missouri Valley
fairfield,2026-2027,maac,MAAC
fairleigh-dickinson,2026-2027,nec,NEC
florida,2026-2027,sec,SEC
florida-a-m,2026-2027,swac,SWAC
florida-atlantic,2026-2027,american,American
florida-gulf-coast,2026-2027,atlantic-sun,Atlantic Sun
florida-international,2026-2027,cusa,CUSA
florida-state,2026-2027,acc,ACC
fordham,2026-2027,atlantic-10,Atlantic 10
fresno-state,2026-2027,pac-12,Pac-12
furman,2026-2027,southern,Southern
gardner-webb,2026-2027,big-south,Big South
george-mason,2026-2027,atlantic-10,Atlantic 10
george-washington,2026-2027,atlantic-10,Atlantic 10
georgetown,2026-2027,big-east,Big East
georgia,2026-2027,sec,SEC
georgia-southern,2026-2027,sun-belt,Sun Belt
georgia-state,2026-2027,sun-belt,Sun Belt
georgia-tech,2026-2027,acc,ACC
gonzaga,2026-2027,pac-12,Pac-12
grambling,2026-2027,swac,SWAC
grand-canyon,2026-2027,mountain-west,Mountain West
green-bay,2026-2027,horizon,Horizon
hampton,2026-2027,caa,CAA
harvard,2026-2027,ivy,Ivy
hawai-i,2026-2027,mountain-west,Mountain West
high-point,2026-2027,big-south,Big South
hofstra,2026-2027,caa,CAA
holy-cross,2026-2027,patriot,Patriot
houston,2026-2027,big-12,Big 12
houston-christian,2026-2027,southland,Southland
howard,2026-2027,meac,MEAC
idaho,2026-2027,big-sky,Big Sky
idaho-state,2026-2027,big-sky,Big Sky
illinois,2026-2027,big-ten,Big Ten
illinois-state,2026-2027,missouri-valley,Missouri Valley
incarnate-word,2026-2027,southland,Southland
indiana,2026-2027,big-ten,Big Ten
indiana-state,2026-2027,missouri-valley,Missouri Valley
iona,2026-2027,maac,MAAC
iowa,2026-2027,big-ten,Big Ten
iowa-state,2026-2027,big-12,Big 12
iu-indianapolis,2026-2027,horizon,Horizon
jackson-state,2026-2027,swac,SWAC
jacksonville,2026-2027,atlantic-sun,Atlantic Sun
jacksonville-state,2026-2027,cusa,CUSA
james-madison,2026-2027,sun-belt,Sun Belt
kansas,2026-2027,big-12,Big 12
kansas-city,2026-2027,summit,Summit
kansas-state,2026-2027,big-12,Big 12
kennesaw-state,2026-2027,cusa,CUSA
kent-state,2026-2027,mac,MAC
kentucky,2026-2027,sec,SEC
la-salle,2026-2027,atlantic-10,Atlantic 10
lafayette,2026-2027,patriot,Patriot
lamar,2026-2027,southland,Southland
le-moyne,2026-2027,nec,NEC
lehigh,2026-2027,patriot,Patriot
liberty,2026-2027,cusa,CUSA
lindenwood,2026-2027,ohio-valley,Ohio Valley
lipscomb,2026-2027,atlantic-sun,Atlantic Sun
little-rock,2026-2027,united-athletic,United Athletic
long-beach-state,2026-2027,big-west,Big West
long-island-university,2026-2027,nec,NEC
longwood,2026-2027,big-south,Big South
louisiana,2026-2027,sun-belt,Sun Belt
louisiana-tech,2026-2027,sun-belt,Sun Belt
louisville,2026-2027,acc,ACC
loyola-chicago,2026-2027,atlantic-10,Atlantic 10
loyola-maryland,2026-2027,patriot,Patriot
loyola-marymount,2026-2027,wcc,WCC
lsu,2026-2027,sec,SEC
maine,2026-2027,america-east,America East
manhattan,2026-2027,maac,MAAC
marist,2026-2027,maac,MAAC
marquette,2026-2027,big-east,Big East
marshall,2026-2027,sun-belt,Sun Belt
maryland,2026-2027,big-ten,Big Ten
maryland-eastern-shore,2026-2027,meac,MEAC
massachusetts,2026-2027,mac,MAC
mcneese,2026-2027,southland,Southland
memphis,2026-2027,american,American
mercer,2026-2027,southern,Southern
mercyhurst,2026-2027,nec,NEC
merrimack,2026-2027,maac,MAAC
miami,2026-2027,acc,ACC
miami-oh,2026-2027,mac,MAC
michigan,2026-2027,big-ten,Big Ten
michigan-state,2026-2027,big-ten,Big Ten
middle-tennessee,2026-2027,cusa,CUSA
milwaukee,2026-2027,horizon,Horizon
minnesota,2026-2027,big-ten,Big Ten
mississippi-state,2026-2027,sec,SEC
mississippi-valley-state,2026-2027,swac,SWAC
missouri,2026-2027,sec,SEC
missouri-state,2026-2027,cusa,CUSA
monmouth,2026-2027,caa,CAA
montana,2026-2027,big-sky,Big Sky
montana-state,2026-2027,big-sky,Big Sky
morehead-state,2026-2027,ohio-valley,Ohio Valley
morgan-state,2026-2027,meac,MEAC
mount-st-mary-s,2026-2027,maac,MAAC
murray-state,2026-2027,missouri-valley,Missouri Valley
navy,2026-2027,patriot,Patriot
nc-state,2026-2027,acc,ACC
nebraska,2026-2027,big-ten,Big Ten
nevada,2026-2027,mountain-west,Mountain West
new-hampshire,2026-2027,america-east,America East
new-haven,2026-2027,nec,NEC
new-mexico,2026-2027,mountain-west,Mountain West
new-mexico-state,2026-2027,cusa,CUSA
new-orleans,2026-2027,southland,Southland
niagara,2026-2027,maac,MAAC
nicholls,2026-2027,southland,Southland
njit,2026-2027,america-east,America East
norfolk-state,2026-2027,meac,MEAC
north-alabama,2026-2027,united-athletic,United Athletic
north-carolina,2026-2027,acc,ACC
north-carolina-a-t,2026-2027,caa,CAA
north-carolina-central,2026-2027,meac,MEAC
north-dakota,2026-2027,summit,Summit
north-dakota-state,2026-2027,summit,Summit
north-florida,2026-2027,atlantic-sun,Atlantic Sun
north-texas,2026-2027,american,American
northeastern,2026-2027,caa,CAA
northern-arizona,2026-2027,big-sky,Big Sky
northern-colorado,2026-2027,big-sky,Big Sky
northern-illinois,2026-2027,horizon,Horizon
northern-iowa,2026-2027,missouri-valley,Missouri Valley
northern-kentucky,2026-2027,horizon,Horizon
northwestern,2026-2027,big-ten,Big Ten
northwestern-state,2026-2027,southland,Southland
notre-dame,2026-2027,acc,ACC
oakland,2026-2027,horizon,Horizon
ohio,2026-2027,mac,MAC
ohio-state,2026-2027,big-ten,Big Ten
oklahoma,2026-2027,sec,SEC
oklahoma-state,2026-2027,big-12,Big 12
old-dominion,2026-2027,sun-belt,Sun Belt
ole-miss,2026-2027,sec,SEC
omaha,2026-2027,summit,Summit
oral-roberts,2026-2027,summit,Summit
oregon,2026-2027,big-ten,Big Ten
oregon-state,2026-2027,pac-12,Pac-12
pacific,2026-2027,wcc,WCC
penn-state,2026-2027,big-ten,Big Ten
pennsylvania,2026-2027,ivy,Ivy
pepperdine,2026-2027,wcc,WCC
pittsburgh,2026-2027,acc,ACC
portland,2026-2027,wcc,WCC
portland-state,2026-2027,big-sky,Big Sky
prairie-view-a-m,2026-2027,swac,SWAC
presbyterian,2026-2027,big-south,Big South
princeton,2026-2027,ivy,Ivy
providence,2026-2027,big-east,Big East
purdue,2026-2027,big-ten,Big Ten
purdue-fort-wayne,2026-2027,horizon,Horizon
queens-university,2026-2027,atlantic-sun,Atlantic Sun
quinnipiac,2026-2027,maac,MAAC
radford,2026-2027,big-south,Big South
rhode-island,2026-2027,atlantic-10,Atlantic 10
rice,2026-2027,american,American
richmond,2026-2027,atlantic-10,Atlantic 10
rider,2026-2027,maac,MAAC
robert-morris,2026-2027,horizon,Horizon
rutgers,2026-2027,big-ten,Big Ten
sacramento-state,2026-2027,big-west,Big West
sacred-heart,2026-2027,maac,MAAC
saint-joseph-s,2026-2027,atlantic-10,Atlantic 10
saint-louis,2026-2027,atlantic-10,Atlantic 10
saint-mary-s,2026-2027,wcc,WCC
saint-peter-s,2026-2027,maac,MAAC
sam-houston,2026-2027,cusa,CUSA
samford,2026-2027,southern,Southern
san-diego,2026-2027,wcc,WCC
san-diego-state,2026-2027,pac-12,Pac-12
san-francisco,2026-2027,wcc,WCC
san-jose-state,2026-2027,mountain-west,Mountain West
santa-clara,2026-2027,wcc,WCC
se-louisiana,2026-2027,southland,Southland
seattle-u,2026-2027,wcc,WCC
seton-hall,2026-2027,big-east,Big East
siena,2026-2027,maac,MAAC
siu-edwardsville,2026-2027,ohio-valley,Ohio Valley
smu,2026-2027,acc,ACC
south-alabama,2026-2027,sun-belt,Sun Belt
south-carolina,2026-2027,sec,SEC
south-carolina-state,2026-2027,meac,MEAC
south-carolina-upstate,2026-2027,big-south,Big South
south-dakota,2026-2027,summit,Summit
south-dakota-state,2026-2027,summit,Summit
south-florida,2026-2027,american,American
southeast-missouri-state,2026-2027,ohio-valley,Ohio Valley
southern,2026-2027,swac,SWAC
southern-illinois,2026-2027,missouri-valley,Missouri Valley
southern-indiana,2026-2027,ohio-valley,Ohio Valley
southern-miss,2026-2027,sun-belt,Sun Belt
southern-utah,2026-2027,big-sky,Big Sky
st-bonaventure,2026-2027,atlantic-10,Atlantic 10
st-john-s,2026-2027,big-east,Big East
st-thomas-minnesota,2026-2027,summit,Summit
stanford,2026-2027,acc,ACC
stephen-f-austin,2026-2027,southland,Southland
stetson,2026-2027,atlantic-sun,Atlantic Sun
stonehill,2026-2027,nec,NEC
stony-brook,2026-2027,caa,CAA
syracuse,2026-2027,acc,ACC
tarleton-state,2026-2027,wac,WAC
tcu,2026-2027,big-12,Big 12
temple,2026-2027,american,American
tennessee,2026-2027,sec,SEC
tennessee-state,2026-2027,ohio-valley,Ohio Valley
tennessee-tech,2026-2027,southern,Southern
texas,2026-2027,sec,SEC
texas-a-m,2026-2027,sec,SEC
texas-a-m-corpus-christi,2026-2027,southland,Southland
texas-southern,2026-2027,swac,SWAC
texas-state,2026-2027,pac-12,Pac-12
texas-tech,2026-2027,big-12,Big 12
the-citadel,2026-2027,southern,Southern
toledo,2026-2027,mac,MAC
towson,2026-2027,caa,CAA
troy,2026-2027,sun-belt,Sun Belt
tulane,2026-2027,american,American
tulsa,2026-2027,american,American
uab,2026-2027,american,American
ualbany,2026-2027,america-east,America East
uc-davis,2026-2027,mountain-west,Mountain West
uc-irvine,2026-2027,big-west,Big West
uc-riverside,2026-2027,big-west,Big West
uc-san-diego,2026-2027,big-west,Big West
uc-santa-barbara,2026-2027,big-west,Big West
ucf,2026-2027,big-12,Big 12
ucla,2026-2027,big-ten,Big Ten
uconn,2026-2027,big-east,Big East
uic,2026-2027,missouri-valley,Missouri Valley
ul-monroe,2026-2027,sun-belt,Sun Belt
umass-lowell,2026-2027,america-east,America East
umbc,2026-2027,america-east,America East
unc-asheville,2026-2027,big-south,Big South
unc-greensboro,2026-2027,southern,Southern
unc-wilmington,2026-2027,caa,CAA
unlv,2026-2027,mountain-west,Mountain West
usc,2026-2027,big-ten,Big Ten
ut-arlington,2026-2027,wac,WAC
ut-martin,2026-2027,ohio-valley,Ohio Valley
ut-rio-grande-valley,2026-2027,southland,Southland
utah,2026-2027,big-12,Big 12
utah-state,2026-2027,pac-12,Pac-12
utah-tech,2026-2027,big-sky,Big Sky
utah-valley,2026-2027,big-west,Big West
utep,2026-2027,mountain-west,Mountain West
utsa,2026-2027,american,American
valparaiso,2026-2027,missouri-valley,Missouri Valley
vanderbilt,2026-2027,sec,SEC
vcu,2026-2027,atlantic-10,Atlantic 10
vermont,2026-2027,america-east,America East
villanova,2026-2027,big-east,Big East
virginia,2026-2027,acc,ACC
virginia-tech,2026-2027,acc,ACC
vmi,2026-2027,southern,Southern
wagner,2026-2027,nec,NEC
wake-forest,2026-2027,acc,ACC
washington,2026-2027,big-ten,Big Ten
washington-state,2026-2027,pac-12,Pac-12
weber-state,2026-2027,big-sky,Big Sky
west-florida,2026-2027,atlantic-sun,Atlantic Sun
west-georgia,2026-2027,united-athletic,United Athletic
west-virginia,2026-2027,big-12,Big 12
western-carolina,2026-2027,southern,Southern
western-illinois,2026-2027,ohio-valley,Ohio Valley
western-kentucky,2026-2027,cusa,CUSA
western-michigan,2026-2027,mac,MAC
wichita-state,2026-2027,american,American
william-mary,2026-2027,caa,CAA
winthrop,2026-2027,big-south,Big South
wisconsin,2026-2027,big-ten,Big Ten
wofford,2026-2027,southern,Southern
wright-state,2026-2027,horizon,Horizon
wyoming,2026-2027,mountain-west,Mountain West
xavier,2026-2027,big-east,Big East
yale,2026-2027,ivy,Ivy
youngstown-state,2026-2027,horizon,Horizon
