index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,alabama,Akron,akron,Akron,Yes,1,1925-1926,1925-1926,RESOLVED,Current D1 registry / straightforward naming normalization.,,
1,alabama,Akron ^,akron,Akron,Yes,1,2000-2001,2000-2001,RESOLVED,Current D1 registry / straightforward naming normalization.,,
2,alabama,Alabama A&M,alabama-a-m,Alabama A&M,Yes,6,1999-2000,2017-2018,RESOLVED,Established project/current identity normalization.,,
3,alabama,Alabama City,alabama-city,Alabama City,No,1,1928-1929,1928-1929,RESOLVED,Historical/non-current source identity.,,
4,alabama,Alabama Presbyterian,alabama-presbyterian,Alabama Presbyterian,No,1,1916-1917,1916-1917,RESOLVED,Historical/non-current source identity.,,
5,alabama,Alabama State,alabama-state,Alabama State,Yes,7,1997-1998,2006-2007,RESOLVED,Current D1 registry / straightforward naming normalization.,,
6,alabama,Alaska-Anchorage ^,alaska-anchorage,Alaska-Anchorage,No,1,2004-2005,2004-2005,RESOLVED,Established project/current identity normalization.,,
7,alabama,American ^,american-university,American,Yes,1,1978-1979,1978-1979,RESOLVED,Established project/current identity normalization.,,
8,alabama,American P. R. ^,american-university-pr,American University (PR),No,1,1997-1998,1997-1998,RESOLVED,Established project/current identity normalization.,,
9,alabama,Appalachian State,app-state,Appalachian State,Yes,2,1986-1987,2014-2015,RESOLVED,Established project/current identity normalization.,,
10,alabama,Appalachian State #,app-state,Appalachian State,Yes,1,2018-2019,2018-2019,RESOLVED,Established project/current identity normalization.,,
11,alabama,Arizona,arizona,Arizona,Yes,3,2017-2018,2025-2026,RESOLVED,Current D1 registry / straightforward naming normalization.,,
12,alabama,Arizona #,arizona,Arizona,Yes,2,1984-1985,1989-1990,RESOLVED,Current D1 registry / straightforward naming normalization.,,
13,alabama,Arizona State #,arizona-state,Arizona State,Yes,1,1974-1975,1974-1975,RESOLVED,Current D1 registry / straightforward naming normalization.,,
14,alabama,Arizona State ^,arizona-state,Arizona State,Yes,2,1988-1989,2014-2015,RESOLVED,Current D1 registry / straightforward naming normalization.,,
15,alabama,Arizona4,arizona,Arizona,Yes,1,2023-2024,2023-2024,RESOLVED,Current D1 registry / straightforward naming normalization.,,
16,alabama,Arkansas,arkansas,Arkansas,Yes,3,1967-1968,2025-2026,RESOLVED,Current D1 registry / straightforward naming normalization.,,
17,alabama,Arkansas !,arkansas,Arkansas,Yes,2,1991-1992,1994-1995,RESOLVED,Current D1 registry / straightforward naming normalization.,,
18,alabama,Arkansas &,arkansas,Arkansas,Yes,3,1947-1948,1960-1961,RESOLVED,Current D1 registry / straightforward naming normalization.,,
19,alabama,Arkansas *,arkansas,Arkansas,Yes,53,1991-1992,2022-2023,RESOLVED,Current D1 registry / straightforward naming normalization.,,
20,alabama,Arkansas ^,arkansas,Arkansas,Yes,2,1968-1969,1986-1987,RESOLVED,Current D1 registry / straightforward naming normalization.,,
21,alabama,Arkansas State,arkansas-state,Arkansas State,Yes,2,1969-1970,2024-2025,RESOLVED,Current D1 registry / straightforward naming normalization.,,
22,alabama,Arkansas State 1,arkansas-state,Arkansas State,Yes,1,2016-2017,2016-2017,RESOLVED,Current D1 registry / straightforward naming normalization.,,
23,alabama,Arkansas State`,arkansas-state,Arkansas State,Yes,1,2023-2024,2023-2024,RESOLVED,Current D1 registry / straightforward naming normalization.,,
24,alabama,Arkansas ~,arkansas,Arkansas,Yes,3,1949-1950,1990-1991,RESOLVED,Current D1 registry / straightforward naming normalization.,,
25,alabama,Arkansas*,arkansas,Arkansas,Yes,5,2020-2021,2024-2025,RESOLVED,Current D1 registry / straightforward naming normalization.,,
26,alabama,Arkansas-Pine Bluff,arkansas-pine-bluff,UAPB,Yes,2,1996-1997,2000-2001,RESOLVED,Established project/current identity normalization.,,
27,alabama,Ashland College,ashland-college,Ashland College,No,1,1925-1926,1925-1926,RESOLVED,Historical/non-current source identity.,,
28,alabama,Atlanta Athletic Club,atlanta-athletic-club,Atlanta Athletic Club,No,4,1921-1922,1923-1924,RESOLVED,Historical/non-current source identity.,,
29,alabama,Auburn,auburn,Auburn,Yes,2,2025-2026,2025-2026,RESOLVED,Current D1 registry / straightforward naming normalization.,,
30,alabama,Auburn !,auburn,Auburn,Yes,9,1940-1941,1998-1999,RESOLVED,Current D1 registry / straightforward naming normalization.,,
31,alabama,Auburn *,auburn,Auburn,Yes,123,1948-1949,2022-2023,RESOLVED,Current D1 registry / straightforward naming normalization.,,
32,alabama,Auburn * %,auburn,Auburn,Yes,13,1954-1955,1962-1963,RESOLVED,Current D1 registry / straightforward naming normalization.,,
33,alabama,Auburn * &,auburn,Auburn,Yes,4,1961-1962,1964-1965,RESOLVED,Current D1 registry / straightforward naming normalization.,,
34,alabama,Auburn *%,auburn,Auburn,Yes,2,1957-1958,1960-1961,RESOLVED,Current D1 registry / straightforward naming normalization.,,
