index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,ALARAW-00001,alabama,historical_media_guide,1912-1913,1913,,Bessemer Ath. Club,Bessemer Athletic Club,bessemer-athletic-club,No,20,22,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,at Bessemer Ath. Club -/- L 20 22,resolved,,,,,
1,ALARAW-00002,alabama,historical_media_guide,1912-1913,1913,,Bessemer Athletic Club,Bessemer Athletic Club,bessemer-athletic-club,No,20,26,L,0,,,Alabama Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,Bessemer Athletic Club -/- L 20 26,resolved,,,,,
2,ALARAW-00003,alabama,historical_media_guide,1912-1913,1913,1913-02-06,Mississippi State,Mississippi State,mississippi-state,Yes,21,26,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,Feb. 6 at Mississippi State -/- L 21 26,resolved,,,,,
3,ALARAW-00004,alabama,historical_media_guide,1912-1913,1913,1913-02-07,Mississippi State,Mississippi State,mississippi-state,Yes,16,21,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,Feb. 7 at Mississippi State -/- L 16 21,resolved,,,,,
4,ALARAW-00005,alabama,historical_media_guide,1912-1913,1913,,Mississippi College,Mississippi College,mississippi-college,No,51,11,W,0,,,Alabama Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,Mississippi College -/- W 51 11,resolved,,,,,
5,ALARAW-00006,alabama,historical_media_guide,1912-1913,1913,,Mississippi College,Mississippi College,mississippi-college,No,33,13,W,0,,,Alabama Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,Mississippi College -/- W 33 13,resolved,,,,,
6,ALARAW-00007,alabama,historical_media_guide,1912-1913,1913,,Montgomery YMCA,Montgomery YMCA,montgomery-ymca,No,27,20,W,0,,,Alabama Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,Montgomery YMCA -/- W 27 20,resolved,,,,,
7,ALARAW-00008,alabama,historical_media_guide,1912-1913,1913,,Owenton,Owenton,owenton,No,34,17,W,0,,,Alabama Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,Owenton -/- W 34 17,resolved,,,,,
8,ALARAW-00009,alabama,historical_media_guide,1912-1913,1913,,Southern,Southern University (Ala.),southern-university-alabama,No,46,18,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,at Southern -/- W 46 18,resolved,,,,,
9,ALARAW-00010,alabama,historical_media_guide,1912-1913,1913,,Selma YMCA,Selma YMCA,selma-ymca,No,56,30,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,at Selma YMCA -/- W 56 30,resolved,,,,,
10,ALARAW-00011,alabama,historical_media_guide,1912-1913,1913,,Maryville,Maryville College,maryville-college,No,45,12,W,0,,,Alabama Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,Maryville -/- W 45 12,resolved,,,,,
11,ALARAW-00012,alabama,historical_media_guide,1913-1914,1914,,Birmingham College,Birmingham College,birmingham-college,No,46,17,W,0,,,Alabama Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,Birmingham College -/- W 46 17,resolved,,,,,
12,ALARAW-00013,alabama,historical_media_guide,1913-1914,1914,,Bessemer Athletic Club,Bessemer Athletic Club,bessemer-athletic-club,No,24,26,L,0,,,Alabama Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,Bessemer Athletic Club -/- L 24 26,resolved,,,,,
13,ALARAW-00014,alabama,historical_media_guide,1913-1914,1914,,Birmingham Ath. Club,Birmingham Athletic Club,birmingham-athletic-club,No,19,43,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,at Birmingham Ath. Club -/- L 19 43,resolved,,,,,
14,ALARAW-00015,alabama,historical_media_guide,1913-1914,1914,,Chattanooga,Chattanooga,chattanooga,Yes,33,23,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,at Chattanooga -/- W 33 23,resolved,,,,,
15,ALARAW-00016,alabama,historical_media_guide,1913-1914,1914,,Maryville,Maryville College,maryville-college,No,38,16,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,at Maryville -/- W 38 16,resolved,,,,,
16,ALARAW-00017,alabama,historical_media_guide,1913-1914,1914,1914-02-06,Tennessee,Tennessee,tennessee,Yes,13,49,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,Feb. 6 at Tennessee -/- L 13 49,resolved,,,,,
17,ALARAW-00018,alabama,historical_media_guide,1913-1914,1914,1914-02-07,Tennessee,Tennessee,tennessee,Yes,21,22,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,Feb. 7 at Tennessee -/- L 21 22,resolved,,,,,
18,ALARAW-00019,alabama,historical_media_guide,1913-1914,1914,,Bessemer Ath. Club,Bessemer Athletic Club,bessemer-athletic-club,No,31,25,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,at Bessemer Ath. Club -/- W 31 25,resolved,,,,,
19,ALARAW-00020,alabama,historical_media_guide,1913-1914,1914,1914-02-13,Mississippi State,Mississippi State,mississippi-state,Yes,42,31,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,Feb. 13 at Mississippi State -/- W 42 31,resolved,,,,,
20,ALARAW-00021,alabama,historical_media_guide,1913-1914,1914,1914-02-14,Mississippi State,Mississippi State,mississippi-state,Yes,42,26,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,Feb. 14 at Mississippi State -/- W 42 26,resolved,,,,,
21,ALARAW-00022,alabama,historical_media_guide,1914-1915,1915,,Southern,Southern University (Ala.),southern-university-alabama,No,54,10,W,0,,,Alabama Home,SOURCE_PROGRAM_HOME,,Clark Hall,Tuscaloosa,AL,,,REGULAR_SEASON,,PDF p. 1,Southern -/- W 54 10,resolved,,,,,
22,ALARAW-00023,alabama,historical_media_guide,1914-1915,1915,,Southern,Southern University (Ala.),southern-university-alabama,No,43,22,W,0,,,Alabama Home,SOURCE_PROGRAM_HOME,,Clark Hall,Tuscaloosa,AL,,,REGULAR_SEASON,,PDF p. 1,Southern -/- W 43 22,resolved,,,,,
23,ALARAW-00024,alabama,historical_media_guide,1914-1915,1915,,Selma YMCA,Selma YMCA,selma-ymca,No,49,25,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,at Selma YMCA -/- W 49 25,resolved,,,,,
24,ALARAW-00025,alabama,historical_media_guide,1914-1915,1915,,Mississippi College,Mississippi College,mississippi-college,No,38,18,W,0,,,Alabama Home,SOURCE_PROGRAM_HOME,,Clark Hall,Tuscaloosa,AL,,,REGULAR_SEASON,,PDF p. 1,Mississippi College -/- W 38 18,resolved,,,,,
25,ALARAW-00026,alabama,historical_media_guide,1914-1915,1915,,Mississippi College,Mississippi College,mississippi-college,No,39,13,W,0,,,Alabama Home,SOURCE_PROGRAM_HOME,,Clark Hall,Tuscaloosa,AL,,,REGULAR_SEASON,,PDF p. 1,Mississippi College -/- W 39 13,resolved,,,,,
26,ALARAW-00027,alabama,historical_media_guide,1914-1915,1915,1915-02-05,Mississippi State,Mississippi State,mississippi-state,Yes,28,35,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,Feb. 5 at Mississippi State -/- L 28 35,resolved,,,,,
27,ALARAW-00028,alabama,historical_media_guide,1914-1915,1915,1915-02-06,Mississippi State,Mississippi State,mississippi-state,Yes,21,33,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 1,Feb. 6 at Mississippi State -/- L 21 33,resolved,,,,,
