source_game_id,source_program_key,season_label,game_date,source_opponent_label,normalized_opponent_key,normalized_opponent_name,team_score,opponent_score,played_result,overtime_periods,curated_site_type,curated_venue_name,city,state,curated_game_type,curated_postseason_round,event_or_tournament,administrative_status,site_research_status,site_research_basis,raw_text,source_page,source_series_event_note
1950-51-G01,arizona-state,1950-1951,1950-12-01,USC,usc,USC,71,86,L,0,OPPONENT_HOME,,Los Angeles,CA,REGULAR_SEASON,,,,,,accepted L 71-86 vs USC,arizona-state-stage1-1950-51-working-ledger-batch33.csv; 1950-51-G01,
1950-51-G02,arizona-state,1950-1951,1950-12-02,UCLA,ucla,UCLA,49,79,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,accepted L 49-79 vs UCLA,arizona-state-stage1-1950-51-working-ledger-batch33.csv; 1950-51-G02,
1950-51-G03,arizona-state,1950-1951,1950-12-04,San Diego St.,san-diego-state,San Diego State,76,67,W,0,OPPONENT_HOME,,San Diego,CA,REGULAR_SEASON,,,,,,accepted W 76-67 vs San Diego State,arizona-state-stage1-1950-51-working-ledger-batch33.csv; 1950-51-G03,
1950-51-G04,arizona-state,1950-1951,1950-12-19,Texas Western,utep,UTEP,80,74,W,0,SOURCE_PROGRAM_HOME,College Gym,Tempe,AZ,REGULAR_SEASON,,,,,,accepted W 80-74 vs Texas Western,arizona-state-stage1-1950-51-working-ledger-batch33.csv; 1950-51-G04,
1950-51-G05,arizona-state,1950-1951,1950-12-28,Washington,washington-university-st-louis,Washington University in St. Louis,41,52,L,0,OPPONENT_HOME,,St. Louis,MO,REGULAR_SEASON,,,,,,accepted L 41-52 vs Washington University (St. Louis),arizona-state-stage1-1950-51-working-ledger-batch33.csv; 1950-51-G05,
1950-51-G06,arizona-state,1950-1951,,Akron,akron,Akron,62,64,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,accepted L 62-64 vs Akron,arizona-state-stage1-1950-51-working-ledger-batch33.csv; 1950-51-G06,
1950-51-G07,arizona-state,1950-1951,1951-01-03,Wash. & Jeff.,washington-jefferson,Washington & Jefferson,53,54,L,0,OPPONENT_HOME,Salvitti Family Gymnasium,Washington,PA,REGULAR_SEASON,,,,,,accepted L 53-54 vs Washington & Jefferson,arizona-state-stage1-1950-51-working-ledger-batch33.csv; 1950-51-G07,
1950-51-G08,arizona-state,1950-1951,1950-12-30,Dayton,dayton,Dayton,68,92,L,0,OPPONENT_HOME,,Dayton,OH,REGULAR_SEASON,,,,,,accepted L 68-92 vs Dayton,arizona-state-stage1-1950-51-working-ledger-batch33.csv; 1950-51-G08,
1950-51-G09,arizona-state,1950-1951,1951-01-06,Westminster,westminster-pennsylvania,Westminster (PA),61,88,L,0,OPPONENT_HOME,,New Wilmington,PA,REGULAR_SEASON,,,,,,accepted L 61-88 vs Westminster (Pennsylvania),arizona-state-stage1-1950-51-working-ledger-batch33.csv; 1950-51-G09,
1950-51-G10,arizona-state,1950-1951,1951-01-11,New Mexico St.,new-mexico-state,New Mexico State,52,96,L,0,OPPONENT_HOME,,Las Cruces,NM,REGULAR_SEASON,,,,,,accepted L 52-96 vs New Mexico State,arizona-state-stage1-1950-51-working-ledger-batch33.csv; 1950-51-G10,
1950-51-G11,arizona-state,1950-1951,,New Mexico,new-mexico,New Mexico,46,51,L,0,OPPONENT_HOME,,Albuquerque,NM,REGULAR_SEASON,,,,,,accepted L 46-51 vs New Mexico,arizona-state-stage1-1950-51-working-ledger-batch33.csv; 1950-51-G11,
