source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
arizona-state,bear-down-gym,VEN-000612,Bear Down Gym,,,,,,,,4,1953-02-12,1958-02-22,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Arizona State Stage 3A/3B physical-site research. Systematic schedule ledger names `Bear Down Gym`. Exact canonical physical-building identity is kept separate from H/A/N and remains subject to venue reconciliation. Sources: https://www.sports-reference.com/cbb/schools/arizona-state/men/1953-schedule.html ; https://www.sports-reference.com/cbb/schools/arizona-state/men/1955-schedule.html ; https://www.sports-reference.com/cbb/schools/arizona-state/men/1956-schedule.html ; https://www.sports-reference.com/cbb/schools/arizona-state/men/1958-schedule.html,Research-local physical venue candidate established in Stage 3A/3B; numeric global venue ID intentionally blank pending serialized current-main rebase. STAGE6_GLOBAL_IDENTITY_DISPOSITION=PENDING_CURRENT_MAIN_REBASE_NEW_OR_UNREGISTERED Integration rebase resolved final global venue ID VEN-000612.
arizona-state,campus-gym-pepperdine,VEN-000621,Campus Gym,,Los Angeles,CA,,,,,2,1955-12-10,1957-12-06,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Arizona State Stage 3A/3B physical-site research. Systematic schedule ledger names `Campus Gym`. Exact canonical physical-building identity is kept separate from H/A/N and remains subject to venue reconciliation. Sources: https://www.sports-reference.com/cbb/schools/arizona-state/men/1956-schedule.html ; https://www.sports-reference.com/cbb/schools/arizona-state/men/1958-schedule.html,Research-local physical venue candidate established in Stage 3A/3B; numeric global venue ID intentionally blank pending serialized current-main rebase. STAGE6_GLOBAL_IDENTITY_DISPOSITION=PENDING_CURRENT_MAIN_REBASE_NEW_OR_UNREGISTERED Integration rebase resolved final global venue ID VEN-000621.
arizona-state,civic-ice-arena-seattle,VEN-000622,Civic Ice Arena,,Seattle,WA,,,,,1,1954-12-27,1954-12-27,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Arizona State Stage 3A/3B physical-site research. Systematic schedule ledger names `Civic Ice Arena`. Exact canonical physical-building identity is kept separate from H/A/N and remains subject to venue reconciliation. Sources: https://www.sports-reference.com/cbb/schools/arizona-state/men/1955-schedule.html,Research-local physical venue candidate established in Stage 3A/3B; numeric global venue ID intentionally blank pending serialized current-main rebase. STAGE6_GLOBAL_IDENTITY_DISPOSITION=PENDING_CURRENT_MAIN_REBASE_NEW_OR_UNREGISTERED Integration rebase resolved final global venue ID VEN-000622.
arizona-state,howard-hall-portland,VEN-000623,Howard Hall,,Portland,OR,,,,,1,1954-12-29,1954-12-29,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Arizona State Stage 3A/3B physical-site research. Systematic schedule ledger names `Howard Hall`. Exact canonical physical-building identity is kept separate from H/A/N and remains subject to venue reconciliation. Sources: https://www.sports-reference.com/cbb/schools/arizona-state/men/1955-schedule.html,Research-local physical venue candidate established in Stage 3A/3B; numeric global venue ID intentionally blank pending serialized current-main rebase. STAGE6_GLOBAL_IDENTITY_DISPOSITION=PENDING_CURRENT_MAIN_REBASE_NEW_OR_UNREGISTERED Integration rebase resolved final global venue ID VEN-000623.
arizona-state,loyola-memorial-gymnasium,VEN-000624,Loyola Memorial Gymnasium,,Los Angeles,CA,,,,,2,1952-12-13,1957-12-07,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Arizona State Stage 3A/3B physical-site research. Systematic schedule ledger names `Loyola Memorial Gymnasium`. Exact canonical physical-building identity is kept separate from H/A/N and remains subject to venue reconciliation. Sources: https://www.sports-reference.com/cbb/schools/arizona-state/men/1953-schedule.html ; https://www.sports-reference.com/cbb/schools/arizona-state/men/1958-schedule.html,Research-local physical venue candidate established in Stage 3A/3B; numeric global venue ID intentionally blank pending serialized current-main rebase. STAGE6_GLOBAL_IDENTITY_DISPOSITION=PENDING_CURRENT_MAIN_REBASE_NEW_OR_UNREGISTERED Integration rebase resolved final global venue ID VEN-000624.
arizona-state,old-pavilion-stanford,VEN-000625,Old Pavilion,,Stanford,CA,,,,,1,1957-12-30,1957-12-30,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Arizona State Stage 3A/3B physical-site research. Systematic schedule ledger names `Old Pavilion`. Exact canonical physical-building identity is kept separate from H/A/N and remains subject to venue reconciliation. Sources: https://www.sports-reference.com/cbb/schools/arizona-state/men/1958-schedule.html,Research-local physical venue candidate established in Stage 3A/3B; numeric global venue ID intentionally blank pending serialized current-main rebase. STAGE6_GLOBAL_IDENTITY_DISPOSITION=PENDING_CURRENT_MAIN_REBASE_NEW_OR_UNREGISTERED Integration rebase resolved final global venue ID VEN-000625.
arizona-state,rose-field-house-hardin-simmons,VEN-000617,Rose Fieldhouse,,,,,,,,4,1953-01-08,1958-02-15,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Arizona State Stage 3A/3B physical-site research. Systematic schedule ledger names `Rose Fieldhouse`. Exact canonical physical-building identity is kept separate from H/A/N and remains subject to venue reconciliation. Sources: https://www.sports-reference.com/cbb/schools/arizona-state/men/1953-schedule.html ; https://www.sports-reference.com/cbb/schools/arizona-state/men/1955-schedule.html ; https://www.sports-reference.com/cbb/schools/arizona-state/men/1956-schedule.html ; https://www.sports-reference.com/cbb/schools/arizona-state/men/1958-schedule.html,Research-local physical venue candidate established in Stage 3A/3B; numeric global venue ID intentionally blank pending serialized current-main rebase. STAGE6_GLOBAL_IDENTITY_DISPOSITION=PENDING_CURRENT_MAIN_REBASE_NEW_OR_UNREGISTERED Integration rebase resolved final global venue ID VEN-000617.
arizona-state,spartan-gym-san-jose-state,VEN-000626,Spartan Gym,,San Jose,CA,,,,,2,1955-12-30,1957-12-28,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Arizona State Stage 3A/3B physical-site research. Systematic schedule ledger names `Spartan Gym`. Exact canonical physical-building identity is kept separate from H/A/N and remains subject to venue reconciliation. Sources: https://www.sports-reference.com/cbb/schools/arizona-state/men/1956-schedule.html ; https://www.sports-reference.com/cbb/schools/arizona-state/men/1958-schedule.html,Research-local physical venue candidate established in Stage 3A/3B; numeric global venue ID intentionally blank pending serialized current-main rebase. STAGE6_GLOBAL_IDENTITY_DISPOSITION=PENDING_CURRENT_MAIN_REBASE_NEW_OR_UNREGISTERED Integration rebase resolved final global venue ID VEN-000626.
arizona-state,tech-gym-the-barn,VEN-000565,"Tech Gym (""The Barn"")",Tech Gym,Lubbock,TX,,,,,5,1939-02-13,1956-02-01,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Arizona State Stage 3A/3B physical-site research. Systematic schedule ledger names `Tech Gym`. Exact canonical physical-building identity is kept separate from H/A/N and remains subject to venue reconciliation. Sources: https://www.sports-reference.com/cbb/schools/arizona-state/men/1953-schedule.html ; https://www.sports-reference.com/cbb/schools/arizona-state/men/1955-schedule.html ; https://www.sports-reference.com/cbb/schools/arizona-state/men/1956-schedule.html,Research-local physical venue candidate established in Stage 3A/3B; numeric global venue ID intentionally blank pending serialized current-main rebase. Stage 6 research-base reconciliation: definite global physical reuse VEN-000565 (tech-gym-the-barn). Integration rebase resolved final global venue ID VEN-000565.
arizona-state,wt-fieldhouse-west-texas-a-m,VEN-000627,WT Fieldhouse,,Canyon,TX,,,,,4,1953-01-10,1958-02-14,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Arizona State Stage 3A/3B physical-site research. Systematic schedule ledger names `WT Fieldhouse`. Exact canonical physical-building identity is kept separate from H/A/N and remains subject to venue reconciliation. Sources: https://www.sports-reference.com/cbb/schools/arizona-state/men/1953-schedule.html ; https://www.sports-reference.com/cbb/schools/arizona-state/men/1955-schedule.html ; https://www.sports-reference.com/cbb/schools/arizona-state/men/1956-schedule.html ; https://www.sports-reference.com/cbb/schools/arizona-state/men/1958-schedule.html,Research-local physical venue candidate established in Stage 3A/3B; numeric global venue ID intentionally blank pending serialized current-main rebase. STAGE6_GLOBAL_IDENTITY_DISPOSITION=PENDING_CURRENT_MAIN_REBASE_NEW_OR_UNREGISTERED Integration rebase resolved final global venue ID VEN-000627.
