source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
arizona,#12 Alabama,alabama,Alabama,Yes,1,2025-2026,2025-2026,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,#13 BYU,byu,BYU,Yes,1,2025-2026,2025-2026,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,#14 Kansas,kansas,Kansas,Yes,1,2025-2026,2025-2026,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,#15 UCLA,ucla,UCLA,Yes,1,2025-2026,2025-2026,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,#16 Texas Tech,texas-tech,Texas Tech,Yes,1,2025-2026,2025-2026,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,#2 Houston,houston,Houston,Yes,1,2025-2026,2025-2026,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,#20 Auburn (Wear Red),auburn,Auburn,Yes,1,2025-2026,2025-2026,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,#23 BYU,byu,BYU,Yes,1,2025-2026,2025-2026,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,#3 Florida,florida,Florida,Yes,1,2025-2026,2025-2026,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,#3 UConn,uconn,Connecticut,Yes,1,2025-2026,2025-2026,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,#6 Iowa State (Wear White / Senior Day),iowa-state,Iowa State,Yes,1,2025-2026,2025-2026,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,#9 Kansas,kansas,Kansas,Yes,1,2025-2026,2025-2026,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,(rv) UCF,ucf,UCF,Yes,1,2025-2026,2025-2026,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,* UCLA,ucla,UCLA,Yes,1,2005-2006,2005-2006,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Arizona State,arizona-state,Arizona State,Yes,98,1931-1932,2019-2020,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Arizona State (2ot),arizona-state,Arizona State,Yes,1,1994-1995,1994-1995,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Arizona State (ot),arizona-state,Arizona State,Yes,1,1954-1955,1954-1955,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Brigham Young,byu,BYU,Yes,16,1962-1963,1977-1978,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*California,california,California,Yes,34,1978-1979,2018-2019,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*California (2ot),california,California,Yes,2,1985-1986,1986-1987,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*California (ot),california,California,Yes,2,1989-1990,1993-1994,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*California#,california,California,Yes,1,1994-1995,1994-1995,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Colorado,colorado,Colorado,Yes,7,2011-2012,2019-2020,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Colorado (ot),colorado,Colorado,Yes,1,2012-2013,2012-2013,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Colorado State,colorado-state,Colorado State,Yes,9,1969-1970,1977-1978,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Hardin-Simmons,hardin-simmons,Hardin-Simmons,No,15,1941-1942,1960-1961,RESOLVED,Current NCAA Division III institution; longstanding institutional identity.,,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*New Mexico,new-mexico,New Mexico,Yes,36,1932-1933,1977-1978,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*New Mexico (1),new-mexico,New Mexico,Yes,2,1942-1943,1942-1943,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*New Mexico (2 ot),new-mexico,New Mexico,Yes,1,1965-1966,1965-1966,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*New Mexico (ot),new-mexico,New Mexico,Yes,2,1936-1937,1975-1976,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*New Mexico State,new-mexico-state,New Mexico State,Yes,24,1932-1933,1960-1961,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*New Mexico State (ot),new-mexico-state,New Mexico State,Yes,1,1932-1933,1932-1933,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Northern Arizona,northern-arizona,Northern Arizona,Yes,25,1931-1932,1952-1953,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Northern Arizona (2),northern-arizona,Northern Arizona,Yes,1,1941-1942,1941-1942,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Oregon,oregon,Oregon,Yes,37,1979-1980,2018-2019,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Oregon (ot),oregon,Oregon,Yes,3,1978-1979,2019-2020,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Oregon State,oregon-state,Oregon State,Yes,37,1978-1979,2019-2020,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Oregon State (ot),oregon-state,Oregon State,Yes,2,1985-1986,2011-2012,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Stanford,stanford,Stanford,Yes,38,1978-1979,2018-2019,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Stanford (ot),stanford,Stanford,Yes,2,1979-1980,2005-2006,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Texas Tech,texas-tech,Texas Tech,Yes,17,1933-1934,1955-1956,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Texas Tech (1),texas-tech,Texas Tech,Yes,2,1942-1943,1942-1943,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*Texas Tech (2),texas-tech,Texas Tech,Yes,1,1945-1946,1945-1946,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*UCLA,ucla,UCLA,Yes,38,1978-1979,2019-2020,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*UCLA&,ucla,UCLA,Yes,1,1991-1992,1991-1992,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*USC,usc,USC,Yes,38,1978-1979,2019-2020,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*USC (2ot),usc,USC,Yes,1,2009-2010,2009-2010,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
arizona,*USC (ot),usc,USC,Yes,1,1981-1982,1981-1982,RESOLVED,"Resolved to the current repository program identity using the source token, current program registry, and historical-name/context review; no competing current-program identity remains.",,Stage 2 identity research complete. Stage 5 owner NON_D1 sanity scan approved 2026-09-14 with 0 flags; approval applies to the complete NON_D1/historical population.
