source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
ARIZ-STG1-PRE-00001,arizona,2025-26 Arizona record book — year-by-year results,1904-1905,1905,,Morenci YMCA,Morenci YMCA,morenci-ymca,No,40,32,W,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1904-05,Morenci YMCA W 40-32,resolved,Arizona record book omits one or more game-level fields; preserved as genuinely unknown rather than inferred. | Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00002,arizona,2025-26 Arizona record book — year-by-year results,1904-1905,1905,,Bisbee YMCA,Bisbee YMCA,bisbee-ymca,No,19,19,T,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1904-05,Bisbee YMCA T 19-19,resolved,Arizona record book omits one or more game-level fields; preserved as genuinely unknown rather than inferred. | Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00003,arizona,2025-26 Arizona record book — year-by-year results,1906-1907,1907,,Morenci YMCA,Morenci YMCA,morenci-ymca,No,,,W,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1906-07,Morenci YMCA W,resolved,Arizona record book omits one or more game-level fields; preserved as genuinely unknown rather than inferred. | Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00004,arizona,2025-26 Arizona record book — year-by-year results,1906-1907,1907,,Bisbee YMCA,Bisbee YMCA,bisbee-ymca,No,,,L,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1906-07,Bisbee YMCA L,resolved,Arizona record book omits one or more game-level fields; preserved as genuinely unknown rather than inferred. | Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00005,arizona,2025-26 Arizona record book — year-by-year results,1906-1907,1907,,Unknown Opponent,Unknown opponent (Arizona 1906-1907 #1),unknown-opponent-arizona-1906-1907-01,,,,W,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1906-07,Unknown Opponent W,researched_unknown_identity,Arizona record book omits one or more game-level fields; preserved as genuinely unknown rather than inferred. | Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00006,arizona,2025-26 Arizona record book — year-by-year results,1906-1907,1907,,Unknown Opponent,Unknown opponent (Arizona 1906-1907 #2),unknown-opponent-arizona-1906-1907-02,,,,W,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1906-07,Unknown Opponent W,researched_unknown_identity,Arizona record book omits one or more game-level fields; preserved as genuinely unknown rather than inferred. | Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00007,arizona,2025-26 Arizona record book — year-by-year results,1907-1908,1908,,Tucson Athletic Club,Tucson Athletic Club,tucson-athletic-club,No,28,11,W,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1907-08,Tucson Athletic Club W 28-11,resolved,Arizona record book omits one or more game-level fields; preserved as genuinely unknown rather than inferred. | Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00008,arizona,2025-26 Arizona record book — year-by-year results,1907-1908,1908,,Bisbee YMCA,Bisbee YMCA,bisbee-ymca,No,7,34,L,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1907-08,Bisbee YMCA L 7-34,resolved,Arizona record book omits one or more game-level fields; preserved as genuinely unknown rather than inferred. | Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00009,arizona,2025-26 Arizona record book — year-by-year results,1908-1909,1909,,Unknown Opponent,Unknown opponent (Arizona 1908-1909 #1),unknown-opponent-arizona-1908-1909-01,,,,W,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1908-09,[AGGREGATE-ONLY GAME] 1908-09: season header proves an additional W; game-level opponent/date/score unavailable in Arizona record book,researched_unknown_identity,"Aggregate season record proves this competitive game/result count; opponent, exact date, and score are unavailable at game level. Placeholder does not assert a specific opponent identity.",RESEARCHED_UNRESOLVED,Aggregate-only institutional season evidence proves the game but does not preserve opponent/site detail; no game-level H/A/N evidence survives in the Arizona record book.,,,,
ARIZ-STG1-PRE-00010,arizona,2025-26 Arizona record book — year-by-year results,1908-1909,1909,,Unknown Opponent,Unknown opponent (Arizona 1908-1909 #2),unknown-opponent-arizona-1908-1909-02,,,,L,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1908-09,[AGGREGATE-ONLY GAME] 1908-09: season header proves an additional L; game-level opponent/date/score unavailable in Arizona record book,researched_unknown_identity,"Aggregate season record proves this competitive game/result count; opponent, exact date, and score are unavailable at game level. Placeholder does not assert a specific opponent identity.",RESEARCHED_UNRESOLVED,Aggregate-only institutional season evidence proves the game but does not preserve opponent/site detail; no game-level H/A/N evidence survives in the Arizona record book.,,,,
ARIZ-STG1-PRE-00011,arizona,2025-26 Arizona record book — year-by-year results,1909-1910,1910,,Unknown Opponent,Unknown opponent (Arizona 1909-1910 #1),unknown-opponent-arizona-1909-1910-01,,,,W,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1909-10,[AGGREGATE-ONLY GAME] 1909-10: season header proves an additional W; game-level opponent/date/score unavailable in Arizona record book,researched_unknown_identity,"Aggregate season record proves this competitive game/result count; opponent, exact date, and score are unavailable at game level. Placeholder does not assert a specific opponent identity.",RESEARCHED_UNRESOLVED,Aggregate-only institutional season evidence proves the game but does not preserve opponent/site detail; no game-level H/A/N evidence survives in the Arizona record book.,,,,
ARIZ-STG1-PRE-00012,arizona,2025-26 Arizona record book — year-by-year results,1909-1910,1910,,Unknown Opponent,Unknown opponent (Arizona 1909-1910 #2),unknown-opponent-arizona-1909-1910-02,,,,W,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1909-10,[AGGREGATE-ONLY GAME] 1909-10: season header proves an additional W; game-level opponent/date/score unavailable in Arizona record book,researched_unknown_identity,"Aggregate season record proves this competitive game/result count; opponent, exact date, and score are unavailable at game level. Placeholder does not assert a specific opponent identity.",RESEARCHED_UNRESOLVED,Aggregate-only institutional season evidence proves the game but does not preserve opponent/site detail; no game-level H/A/N evidence survives in the Arizona record book.,,,,
ARIZ-STG1-PRE-00013,arizona,2025-26 Arizona record book — year-by-year results,1909-1910,1910,,Unknown Opponent,Unknown opponent (Arizona 1909-1910 #3),unknown-opponent-arizona-1909-1910-03,,,,L,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1909-10,[AGGREGATE-ONLY GAME] 1909-10: season header proves an additional L; game-level opponent/date/score unavailable in Arizona record book,researched_unknown_identity,"Aggregate season record proves this competitive game/result count; opponent, exact date, and score are unavailable at game level. Placeholder does not assert a specific opponent identity.",RESEARCHED_UNRESOLVED,Aggregate-only institutional season evidence proves the game but does not preserve opponent/site detail; no game-level H/A/N evidence survives in the Arizona record book.,,,,
ARIZ-STG1-PRE-00014,arizona,2025-26 Arizona record book — year-by-year results,1909-1910,1910,,Unknown Opponent,Unknown opponent (Arizona 1909-1910 #4),unknown-opponent-arizona-1909-1910-04,,,,L,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1909-10,[AGGREGATE-ONLY GAME] 1909-10: season header proves an additional L; game-level opponent/date/score unavailable in Arizona record book,researched_unknown_identity,"Aggregate season record proves this competitive game/result count; opponent, exact date, and score are unavailable at game level. Placeholder does not assert a specific opponent identity.",RESEARCHED_UNRESOLVED,Aggregate-only institutional season evidence proves the game but does not preserve opponent/site detail; no game-level H/A/N evidence survives in the Arizona record book.,,,,
ARIZ-STG1-PRE-00015,arizona,2025-26 Arizona record book — year-by-year results,1910-1911,1911,,Tucson H.S.,Tucson H.S.,tucson-h-s,No,32,19,W,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1910-11,Tucson H.S. W 32-19,resolved,Arizona record book omits one or more game-level fields; preserved as genuinely unknown rather than inferred. | Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00016,arizona,2025-26 Arizona record book — year-by-year results,1910-1911,1911,,Unknown Opponent,Unknown opponent (Arizona 1910-1911 #1),unknown-opponent-arizona-1910-1911-01,,,,W,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1910-11,[AGGREGATE-ONLY GAME] 1910-11: season header proves an additional W; game-level opponent/date/score unavailable in Arizona record book,researched_unknown_identity,"Aggregate season record proves this competitive game/result count; opponent, exact date, and score are unavailable at game level. Placeholder does not assert a specific opponent identity.",RESEARCHED_UNRESOLVED,Aggregate-only institutional season evidence proves the game but does not preserve opponent/site detail; no game-level H/A/N evidence survives in the Arizona record book.,,,,
ARIZ-STG1-PRE-00017,arizona,2025-26 Arizona record book — year-by-year results,1910-1911,1911,,Unknown Opponent,Unknown opponent (Arizona 1910-1911 #2),unknown-opponent-arizona-1910-1911-02,,,,W,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1910-11,[AGGREGATE-ONLY GAME] 1910-11: season header proves an additional W; game-level opponent/date/score unavailable in Arizona record book,researched_unknown_identity,"Aggregate season record proves this competitive game/result count; opponent, exact date, and score are unavailable at game level. Placeholder does not assert a specific opponent identity.",RESEARCHED_UNRESOLVED,Aggregate-only institutional season evidence proves the game but does not preserve opponent/site detail; no game-level H/A/N evidence survives in the Arizona record book.,,,,
ARIZ-STG1-PRE-00018,arizona,2025-26 Arizona record book — year-by-year results,1911-1912,1912,,Unknown Opponent,Unknown opponent (Arizona 1911-1912 #1),unknown-opponent-arizona-1911-1912-01,,,,W,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1911-12,[AGGREGATE-ONLY GAME] 1911-12: season header proves an additional W; game-level opponent/date/score unavailable in Arizona record book,researched_unknown_identity,"Aggregate season record proves this competitive game/result count; opponent, exact date, and score are unavailable at game level. Placeholder does not assert a specific opponent identity.",RESEARCHED_UNRESOLVED,Aggregate-only institutional season evidence proves the game but does not preserve opponent/site detail; no game-level H/A/N evidence survives in the Arizona record book.,,,,
ARIZ-STG1-PRE-00019,arizona,2025-26 Arizona record book — year-by-year results,1911-1912,1912,,Unknown Opponent,Unknown opponent (Arizona 1911-1912 #2),unknown-opponent-arizona-1911-1912-02,,,,W,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1911-12,[AGGREGATE-ONLY GAME] 1911-12: season header proves an additional W; game-level opponent/date/score unavailable in Arizona record book,researched_unknown_identity,"Aggregate season record proves this competitive game/result count; opponent, exact date, and score are unavailable at game level. Placeholder does not assert a specific opponent identity.",RESEARCHED_UNRESOLVED,Aggregate-only institutional season evidence proves the game but does not preserve opponent/site detail; no game-level H/A/N evidence survives in the Arizona record book.,,,,
ARIZ-STG1-PRE-00020,arizona,2025-26 Arizona record book — year-by-year results,1911-1912,1912,,Unknown Opponent,Unknown opponent (Arizona 1911-1912 #3),unknown-opponent-arizona-1911-1912-03,,,,L,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1911-12,[AGGREGATE-ONLY GAME] 1911-12: season header proves an additional L; game-level opponent/date/score unavailable in Arizona record book,researched_unknown_identity,"Aggregate season record proves this competitive game/result count; opponent, exact date, and score are unavailable at game level. Placeholder does not assert a specific opponent identity.",RESEARCHED_UNRESOLVED,Aggregate-only institutional season evidence proves the game but does not preserve opponent/site detail; no game-level H/A/N evidence survives in the Arizona record book.,,,,
ARIZ-STG1-PRE-00021,arizona,2025-26 Arizona record book — year-by-year results,1911-1912,1912,,Unknown Opponent,Unknown opponent (Arizona 1911-1912 #4),unknown-opponent-arizona-1911-1912-04,,,,L,0,,,,UNKNOWN,,,,,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1911-12,[AGGREGATE-ONLY GAME] 1911-12: season header proves an additional L; game-level opponent/date/score unavailable in Arizona record book,researched_unknown_identity,"Aggregate season record proves this competitive game/result count; opponent, exact date, and score are unavailable at game level. Placeholder does not assert a specific opponent identity.",RESEARCHED_UNRESOLVED,Aggregate-only institutional season evidence proves the game but does not preserve opponent/site detail; no game-level H/A/N evidence survives in the Arizona record book.,,,,
ARIZ-STG1-PRE-00022,arizona,2025-26 Arizona record book — year-by-year results,1912-1913,1913,,Tucson H.S. Alumni,Tucson H.S. Alumni,tucson-h-s-alumni,No,,,W,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1912-13,Tucson H.S. Alumni W,resolved,Arizona record book omits one or more game-level fields; preserved as genuinely unknown rather than inferred. | Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00023,arizona,2025-26 Arizona record book — year-by-year results,1912-1913,1913,,Tucson H.S. Alumni,Tucson H.S. Alumni,tucson-h-s-alumni,No,,,W,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1912-13,Tucson H.S. Alumni W,resolved,Arizona record book omits one or more game-level fields; preserved as genuinely unknown rather than inferred. | Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00024,arizona,2025-26 Arizona record book — year-by-year results,1912-1913,1913,,Bisbee YMCA,Bisbee YMCA,bisbee-ymca,No,,,L,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1912-13,Bisbee YMCA L,resolved,Arizona record book omits one or more game-level fields; preserved as genuinely unknown rather than inferred. | Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00025,arizona,2025-26 Arizona record book — year-by-year results,1912-1913,1913,,Bisbee YMCA,Bisbee YMCA,bisbee-ymca,No,,,L,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1912-13,Bisbee YMCA L,resolved,Arizona record book omits one or more game-level fields; preserved as genuinely unknown rather than inferred. | Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00026,arizona,2025-26 Arizona record book — year-by-year results,1912-1913,1913,1913-02-15,Douglas YMCA,Douglas YMCA,douglas-ymca,No,,,W,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1912-13,F15 Douglas YMCA W,resolved,Arizona record book omits one or more game-level fields; preserved as genuinely unknown rather than inferred. | Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00027,arizona,2025-26 Arizona record book — year-by-year results,1913-1914,1914,1913-12-08,Tucson H.S. Alumni,Tucson H.S. Alumni,tucson-h-s-alumni,No,57,19,W,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1913-14,D8 Tucson H.S. Alumni W 57-19,resolved,Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00028,arizona,2025-26 Arizona record book — year-by-year results,1913-1914,1914,1913-12-13,Arizona State,Arizona State,arizona-state,Yes,41,17,W,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1913-14,D13 Arizona State W 41-17,resolved,Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00029,arizona,2025-26 Arizona record book — year-by-year results,1913-1914,1914,1914-01-10,at Arizona State,Arizona State,arizona-state,Yes,13,9,W,0,,,away-by-source-at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1913-14,J10 at Arizona State W 13-9,resolved,,,,,,,
ARIZ-STG1-PRE-00030,arizona,2025-26 Arizona record book — year-by-year results,1913-1914,1914,1914-01-15,Bisbee YMCA,Bisbee YMCA,bisbee-ymca,No,31,27,W,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1913-14,J15 Bisbee YMCA W 31-27,resolved,Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00031,arizona,2025-26 Arizona record book — year-by-year results,1913-1914,1914,1914-01-23,at Bisbee YMCA,Bisbee YMCA,bisbee-ymca,No,20,36,L,0,,,away-by-source-at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1913-14,J23 at Bisbee YMCA L 20-36,resolved,,,,,,,
ARIZ-STG1-PRE-00032,arizona,2025-26 Arizona record book — year-by-year results,1913-1914,1914,1914-01-24,at Douglas YMCA,Douglas YMCA,douglas-ymca,No,35,24,W,0,,,away-by-source-at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1913-14,J24 at Douglas YMCA W 35-24,resolved,,,,,,,
ARIZ-STG1-PRE-00033,arizona,2025-26 Arizona record book — year-by-year results,1913-1914,1914,1914-01-31,Douglas YMCA,Douglas YMCA,douglas-ymca,No,37,5,W,0,,,,SOURCE_PROGRAM_HOME,,Herring Hall,Tucson,AZ,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1913-14,J31 Douglas YMCA W 37-5,resolved,Historical venue identity resolved in Research; global registration pending current-main Implementation rebase.,,,,,,
ARIZ-STG1-PRE-00034,arizona,2025-26 Arizona record book — year-by-year results,1913-1914,1914,1914-02-06,at Eastern Arizona J.C.,Eastern Arizona College,eastern-arizona-college,No,19,22,L,0,,,away-by-source-at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1913-14,F6 at Eastern Arizona J.C. L 19-22,resolved,,,,,,,
ARIZ-STG1-PRE-00035,arizona,2025-26 Arizona record book — year-by-year results,1913-1914,1914,1914-02-07,at Eastern Arizona J.C.,Eastern Arizona College,eastern-arizona-college,No,23,16,W,0,,,away-by-source-at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Arizona.pdf p.72 YEAR-BY-YEAR RESULTS / 1913-14,F7 at Eastern Arizona J.C. W 23-16,resolved,,,,,,,
