source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
arizona,acrisure-arena,VEN-000242,Acrisure Arena,,Palm Desert,CA,arena,,,unknown,1,2023-11-23,2023-11-23,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Arizona 2025-26 record book and accepted Stage 3A/3B institutional, reciprocal, event, conference-tournament, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base venue_id=VEN-000242. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. Integration rebase resolved final global venue ID VEN-000242.
arizona,alamodome,VEN-000002,Alamodome,,San Antonio,TX,stadium,,,unknown,2,2001-03-23,2001-03-25,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Arizona 2025-26 record book and accepted Stage 3A/3B institutional, reciprocal, event, conference-tournament, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base venue_id=VEN-000002. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. Integration rebase resolved final global venue ID VEN-000002.
arizona,allstate-arena,VEN-000004,Allstate Arena,,Rosemont,IL,arena,,,unknown,2,2005-03-24,2005-03-26,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Arizona 2025-26 record book and accepted Stage 3A/3B institutional, reciprocal, event, conference-tournament, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base venue_id=VEN-000004. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. Integration rebase resolved final global venue ID VEN-000004.
arizona,amica-mutual-pavilion,VEN-000011,Amica Mutual Pavilion,,Providence,RI,pavilion,,,unknown,1,2016-03-17,2016-03-17,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Arizona 2025-26 record book and accepted Stage 3A/3B institutional, reciprocal, event, conference-tournament, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base venue_id=VEN-000011. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. Integration rebase resolved final global venue ID VEN-000011.
arizona,anaheim-convention-center,VEN-000386,Anaheim Convention Center,Anaheim Convention Center Arena,Anaheim,CA,arena,,,unknown,3,2019-11-28,2019-12-01,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Arizona 2025-26 record book and accepted Stage 3A/3B institutional, reciprocal, event, conference-tournament, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base venue_id=VEN-000386. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. Stage 6 registry challenge corrected the Stage 4 pending-registration disposition. Integration rebase resolved final global venue ID VEN-000386.
arizona,arco-arena,VEN-000013,ARCO Arena,,Sacramento,CA,arena,,,unknown,4,1994-03-18,1998-03-14,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Arizona 2025-26 record book and accepted Stage 3A/3B institutional, reciprocal, event, conference-tournament, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base venue_id=VEN-000013. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. Integration rebase resolved final global venue ID VEN-000013.
arizona,bear-down-gym,VEN-000612,Bear Down Gym,,Tucson,AZ,gymnasium,,,unknown,518,1927-01-10,1973-01-18,source_program_home,1926-1927,1972-1973,season,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Arizona 2025-26 record book and accepted Stage 3A/3B institutional, reciprocal, event, conference-tournament, and postseason site research.",Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Numeric venue_id intentionally blank; serialized Implementation must establish/reuse the authoritative current-main physical ID. Arizona home relationship chronology: 1926-1927 through 1941-1942; 1944-1945 through 1970-1971; 1972-1973 before 1973-02-01. Integration rebase resolved final global venue ID VEN-000612.
arizona,bok-center,VEN-000024,BOK Center,,Tulsa,OK,arena,,,unknown,2,2011-03-18,2011-03-20,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Arizona 2025-26 record book and accepted Stage 3A/3B institutional, reciprocal, event, conference-tournament, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base venue_id=VEN-000024. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. Integration rebase resolved final global venue ID VEN-000024.
arizona,bradley-center,VEN-000026,Bradley Center,,Milwaukee,WI,arena,,,unknown,1,1999-03-12,1999-03-12,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Arizona 2025-26 record book and accepted Stage 3A/3B institutional, reciprocal, event, conference-tournament, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base venue_id=VEN-000026. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. Integration rebase resolved final global venue ID VEN-000026.
arizona,brendan-byrne-arena,VEN-000028,Brendan Byrne Arena,,East Rutherford,NJ,arena,,,unknown,2,1989-02-26,1991-02-17,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Arizona 2025-26 record book and accepted Stage 3A/3B institutional, reciprocal, event, conference-tournament, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base venue_id=VEN-000028. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. Integration rebase resolved final global venue ID VEN-000028.
arizona,capital-one-arena,VEN-000036,Capital One Arena,,Washington,DC,arena,,,unknown,1,2008-03-20,2008-03-20,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Arizona 2025-26 record book and accepted Stage 3A/3B institutional, reciprocal, event, conference-tournament, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base venue_id=VEN-000036. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. Integration rebase resolved final global venue ID VEN-000036.
arizona,carlisle-gymnasium-new-mexico,VEN-000613,Carlisle Gymnasium,,Albuquerque,NM,gymnasium,,,unknown,8,1943-02-17,1946-03-02,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Arizona 2025-26 record book and accepted Stage 3A/3B institutional, reciprocal, event, conference-tournament, and postseason site research.",Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Numeric venue_id intentionally blank; serialized Implementation must establish/reuse the authoritative current-main physical ID. Integration rebase resolved final global venue ID VEN-000613.
arizona,charlotte-coliseum-1988,VEN-000041,Charlotte Coliseum,,Charlotte,NC,coliseum,,,unknown,1,1994-04-02,1994-04-02,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,"Arizona 2025-26 record book and accepted Stage 3A/3B institutional, reciprocal, event, conference-tournament, and postseason site research.",Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base venue_id=VEN-000041. Numeric venue_id intentionally blank; serialized Implementation must rebase against current protected main. Integration rebase resolved final global venue ID VEN-000041.
