source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
arkansas,0104 Texas,texas,Texas,Yes,1,1949-1950,1949-1950,resolved,alias / lineage normalization,,
arkansas,120/1 Kansas,kansas,Kansas,Yes,1,1966-1967,1966-1967,resolved,alias / lineage normalization,,
arkansas,@Baylor,baylor,Baylor,Yes,1,1949-1950,1949-1950,resolved,alias / lineage normalization,,
arkansas,Abilene Christian,abilene-christian,Abilene Christian,Yes,2,2020-2021,2023-2024,resolved,exact source identity,,
arkansas,Air Force,air-force,Air Force,Yes,2,1975-1976,1976-1977,resolved,exact source identity,,
arkansas,Akron,akron,Akron,Yes,1,2015-2016,2015-2016,resolved,exact source identity,,
arkansas,Alabama,alabama,Alabama,Yes,71,1947-1948,2025-2026,resolved,exact source identity,,
arkansas,Alabama A&M,alabama-a-m,Alabama A&M,Yes,1,2012-2013,2012-2013,resolved,exact source identity,,
arkansas,Alabama State,alabama-state,Alabama State,Yes,8,1982-1983,2014-2015,resolved,exact source identity,,
arkansas,Alaska-Anchorage,alaska-anchorage,Alaska-Anchorage,No,1,1980-1981,1980-1981,resolved,exact source identity,,
arkansas,Albright College,albright-pa,Albright (Pa.),No,1,1943-1944,1943-1944,resolved,alias / lineage normalization,,
arkansas,Alcorn State,alcorn-state,Alcorn State,Yes,6,1987-1988,2023-2024,resolved,exact source identity,,
arkansas,American U-Puerto Rico,american-university-pr,American University (PR),No,1,1997-1998,1997-1998,resolved,alias / lineage normalization,,
arkansas,Appalachian State,app-state,Appalachian State,Yes,2,2007-2008,2009-2010,resolved,exact source identity,,
arkansas,Arizona,arizona,Arizona,Yes,9,1948-1949,2025-2026,resolved,exact source identity,,
arkansas,Arizona State,arizona-state,Arizona State,Yes,2,1990-1991,2012-2013,resolved,exact source identity,,
arkansas,Arkansas State,arkansas-state,Arkansas State,Yes,5,1924-1925,1986-1987,resolved,exact source identity,,
arkansas,Arkansas Tech,arkansas-tech,Arkansas Tech,No,1,1950-1951,1950-1951,resolved,exact source identity,,
arkansas,Auburn,auburn,Auburn,Yes,63,1967-1968,2025-2026,resolved,exact source identity,,
arkansas,Austin Peay,austin-peay,Austin Peay,Yes,5,1983-1984,2019-2020,resolved,exact source identity,,
arkansas,Baylor,baylor,Baylor,Yes,144,1923-1924,2024-2025,resolved,exact source identity,,
arkansas,Baylor-3,baylor,Baylor,Yes,1,2020-2021,2020-2021,resolved,alias / lineage normalization,,
arkansas,Bemis (Tenn.) YMCA,bemis-tenn-ymca,Bemis (Tenn.) YMCA,No,1,1924-1925,1924-1925,resolved,exact source identity,,
arkansas,Bethune-Cookman,bethune-cookman,Bethune-Cookman,Yes,3,1989-1990,1997-1998,resolved,exact source identity,,
arkansas,Biscayne,st-thomas-university,St. Thomas University,No,1,1981-1982,1981-1982,resolved,alias / lineage normalization,,Official Arkansas series page explicitly says now St. Thomas University.
arkansas,Blytheville AAB (Ark.),blytheville-aab-ark,Blytheville AAB (Ark.),No,1,1944-1945,1944-1945,resolved,exact source identity,,
arkansas,Boise State,boise-state,Boise State,Yes,1,1975-1976,1975-1976,resolved,exact source identity,,
arkansas,Boynton Boys School,boynton-boys-school,Boynton Boys School,No,1,1923-1924,1923-1924,resolved,exact source identity,,
arkansas,Bradley,bradley,Bradley,Yes,1,2022-2023,2022-2023,resolved,exact source identity,,
arkansas,Brigham Young,byu,BYU,Yes,1,1947-1948,1947-1948,resolved,alias / lineage normalization,,
arkansas,Brown Paper Mill AAU,brown-paper-mill-aau,Brown Paper Mill AAU,No,1,1936-1937,1936-1937,resolved,exact source identity,,
arkansas,Bucknell,bucknell,Bucknell,Yes,2,2005-2006,2017-2018,resolved,exact source identity,,
arkansas,Butler,butler,Butler,Yes,2,1930-1931,2017-2018,resolved,exact source identity,,
arkansas,Cairo (Ill.) Aces,cairo-ill-aces,Cairo (Ill.) Aces,No,1,1924-1925,1924-1925,resolved,exact source identity,,
