source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes
ARKRAW-00001,arkansas,historical_media_guide,1923-1924,1924,1923-12-19,Northeastern State,Northeastern (Okla.) State,northeastern-okla-state,No,19,13,W,0,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,,12/19 at Northeastern State W 19 13,resolved,
ARKRAW-00002,arkansas,historical_media_guide,1923-1924,1924,1923-12-20,Northeastern State,Northeastern (Okla.) State,northeastern-okla-state,No,33,12,W,0,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,,12/20 at Northeastern State W 33 12,resolved,
ARKRAW-00003,arkansas,historical_media_guide,1923-1924,1924,1923-12-21,Boynton Boys School,Boynton Boys School,boynton-boys-school,No,46,18,W,0,Arkansas Home,SOURCE_PROGRAM_HOME,,Schmidt Gymnasium,Fayetteville,AR,,,REGULAR_SEASON,,,12/21 Boynton Boys School W 46 18,resolved,
ARKRAW-00004,arkansas,historical_media_guide,1923-1924,1924,1923-12-27,Jonesboro YMCA,Jonesboro YMCA,jonesboro-ymca,No,25,38,L,0,Arkansas Home,SOURCE_PROGRAM_HOME,,Schmidt Gymnasium,Fayetteville,AR,,,REGULAR_SEASON,,,12/27 Jonesboro YMCA L 25 38,resolved,
ARKRAW-00005,arkansas,historical_media_guide,1923-1924,1924,1923-12-29,Gay Oil Company,Gay Oil Company,gay-oil-company,No,34,19,W,0,Arkansas Home,SOURCE_PROGRAM_HOME,,Schmidt Gymnasium,Fayetteville,AR,,,REGULAR_SEASON,,,12/29 Gay Oil Company W 34 19,resolved,
ARKRAW-00006,arkansas,historical_media_guide,1923-1924,1924,1923-12-31,North Little Rock High,North Little Rock High,north-little-rock-high,No,35,28,W,0,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,,12/31 at North Little Rock High W 35 28,resolved,
ARKRAW-00007,arkansas,historical_media_guide,1923-1924,1924,1924-01-01,Fort Smith Faculty,Fort Smith Faculty,fort-smith-faculty,No,69,8,W,0,Arkansas Home,SOURCE_PROGRAM_HOME,,Schmidt Gymnasium,Fayetteville,AR,,,REGULAR_SEASON,,,01/01 Fort Smith Faculty W 69 8,resolved,
ARKRAW-00008,arkansas,historical_media_guide,1923-1924,1924,,Ozark Athletic Club,Ozark Athletic Club,ozark-athletic-club,No,61,36,W,0,Arkansas Home,SOURCE_PROGRAM_HOME,,Schmidt Gymnasium,Fayetteville,AR,,,REGULAR_SEASON,,,Ozark Athletic Club W 61 36,resolved,
ARKRAW-00009,arkansas,historical_media_guide,1923-1924,1924,1924-01-04,Northeastern State,Northeastern (Okla.) State,northeastern-okla-state,No,43,22,W,0,Arkansas Home,SOURCE_PROGRAM_HOME,,Schmidt Gymnasium,Fayetteville,AR,,,REGULAR_SEASON,,,01/04 Northeastern State W 43 22,resolved,
ARKRAW-00010,arkansas,historical_media_guide,1923-1924,1924,1924-01-05,Northeastern State,Northeastern (Okla.) State,northeastern-okla-state,No,42,14,W,0,Arkansas Home,SOURCE_PROGRAM_HOME,,Schmidt Gymnasium,Fayetteville,AR,,,REGULAR_SEASON,,,01/05 Northeastern State W 42 14,resolved,
