index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,auburn,507 Paratrooper Infantry,507-paratrooper-infantry,507 Paratrooper Infantry,No,1,1942-1943,1942-1943,RESOLVED,Auburn guide series / historical non-current identity,,
1,auburn,Air Force,air-force,Air Force,Yes,2,1980-1981,2003-2004,RESOLVED,Current D1 registry / straightforward naming match,,
2,auburn,Alabama,alabama,Alabama,Yes,174,1923-1924,2025-2026,RESOLVED,Current D1 registry / straightforward naming match,,
3,auburn,Alabama A&M,alabama-a-m,Alabama A&M,Yes,4,2007-2008,2023-2024,RESOLVED,Current D1 registry / straightforward naming match,,
4,auburn,Alabama State,alabama-state,Alabama State,Yes,7,1989-1990,2024-2025,RESOLVED,Current D1 registry / straightforward naming match,,
5,auburn,Alaska-Anchorage,alaska-anchorage,Alaska-Anchorage,No,1,1989-1990,1989-1990,RESOLVED,Auburn guide series / historical non-current identity,,
6,auburn,Albany YMCA,albany-ymca,Albany YMCA,No,1,1924-1925,1924-1925,RESOLVED,Auburn guide series / historical non-current identity,,
7,auburn,Appalachian St.,app-state,Appalachian State,Yes,1,2020-2021,2020-2021,RESOLVED,Current D1 registry / Auburn alias normalization,,
8,auburn,Appalachian State,app-state,Appalachian State,Yes,2,1976-1977,2023-2024,RESOLVED,Current D1 registry / Auburn alias normalization,,
9,auburn,Arizona,arizona,Arizona,Yes,3,1985-1986,2025-2026,RESOLVED,Current D1 registry / straightforward naming match,,
10,auburn,Arkansas,arkansas,Arkansas,Yes,63,1967-1968,2025-2026,RESOLVED,Current D1 registry / straightforward naming match,,
11,auburn,Arkansas Pine-Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,1,1999-2000,1999-2000,RESOLVED,Current D1 registry / Auburn alias normalization,,
12,auburn,Arkansas State,arkansas-state,Arkansas State,Yes,1,1979-1980,1979-1980,RESOLVED,Current D1 registry / straightforward naming match,,
13,auburn,Arkansas-Little Rock,little-rock,Little Rock,Yes,1,1996-1997,1996-1997,RESOLVED,Current D1 registry / Auburn alias normalization,,
14,auburn,Arkansas-Pine Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,4,1996-1997,2013-2014,RESOLVED,Current D1 registry / Auburn alias normalization,,
15,auburn,Armstrong State,armstrong-state,Armstrong State,No,3,1980-1981,1986-1987,RESOLVED,Auburn guide series / historical non-current identity,,
