index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,AUBRAW-00001,auburn,media_guide_2025_26,1905-1906,1906,1906-01-19,Tulane,Tulane,tulane,Yes,27,7,W,0,,,Auburn Home,SOURCE_PROGRAM_HOME,,,Auburn,AL,,,REGULAR_SEASON,,PDF p. 98,J19 vs. Tulane W 27 7,resolved,,,,,
1,AUBRAW-00002,auburn,media_guide_2025_26,1905-1906,1906,1906-02-07,Montgomery YMCA,Montgomery YMCA,montgomery-ymca,No,29,12,W,0,,,Auburn Home,SOURCE_PROGRAM_HOME,,,Auburn,AL,,,REGULAR_SEASON,,PDF p. 98,F7 vs. Montgomery YMCA W 29 12,resolved,,,,,
2,AUBRAW-00003,auburn,media_guide_2025_26,1905-1906,1906,1906-02-07,Columbus YMCA,Columbus YMCA,columbus-ymca,No,16,18,L,0,,,Auburn Home,SOURCE_PROGRAM_HOME,,,Auburn,AL,,,REGULAR_SEASON,,PDF p. 98,F7 vs. Columbus YMCA L 16 18,resolved,,,,,
3,AUBRAW-00004,auburn,media_guide_2025_26,1905-1906,1906,1906-02-15,Mercer,Mercer,mercer,Yes,64,8,W,0,,,Auburn Home,SOURCE_PROGRAM_HOME,,,Auburn,AL,,,REGULAR_SEASON,,PDF p. 98,F15 vs. Mercer W 64 8,resolved,,,,,
4,AUBRAW-00005,auburn,media_guide_2025_26,1905-1906,1906,1906-02-16,Atlanta Athletic Club,Atlanta Athletic Club,atlanta-athletic-club,No,28,17,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 98,F16 at Atlanta Athletic Club W 28 17,resolved,,,,,
5,AUBRAW-00006,auburn,media_guide_2025_26,1905-1906,1906,1906-02-17,Georgia Tech,Georgia Tech,georgia-tech,Yes,26,6,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 98,F17 at Georgia Tech W 26 6,resolved,,,,,
6,AUBRAW-00007,auburn,media_guide_2025_26,1905-1906,1906,1906-03-16,Birmingham Athletic Club,Birmingham Athletic Club,birmingham-athletic-club,No,14,14,T,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 98,M16 at Birmingham Athletic Club T 14 14,resolved,,,,,
7,AUBRAW-00008,auburn,media_guide_2025_26,1906-1907,1907,1907-01-19,Tulane,Tulane,tulane,Yes,35,15,W,0,,,Auburn Home,SOURCE_PROGRAM_HOME,,,Auburn,AL,,,REGULAR_SEASON,,PDF p. 98,J19 vs. Tulane W 35 15,resolved,,,,,
8,AUBRAW-00009,auburn,media_guide_2025_26,1906-1907,1907,,Mercer,Mercer,mercer,Yes,48,9,W,0,,,Unknown,UNKNOWN,,,,,,,REGULAR_SEASON,,PDF p. 98,Mercer W 48 9,resolved,,,,,
9,AUBRAW-00010,auburn,media_guide_2025_26,1906-1907,1907,1907-02-14,Columbus YMCA,Columbus YMCA,columbus-ymca,No,29,27,W,1,,,Auburn Home,SOURCE_PROGRAM_HOME,,,Auburn,AL,,,REGULAR_SEASON,,PDF p. 98,F14 vs. Columbus YMCA (OT) W 29 27,resolved,,,,,
