source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
baylor,* ARKANSAS,arkansas,Arkansas,TRUE,69,1923-1924,1990-1991,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* COLORADO 10,183",colorado,Colorado,TRUE,1,2000-2001,2000-2001,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* COLORADO 2,117",colorado,Colorado,TRUE,1,1998-1999,1998-1999,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* COLORADO 5,215",colorado,Colorado,TRUE,1,1996-1997,1996-1997,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* COLORADO 5,601",colorado,Colorado,TRUE,1,2006-2007,2006-2007,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* COLORADO 5,774",colorado,Colorado,TRUE,1,2004-2005,2004-2005,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* COLORADO 6,095",colorado,Colorado,TRUE,1,2010-2011,2010-2011,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* COLORADO 6,578",colorado,Colorado,TRUE,1,2002-2003,2002-2003,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* COLORADO 7,192",colorado,Colorado,TRUE,1,2008-2009,2008-2009,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,* HOUSTON,houston,Houston,TRUE,17,1975-1976,1991-1992,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* HOUSTON 2,726",houston,Houston,TRUE,1,1994-1995,1994-1995,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* HOUSTON 3,433",houston,Houston,TRUE,1,1993-1994,1993-1994,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* HOUSTON 4,851",houston,Houston,TRUE,1,1995-1996,1995-1996,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* HOUSTON 5,157",houston,Houston,TRUE,1,1992-1993,1992-1993,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* IOWA STATE 10,010",iowa-state,Iowa State,TRUE,1,2001-2002,2001-2002,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* IOWA STATE 4,785",iowa-state,Iowa State,TRUE,1,1997-1998,1997-1998,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* IOWA STATE 4,815",iowa-state,Iowa State,TRUE,1,1999-2000,1999-2000,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* IOWA STATE 5,556",iowa-state,Iowa State,TRUE,1,2015-2016,2015-2016,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* IOWA STATE 5,782",iowa-state,Iowa State,TRUE,1,2005-2006,2005-2006,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
