source_game_id,source_program_key,season_label,game_date,source_opponent_label,normalized_opponent_key,normalized_opponent_name,team_score,opponent_score,played_result,overtime_periods,curated_site_type,curated_venue_name,city,state,curated_game_type,curated_postseason_round,event_or_tournament,administrative_status,site_research_status,site_research_basis,raw_text,source_page,source_series_event_note
BAYRAW-00001,baylor,1906-1907,1906-10-12,COWDEN HALL,cowden-hall,Cowden Hall,18,11,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,O12 COWDEN HALL W 18-11,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00002,baylor,1906-1907,1906-11-06,WACO Y,waco-ymca,Waco YMCA,43,18,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,N6 WACO Y W 43-18,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00003,baylor,1906-1907,1906-11-21,CLEBURNE Y,cleburne-ymca,Cleburne YMCA,20,32,L,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,N21 CLEBURNE Y L 20-32,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00004,baylor,1906-1907,1906-11-23,TEMPLE Y,temple-ymca,Temple YMCA,21,26,L,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,N23 TEMPLE Y L 21-26,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00005,baylor,1906-1907,1906-11-24,DECATUR COLLEGE,dallas-baptist,Dallas Baptist University,16,33,L,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,N24 DECATUR COLLEGE L 16-33,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00006,baylor,1906-1907,1906-11-30,FORT WORTH U,fort-worth-university,Fort Worth University,12,22,L,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,N30 FORT WORTH U L 12-22 D,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00007,baylor,1906-1907,1907-01-26,DECATUR COLLEGE,dallas-baptist,Dallas Baptist University,10,42,L,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,J26 DECATUR COLLEGE L 10-42,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00008,baylor,1906-1907,1907-02-01,at Texas,texas,Texas,27,38,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,F1 at Texas L 27-38,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00009,baylor,1906-1907,1907-02-16,TEXAS BAPTIST,texas-baptist-university,Texas Baptist University,25,11,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,F16 TEXAS BAPTIST W 25-11 F,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00010,baylor,1906-1907,1907-02-22,TEXAS,texas,Texas,23,21,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,F22 TEXAS W 23-21,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00011,baylor,1906-1907,1907-02-26,TEXAS,texas,Texas,28,24,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,F26 TEXAS W 28-24,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00012,baylor,1907-1908,,WACO Y,waco-ymca,Waco YMCA,55,23,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,WACO Y W 55-23,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00013,baylor,1907-1908,,FORT WORTH Y,fort-worth-ymca,Fort Worth YMCA,43,23,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,FORT WORTH Y W 43-23,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00014,baylor,1907-1908,,DECATUR COLLEGE,dallas-baptist,Dallas Baptist University,26,22,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,DECATUR COLLEGE W 26-22,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00015,baylor,1907-1908,,POLY COLLEGE,texas-wesleyan,Texas Wesleyan,20,10,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,POLY COLLEGE W 20-10,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00016,baylor,1907-1908,,FORT WORTH Y,fort-worth-ymca,Fort Worth YMCA,25,49,L,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,FORT WORTH Y L 25-49,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00017,baylor,1907-1908,,DECATUR COLLEGE,dallas-baptist,Dallas Baptist University,24,36,L,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,DECATUR COLLEGE L 24-36,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00018,baylor,1907-1908,,ALLEN ACADEMY,allen-academy,Allen Academy,34,16,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,ALLEN ACADEMY W 34-16 D,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00019,baylor,1907-1908,,FORT WORTH Y,fort-worth-ymca,Fort Worth YMCA,25,35,L,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,FORT WORTH Y L 25-35,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00020,baylor,1908-1909,1908-12-16,WACO HS,waco-hs,Waco HS,31,13,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,D16 WACO HS W 31-13,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00021,baylor,1908-1909,1908-12-18,TCU,tcu,TCU,37,6,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,D18 TCU W 37-6,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00022,baylor,1908-1909,1909-01-16,MART Y,mart-ymca,Mart YMCA,56,13,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,J16 MART Y W 56-13,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00023,baylor,1908-1909,1909-01-22,WACO Y,waco-ymca,Waco YMCA,50,30,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,J22 WACO Y W 50-30,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00024,baylor,1908-1909,1909-01-23,WACO Y,waco-ymca,Waco YMCA,55,32,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,J23 WACO Y W 55-32,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00025,baylor,1908-1909,1909-01-30,TCU,tcu,TCU,39,9,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,J30 TCU W 39-9,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00026,baylor,1908-1909,1909-02-05,at Fort Worth Y,fort-worth-ymca,Fort Worth YMCA,28,23,W,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,F5 at Fort Worth Y W 28-23,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00027,baylor,1908-1909,1909-02-06,at Decatur College,dallas-baptist,Dallas Baptist University,18,20,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,F6 at Decatur College L 18-20,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00028,baylor,1908-1909,1909-02-08,at Poly College,texas-wesleyan,Texas Wesleyan,52,23,W,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,F8 at Poly College W 52-23 D,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00029,baylor,1908-1909,1909-02-08,at Fort Worth Y,fort-worth-ymca,Fort Worth YMCA,24,26,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,F8 at Fort Worth Y L 24-26,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00030,baylor,1908-1909,1909-02-12,DECATUR COLLEGE,dallas-baptist,Dallas Baptist University,39,30,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,F12 DECATUR COLLEGE W 39-30,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00031,baylor,1908-1909,1909-02-13,DECATUR COLLEGE,dallas-baptist,Dallas Baptist University,41,20,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,F13 DECATUR COLLEGE W 41-20,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00032,baylor,1908-1909,1909-02-25,at Fort Sam Houston,fort-sam-houston,Fort Sam Houston,35,18,W,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,F25 at Fort Sam Houston W 35-18,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00033,baylor,1908-1909,1909-02-26,at San Antonio HS,san-antonio-hs,San Antonio HS,17,24,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,F26 at San Antonio HS L 17-24,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00034,baylor,1908-1909,1909-02-26,at San Antonio Y,san-antonio-ymca,San Antonio YMCA,34,36,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,F26 at San Antonio Y L 34-36 F,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00035,baylor,1908-1909,1909-02-27,at Texas,texas,Texas,47,34,W,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,F27 at Texas L 34-47 F,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,Stage 1 accepted correction (RECIPROCAL_PERSPECTIVE_CORRECTION): Baylor row is printed from Texas perspective. Texas official fact book records Texas L 34-47 vs Baylor on 1909-02-27; Baylor result is W 47-34.
BAYRAW-00036,baylor,1908-1909,1909-02-27,at Texas,texas,Texas,21,39,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,F27 at Texas W 39-21,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,Stage 1 accepted correction (RECIPROCAL_PERSPECTIVE_CORRECTION): Baylor row is printed from Texas perspective. Texas official fact book records Texas W 39-21 vs Baylor on 1909-02-27; Baylor result is L 21-39.
BAYRAW-00037,baylor,1909-1910,1910-01-13,TCU,tcu,TCU,35,22,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,J13 TCU W 35-22,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
BAYRAW-00038,baylor,1909-1910,1910-01-14,TCU,tcu,TCU,82,25,W,0,SOURCE_PROGRAM_HOME,Carroll Field,Waco,TX,REGULAR_SEASON,,,,,,J14 TCU W 82-25,BU_MBB_Media_Almanac_25-26_Final.pdf PDF page 100,
