source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
baylor,abrams-gym-fort-hood,VEN-000566,Abrams Gym,,Fort Hood,TX,gymnasium,,,,1,2015-12-16,2015-12-16,alternate_home,2015-12-16,2015-12-16,exact,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Baylor Stage 3A/3B physical-site research,Research-local physical venue candidate; no numeric global venue ID assigned during Research. Serialized current-main rebase is required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000566.
baylor,alaska-airlines-center,VEN-000567,Alaska Airlines Center,,Anchorage,AK,arena,,,,1,2019-11-08,2019-11-08,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Baylor Stage 3A/3B physical-site research,Research-local physical venue candidate; no numeric global venue ID assigned during Research. Serialized current-main rebase is required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000567.
baylor,american-airlines-center,VEN-000010,American Airlines Center,,Dallas,TX,arena,,,,8,2003-03-13,2024-11-09,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Baylor Stage 3A/3B physical-site research,Research-base global venue identity reused (VEN-000010); numeric identity remains subject to serialized current-main rebase before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000010.
baylor,amica-mutual-pavilion,VEN-000011,Amica Mutual Pavilion,Dunkin' Donuts Center,Providence,RI,pavilion,,,,1,2016-03-17,2016-03-17,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Baylor Stage 3A/3B physical-site research,Research-base global venue identity reused (VEN-000011); numeric identity remains subject to serialized current-main rebase before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000011.
baylor,at-t-stadium,VEN-000015,AT&T Stadium,,Arlington,TX,stadium,,,,1,2013-12-06,2013-12-06,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Baylor Stage 3A/3B physical-site research,Research-base global venue identity reused (VEN-000015); numeric identity remains subject to serialized current-main rebase before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000015.
baylor,baha-mar-convention-center,VEN-000267,Baha Mar Convention Center,,Nassau,BS,arena,,,,2,2024-11-21,2024-11-22,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Baylor Stage 3A/3B physical-site research,Research-base global venue identity reused (VEN-000267); numeric identity remains subject to serialized current-main rebase before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000267.
baylor,ball-arena,VEN-000018,Ball Arena,,Denver,CO,arena,,,,2,2023-03-17,2023-03-19,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Baylor Stage 3A/3B physical-site research,Research-base global venue identity reused (VEN-000018); numeric identity remains subject to serialized current-main rebase before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000018.
baylor,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,arena,,,,2,2023-11-22,2023-11-24,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Baylor Stage 3A/3B physical-site research,Research-base global venue identity reused (VEN-000020); numeric identity remains subject to serialized current-main rebase before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000020.
baylor,barton-coliseum,VEN-000568,Barton Coliseum,,Little Rock,AR,coliseum,,,,1,1987-03-12,1987-03-12,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Baylor Stage 3A/3B physical-site research,Research-local physical venue candidate; no numeric global venue ID assigned during Research. Serialized current-main rebase is required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000568.
baylor,beard-eaves-memorial-coliseum,VEN-000022,Beard-Eaves-Memorial Coliseum,,Auburn,AL,coliseum,,,,1,2009-03-24,2009-03-24,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Baylor Stage 3A/3B physical-site research,Research-base global venue identity reused (VEN-000022); numeric identity remains subject to serialized current-main rebase before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000022.
baylor,bok-center,VEN-000024,BOK Center,,Tulsa,OK,arena,,,,2,2017-03-17,2017-03-19,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Baylor Stage 3A/3B physical-site research,Research-base global venue identity reused (VEN-000024); numeric identity remains subject to serialized current-main rebase before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000024.
