index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,butler,--/rv SETON HALL,seton-hall,Seton Hall,Yes,1,2020-2021,2020-2021,RESOLVED,CURRENT_MAIN_ALIAS_OR_LINEAGE,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
1,butler,--/rv ST. JOHN’S,st-john-s,St. John's,Yes,1,2025-2026,2025-2026,RESOLVED,CURRENT_MAIN_ALIAS_OR_LINEAGE,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
2,butler,--/rv VILLANOVA,villanova,Villanova,Yes,1,2025-2026,2025-2026,RESOLVED,CURRENT_MAIN_ALIAS_OR_LINEAGE,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
3,butler,AIR FORCE,air-force,Air Force,Yes,1,1972-1973,1972-1973,RESOLVED,DIRECT,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
4,butler,AKRON,akron,Akron,Yes,1,1964-1965,1964-1965,RESOLVED,DIRECT,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
5,butler,ALABAMA,alabama,Alabama,Yes,1,1930-1931,1930-1931,RESOLVED,DIRECT,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
6,butler,Alabama State,alabama-state,Alabama State,Yes,1,2005-2006,2005-2006,RESOLVED,DIRECT,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
7,butler,Alabama-Birmingham,uab,UAB,Yes,1,1980-1981,1980-1981,RESOLVED,CURRENT_MAIN_ALIAS_OR_LINEAGE,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
8,butler,American-P.R.,american-puerto-rico,American-Puerto Rico,No,1,1996-1997,1996-1997,RESOLVED,OWNER_APPROVED_NON_D1,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
9,butler,ANDERSON,anderson,Anderson,No,2,1992-1993,1996-1997,RESOLVED,OWNER_APPROVED_NON_D1,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
10,butler,Appalachian State,app-state,Appalachian State,Yes,1,1980-1981,1980-1981,RESOLVED,CURRENT_MAIN_ALIAS_OR_LINEAGE,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
11,butler,Arizona,arizona,Arizona,Yes,4,1970-1971,2016-2017,RESOLVED,DIRECT,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
12,butler,ARKANSAS,arkansas,Arkansas,Yes,1,1930-1931,1930-1931,RESOLVED,DIRECT,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
13,butler,Arkansas,arkansas,Arkansas,Yes,1,2017-2018,2017-2018,RESOLVED,DIRECT,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
14,butler,AUBURN,auburn,Auburn,Yes,1,1974-1975,1974-1975,RESOLVED,DIRECT,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
15,butler,Auburn,auburn,Auburn,Yes,1,1975-1976,1975-1976,RESOLVED,DIRECT,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
16,butler,Augustana (S.D.),augustana-sd,Augustana (S.D.),No,1,1974-1975,1974-1975,RESOLVED,OWNER_APPROVED_NON_D1,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
17,butler,AUGUSTANA (S.D.),augustana-sd,Augustana (S.D.),No,1,1975-1976,1975-1976,RESOLVED,OWNER_APPROVED_NON_D1,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
18,butler,Austin Peay,austin-peay,Austin Peay,Yes,1,1988-1989,1988-1989,RESOLVED,DIRECT,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
19,butler,AUSTIN PEAY,austin-peay,Austin Peay,Yes,2,1988-1989,2024-2025,RESOLVED,DIRECT,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
20,butler,Ball State,ball-state,Ball State,Yes,52,1924-1925,2013-2014,RESOLVED,DIRECT,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
21,butler,BALL STATE,ball-state,Ball State,Yes,50,1939-1940,2012-2013,RESOLVED,DIRECT,,Owner-approved NON_D1 census applied where applicable; current-D1 aliases/lineages normalized against current project registry.
