source_game_id,source_program_key,season_label,game_date,source_opponent_label,normalized_opponent_key,normalized_opponent_name,team_score,opponent_score,played_result,overtime_periods,curated_site_type,curated_venue_name,city,state,curated_game_type,curated_postseason_round,event_or_tournament,administrative_status,site_research_status,site_research_basis,raw_text,source_page,source_series_event_note
BUTRAW-00001,butler,1895-1896,1896-01-29,Y.M.C.A.,ymca-1895-96-unspecified,YMCA — unspecified,1,13,L,0,SOURCE_PROGRAM_HOME,,Indianapolis,IN,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Butler official all-time ledger, Butler institutional facility history, and targeted reciprocal/archival evidence establish Butler HOME in Indianapolis; before the March 7, 1928 Butler Fieldhouse opening, surviving game-level evidence does not safely identify a single predecessor building.","J29  Y.M.C.A.                          L, 1-13",44,
BUTRAW-00002,butler,1897-1898,,Y.M.C.A.,indianapolis-ymca,Indianapolis YMCA,0,21,L,0,SOURCE_PROGRAM_HOME,,Indianapolis,IN,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Butler official all-time ledger, Butler institutional facility history, and targeted reciprocal/archival evidence establish Butler HOME in Indianapolis; before the March 7, 1928 Butler Fieldhouse opening, surviving game-level evidence does not safely identify a single predecessor building.","Y.M.C.A.                          L, 0-21",44,
BUTRAW-00003,butler,1897-1898,,Y.M.C.A.,indianapolis-ymca,Indianapolis YMCA,10,15,L,0,SOURCE_PROGRAM_HOME,,Indianapolis,IN,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Butler official all-time ledger, Butler institutional facility history, and targeted reciprocal/archival evidence establish Butler HOME in Indianapolis; before the March 7, 1928 Butler Fieldhouse opening, surviving game-level evidence does not safely identify a single predecessor building.","Y.M.C.A.                         L, 10-15",44,
BUTRAW-00004,butler,1897-1898,,Indiana,indiana,Indiana,6,22,L,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,"Butler official all-time results ledger and Butler-published series history were cross-checked; targeted authoritative reciprocal histories were used where uniquely matchable. Remaining H/A/N cannot be established safely without inferring from geography, typography alone, or venue chronology.","Indiana                           L, 6-22",44,
BUTRAW-00005,butler,1897-1898,,Rose Polytechnic Inst.,rose-hulman,Rose-Hulman,18,0,W,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,"Butler official all-time results ledger and Butler-published series history were cross-checked; targeted authoritative reciprocal histories were used where uniquely matchable. Remaining H/A/N cannot be established safely without inferring from geography, typography alone, or venue chronology.","Rose Polytechnic Inst.        W, 18-0",44,
BUTRAW-00006,butler,1897-1898,,Miami (Ohio),miami-oh,Miami (OH),0,6,L,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,"Butler official all-time results ledger and Butler-published series history were cross-checked; targeted authoritative reciprocal histories were used where uniquely matchable. Remaining H/A/N cannot be established safely without inferring from geography, typography alone, or venue chronology.","Miami (Ohio)                      L, 0-6",44,
BUTRAW-00007,butler,1897-1898,,Earlham,earlham,Earlham,18,0,W,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,"Butler official all-time results ledger and Butler-published series history were cross-checked; targeted authoritative reciprocal histories were used where uniquely matchable. Remaining H/A/N cannot be established safely without inferring from geography, typography alone, or venue chronology.","Earlham                   W, 18-0",44,
BUTRAW-00008,butler,1897-1898,,Indianapolis Ath. Club,indianapolis-athletic-club,Indianapolis Athletic Club,0,14,L,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,"Butler official all-time results ledger and Butler-published series history were cross-checked; targeted authoritative reciprocal histories were used where uniquely matchable. Remaining H/A/N cannot be established safely without inferring from geography, typography alone, or venue chronology.","Indianapolis Ath. Club            L, 0-14",44,
BUTRAW-00009,butler,1898-1899,1899-01-01,Wabash,wabash,Wabash,10,20,L,0,NEUTRAL,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,"Butler official event/series material and targeted site research were reviewed; neutral classification is established, but surviving evidence does not safely identify the exact physical venue and/or complete location.","Wabash                         L, 10-20",44,Exact date/H-A-N recovered from official reciprocal opponent history matched uniquely by season and score.
BUTRAW-00010,butler,1898-1899,,Y.M.C.A.,indianapolis-ymca,Indianapolis YMCA,20,30,L,0,SOURCE_PROGRAM_HOME,,Indianapolis,IN,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED_HOME_VENUE,"Butler official all-time ledger, Butler institutional facility history, and targeted reciprocal/archival evidence establish Butler HOME in Indianapolis; before the March 7, 1928 Butler Fieldhouse opening, surviving game-level evidence does not safely identify a single predecessor building.","Y.M.C.A.                         L, 20-30",44,
BUTRAW-00011,butler,1899-1900,,Wabash,wabash,Wabash,2,0,W,1,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,"Butler official all-time results ledger and Butler-published series history were cross-checked; targeted authoritative reciprocal histories were used where uniquely matchable. Remaining H/A/N cannot be established safely without inferring from geography, typography alone, or venue chronology.","Wabash                W, 2-0 (OT)",44,
