index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,opened,closed,date_precision,games_using_venue,first_game_date,last_game_date,source_basis,notes
0,butler,arena-auditorium,VEN-000364,Arena-Auditorium,,Laramie,WY,arena,,,,4,1991-03-15,2005-11-15,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000364.
1,butler,arsenal-technical-high-school,VEN-000460,Arsenal Technical High School,Tech H.S.;Arsenal Tech,Indianapolis,IN,arena,,,,5,1943-01-04,1943-02-19,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000460.
2,butler,simon-skjodt-assembly-hall,VEN-000186,Assembly Hall,Simon Skjodt Assembly Hall,Bloomington,IN,arena,,,,1,1985-03-15,1985-03-15,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase mechanically normalized research venue key 'assembly-hall' to authoritative physical venue key 'simon-skjodt-assembly-hall' (VEN-000186). Integration rebase resolved final global venue ID VEN-000186.
3,butler,athletics-recreation-center,VEN-000461,Athletics-Recreation Center,,Valparaiso,IN,arena,,,,2,2012-03-02,2012-03-03,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000461.
4,butler,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,arena,,,,3,2013-03-14,2013-03-16,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000020.
5,butler,legacy-arena,VEN-000109,BJCC Arena,Birmingham-Jefferson Civic Center Arena,Birmingham,AL,arena,,,,4,2003-03-21,2008-03-23,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase mechanically normalized research venue key 'bjcc-arena' to authoritative physical venue key 'legacy-arena' (VEN-000109). Integration rebase resolved final global venue ID VEN-000109.
6,butler,bradley-center,VEN-000026,BMO Harris Bradley Center,Bradley Center,Milwaukee,WI,arena,,,,2,2017-03-16,2017-03-18,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase mechanically normalized research venue key 'bmo-harris-bradley-center' to authoritative physical venue key 'bradley-center' (VEN-000026). Integration rebase resolved final global venue ID VEN-000026.
7,butler,brown-county-arena,VEN-000462,Brown County Arena,,Ashwaubenon,WI,arena,,,,4,1998-02-28,2002-02-14,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000462.
8,butler,jma-wireless-dome,VEN-000096,Carrier Dome,JMA Wireless Dome,Syracuse,NY,arena,,,,1,2002-03-18,2002-03-18,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase mechanically normalized research venue key 'carrier-dome' to authoritative physical venue key 'jma-wireless-dome' (VEN-000096). Integration rebase resolved final global venue ID VEN-000096.
9,butler,carver-arena,VEN-000463,Carver Arena,,Peoria,IL,arena,,,,1,1999-03-10,1999-03-10,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000463.
10,butler,ppg-paints-arena,VEN-000167,Consol Energy Center,PPG Paints Arena,Pittsburgh,PA,arena,,,,2,2015-03-19,2015-03-21,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase mechanically normalized research venue key 'consol-energy-center' to authoritative physical venue key 'ppg-paints-arena' (VEN-000167). Integration rebase resolved final global venue ID VEN-000167.
11,butler,credit-union-1-arena,VEN-000339,Credit Union 1 Arena,UIC Pavilion,Chicago,IL,arena,,,,7,1984-03-08,2000-03-07,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000339.
12,butler,donald-l-tucker-civic-center,VEN-000058,Donald L. Tucker Civic Center,,Tallahassee,FL,arena,,,,1,2006-03-17,2006-03-17,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000058.
13,butler,the-dome-at-america-s-center,VEN-000204,Edward Jones Dome,The Dome at America’s Center;The Dome at Americas Center,St. Louis,MO,arena,,,,1,2007-03-23,2007-03-23,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase mechanically normalized research venue key 'edward-jones-dome' to authoritative physical venue key 'the-dome-at-america-s-center' (VEN-000204). Integration rebase resolved final global venue ID VEN-000204.
14,butler,delta-center,VEN-000055,EnergySolutions Arena,Delta Center,Salt Lake City,UT,arena,,,,2,2010-03-25,2010-03-27,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration current-main rebase mechanically normalized research venue key 'energysolutions-arena' to authoritative physical venue key 'delta-center' (VEN-000055). Integration rebase resolved final global venue ID VEN-000055.
15,butler,fedexforum,VEN-000062,FedExForum,,Memphis,TN,arena,,,,1,2017-03-24,2017-03-24,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000062.
16,butler,gainbridge-fieldhouse,VEN-000070,Gainbridge Fieldhouse,Conseco Fieldhouse;Conseco Fieldhouse / Bankers Life Fieldhouse;Bankers Life Fieldhouse,Indianapolis,IN,arena,,,,21,2001-12-28,2025-12-20,Butler official record book/facility history; owner-authorized Butler-relevant conference-tournament workbook; targeted NCAA/postseason institutional or reciprocal research.,Research-time physical identity; numeric global venue ID intentionally deferred to current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000070.
