source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
byu,!Weber Academy,weber-state,Weber State,Yes,1,1906-1907,1906-1907,RESOLVED,OFFICIAL_INSTITUTIONAL_LINEAGE,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,#Brown-King (SL),brown-king-salt-lake,Brown-King (Salt Lake),No,1,1916-1917,1916-1917,RESOLVED,HISTORICAL_OR_NON_D1_IDENTITY,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,#Illinois AC,illinois-athletic-club,Illinois Athletic Club,No,1,1916-1917,1916-1917,RESOLVED,HISTORICAL_OR_NON_D1_IDENTITY,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,#NW Normal (OK),northwestern-oklahoma-state,Northwestern Oklahoma State,No,1,1916-1917,1916-1917,RESOLVED,OFFICIAL_INSTITUTIONAL_LINEAGE,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,#Seward Park Bro.,seward-park-brotherhood,Seward Park Brotherhood,No,1,1916-1917,1916-1917,RESOLVED,HISTORICAL_OR_NON_D1_IDENTITY,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,14/14 Gonzaga*,gonzaga,Gonzaga,Yes,1,2017-2018,2017-2018,RESOLVED,CURRENT_MAIN_PROGRAM_IDENTITY,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,16/18 Saint Mary’s*,saint-mary-s,Saint Mary's,Yes,1,2017-2018,2017-2018,RESOLVED,CURRENT_PROGRAM_NAME_VARIANT,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,20/18 Saint Mary’s%,saint-mary-s,Saint Mary's,Yes,1,2016-2017,2016-2017,RESOLVED,CURRENT_PROGRAM_NAME_VARIANT,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,20/23 Saint Mary’s$,saint-mary-s,Saint Mary's,Yes,1,2017-2018,2017-2018,RESOLVED,CURRENT_PROGRAM_NAME_VARIANT,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,38th Infantry,38th-infantry,38th Infantry,No,1,1929-1930,1929-1930,RESOLVED,HISTORICAL_OR_NON_D1_IDENTITY,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,6/6 Gonzaga*,gonzaga,Gonzaga,Yes,1,2017-2018,2017-2018,RESOLVED,CURRENT_MAIN_PROGRAM_IDENTITY,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,6/8 Gonzaga$,gonzaga,Gonzaga,Yes,1,2017-2018,2017-2018,RESOLVED,CURRENT_MAIN_PROGRAM_IDENTITY,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,A.F. Apollos,american-fork-apollos,American Fork Apollos,No,3,1904-1905,1904-1905,RESOLVED,HISTORICAL_OR_NON_D1_IDENTITY,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,A.F. Legion,american-fork-legion,American Fork Legion,No,2,1921-1922,1921-1922,RESOLVED,OFFICIAL_BYU_GAME_LEVEL,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,Abilene Christian,abilene-christian,Abilene Christian,Yes,1,2025-2026,2025-2026,RESOLVED,CURRENT_MAIN_PROGRAM_IDENTITY,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,Adams State,adams-state,Adams State,No,1,2015-2016,2015-2016,RESOLVED,HISTORICAL_OR_NON_D1_IDENTITY,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,Air Force,air-force,Air Force,Yes,59,1961-1962,2010-2011,RESOLVED,CURRENT_MAIN_PROGRAM_IDENTITY,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,Air Force (OT),air-force,Air Force,Yes,1,1988-1989,1988-1989,RESOLVED,CURRENT_MAIN_PROGRAM_IDENTITY,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,Air Force**,air-force,Air Force,Yes,1,1984-1985,1984-1985,RESOLVED,CURRENT_MAIN_PROGRAM_IDENTITY,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,Air Force** (OT),air-force,Air Force,Yes,1,1986-1987,1986-1987,RESOLVED,CURRENT_MAIN_PROGRAM_IDENTITY,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,Air Force+,air-force,Air Force,Yes,1,1991-1992,1991-1992,RESOLVED,CURRENT_MAIN_PROGRAM_IDENTITY,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,Air Force^,air-force,Air Force,Yes,2,2000-2001,2008-2009,RESOLVED,CURRENT_MAIN_PROGRAM_IDENTITY,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
byu,Alabama,alabama,Alabama,Yes,1,1957-1958,1957-1958,RESOLVED,CURRENT_MAIN_PROGRAM_IDENTITY,,Stage 2 identity research complete; formal owner NON_D1 sanity scan remains pending Stage 5.
