source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
BYURAW-00001,byu,2025-26_byu_almanac_year_by_year_results,1902-1903,1903,1903-02-06,LDSU,Latter-day Saints University (Salt Lake City),latter-day-saints-university,No,7,47,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,guide p. 71,F 6 at LDSU 7-47 L,resolved,,,,,,,
BYURAW-00002,byu,2025-26_byu_almanac_year_by_year_results,1902-1903,1903,1903-02-14,BY College,Brigham Young College,brigham-young-college,No,13,17,L,0,,,,SOURCE_PROGRAM_HOME,,BY Academy Training School Men's Gymnasium,Provo,UT,,,REGULAR_SEASON,,guide p. 71,F 14 BY College 13-17 L,resolved,,,,,,,
BYURAW-00003,byu,2025-26_byu_almanac_year_by_year_results,1902-1903,1903,1903-02-21,Weber Academy,Weber State,weber-state,Yes,30,18,W,0,,,,SOURCE_PROGRAM_HOME,,BY Academy Training School Men's Gymnasium,Provo,UT,,,REGULAR_SEASON,,guide p. 71,F 21 Weber Academy 30-18 W,resolved,,,,,,,
BYURAW-00004,byu,2025-26_byu_almanac_year_by_year_results,1902-1903,1903,1903-02-27,Weber Academy,Weber State,weber-state,Yes,17,16,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,guide p. 71,F 27 at Weber Academy 17-16 W,resolved,,,,,,,
BYURAW-00005,byu,2025-26_byu_almanac_year_by_year_results,1902-1903,1903,1903-02-28,BY College,Brigham Young College,brigham-young-college,No,20,17,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,guide p. 71,F 28 at BY College 20-17 W,resolved,,,,,,,
BYURAW-00006,byu,2025-26_byu_almanac_year_by_year_results,1902-1903,1903,1903-03-07,LDSU,Latter-day Saints University (Salt Lake City),latter-day-saints-university,No,13,23,L,0,,,,SOURCE_PROGRAM_HOME,,BY Academy Training School Men's Gymnasium,Provo,UT,,,REGULAR_SEASON,,guide p. 71,M 7 LDSU 13-23 L,resolved,,,,,,,
BYURAW-00007,byu,2025-26_byu_almanac_year_by_year_results,1902-1903,1903,1903-03-21,LDSU,Latter-day Saints University (Salt Lake City),latter-day-saints-university,No,13,30,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,guide p. 71,M 21 at LDSU 13-30 L,resolved,,,,,,,
BYURAW-00008,byu,2025-26_byu_almanac_year_by_year_results,1902-1903,1903,1903-03-28,Colorado,Colorado,colorado,Yes,23,15,W,0,,,,SOURCE_PROGRAM_HOME,,BY Academy Training School Men's Gymnasium,Provo,UT,,,REGULAR_SEASON,,guide p. 71,M 28 Colorado 23-15 W,resolved,,,,,,,
BYURAW-00009,byu,2025-26_byu_almanac_year_by_year_results,1902-1903,1903,1903-04-02,Colorado,Colorado,colorado,Yes,10,16,L,0,,,,SOURCE_PROGRAM_HOME,,BY Academy Training School Men's Gymnasium,Provo,UT,,,REGULAR_SEASON,,guide p. 71,A 2 Colorado 10-16 L,resolved,,,,,,,
BYURAW-00010,byu,2025-26_byu_almanac_year_by_year_results,1903-1904,1904,1904-01-09,Salt Lake HS,Salt Lake High School,salt-lake-high-school,No,38,8,W,0,,,,SOURCE_PROGRAM_HOME,,BY Academy Training School Men's Gymnasium,Provo,UT,,,REGULAR_SEASON,,guide p. 71,J 9 Salt Lake HS 38-8 W,resolved,,,,,,,
BYURAW-00011,byu,2025-26_byu_almanac_year_by_year_results,1903-1904,1904,1904-01-16,LDSU,Latter-day Saints University (Salt Lake City),latter-day-saints-university,No,17,22,L,0,,,,SOURCE_PROGRAM_HOME,,BY Academy Training School Men's Gymnasium,Provo,UT,,,REGULAR_SEASON,,guide p. 71,J 16 LDSU 17-22 L,resolved,,,,,,,
BYURAW-00012,byu,2025-26_byu_almanac_year_by_year_results,1903-1904,1904,1904-01-22,Weber Academy,Weber State,weber-state,Yes,43,13,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,guide p. 71,J 22 at Weber Academy 43-13 W,resolved,,,,,,,
BYURAW-00013,byu,2025-26_byu_almanac_year_by_year_results,1903-1904,1904,1904-01-23,BY College,Brigham Young College,brigham-young-college,No,18,9,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,guide p. 71,J 23 at BY College 18-9 W,resolved,,,,,,,
BYURAW-00014,byu,2025-26_byu_almanac_year_by_year_results,1903-1904,1904,1904-02-06,BY College,Brigham Young College,brigham-young-college,No,17,18,L,0,,,,SOURCE_PROGRAM_HOME,,BY Academy Training School Men's Gymnasium,Provo,UT,,,REGULAR_SEASON,,guide p. 71,F 6 BY College 17-18 L,resolved,,,,,,,
BYURAW-00015,byu,2025-26_byu_almanac_year_by_year_results,1903-1904,1904,1904-02-19,LDSU,Latter-day Saints University (Salt Lake City),latter-day-saints-university,No,20,27,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,guide p. 71,F 19 at LDSU 20-27 L,resolved,,,,,,,
BYURAW-00016,byu,2025-26_byu_almanac_year_by_year_results,1904-1905,1905,1905-01-21,A.F. Apollos,American Fork Apollos,american-fork-apollos,No,,,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,guide p. 71,J 21 at A.F. Apollos NS L,resolved,,,,,,,
BYURAW-00017,byu,2025-26_byu_almanac_year_by_year_results,1904-1905,1905,1905-01-28,LDSU,Latter-day Saints University (Salt Lake City),latter-day-saints-university,No,51,7,W,0,,,,SOURCE_PROGRAM_HOME,,BY Academy Training School Men's Gymnasium,Provo,UT,,,REGULAR_SEASON,,guide p. 71,J 28 LDSU 51-7 W,resolved,,,,,,,
BYURAW-00018,byu,2025-26_byu_almanac_year_by_year_results,1904-1905,1905,1905-02-03,State Deaf School,Utah School for the Deaf,utah-school-for-the-deaf,No,64,6,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,guide p. 71,F 3 at State Deaf School 64-6 W,resolved,,,,,,,
BYURAW-00019,byu,2025-26_byu_almanac_year_by_year_results,1904-1905,1905,1905-02-04,BY College,Brigham Young College,brigham-young-college,No,22,14,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,guide p. 71,F 4 at BY College 22-14 W,resolved,,,,,,,
BYURAW-00020,byu,2025-26_byu_almanac_year_by_year_results,1904-1905,1905,1905-02-10,A.F. Apollos,American Fork Apollos,american-fork-apollos,No,,,W,0,,,,SOURCE_PROGRAM_HOME,,BY Academy Training School Men's Gymnasium,Provo,UT,,,REGULAR_SEASON,,guide p. 71,F 10 A.F. Apollos NS W,resolved,,,,,,,
BYURAW-00021,byu,2025-26_byu_almanac_year_by_year_results,1904-1905,1905,1905-02-11,BY College,Brigham Young College,brigham-young-college,No,19,12,W,0,,,,SOURCE_PROGRAM_HOME,,BY Academy Training School Men's Gymnasium,Provo,UT,,,REGULAR_SEASON,,guide p. 71,F 11 BY College 19-12 W,resolved,,,,,,,
