source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
byu,allstate-arena,VEN-000004,Allstate Arena,,Rosemont,IL,arena,,,unknown,2,1993-03-18,1993-03-20,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted BYU Stage 3A/3B game-level venue/site research; owner-authorized conference-tournament workbook and institutional/NCAA evidence where applicable.,Research-lane physical venue identity. Numeric venue_id intentionally blank; serialized Implementation must perform the authoritative current-main rebase. Integration rebase resolved final global venue ID VEN-000004.
byu,amica-mutual-pavilion,VEN-000011,Amica Mutual Pavilion,,Providence,RI,arena,,,unknown,2,1981-03-12,1981-03-14,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted BYU Stage 3A/3B game-level venue/site research; owner-authorized conference-tournament workbook and institutional/NCAA evidence where applicable.,Research-lane physical venue identity. Numeric venue_id intentionally blank; serialized Implementation must perform the authoritative current-main rebase. Integration rebase resolved final global venue ID VEN-000011.
byu,arena-auditorium,VEN-000364,Arena-Auditorium,,Laramie,WY,arena,,,unknown,4,1986-03-06,1991-03-09,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted BYU Stage 3A/3B game-level venue/site research; owner-authorized conference-tournament workbook and institutional/NCAA evidence where applicable.,Research-lane physical venue identity. Numeric venue_id intentionally blank; serialized Implementation must perform the authoritative current-main rebase. Integration rebase resolved final global venue ID VEN-000364.
byu,asisu-minidome,VEN-000598,ASISU Minidome (Holt Arena),,Pocatello,ID,arena,,,unknown,1,1972-03-11,1972-03-11,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted BYU Stage 3A/3B game-level venue/site research; owner-authorized conference-tournament workbook and institutional/NCAA evidence where applicable.,Research-lane physical venue identity. Numeric venue_id intentionally blank; serialized Implementation must perform the authoritative current-main rebase. Integration rebase resolved final global venue ID VEN-000598.
byu,ball-arena,VEN-000018,Ball Arena,,Denver,CO,arena,,,unknown,9,2004-03-11,2025-03-22,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted BYU Stage 3A/3B game-level venue/site research; owner-authorized conference-tournament workbook and institutional/NCAA evidence where applicable.,Research-lane physical venue identity. Numeric venue_id intentionally blank; serialized Implementation must perform the authoritative current-main rebase. Integration rebase resolved final global venue ID VEN-000018.
byu,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,arena,,,unknown,3,2012-11-16,2017-11-25,,,,,Venue identity never establishes H/A/N; assignment applied only after independent neutral classification.,BYU Stage 6 official-schedule/event recovery plus physical-identity reconciliation where naming continuity applies.,Current-main physical reuse. Numeric/global venue ID intentionally blank until serialized Implementation current-main rebase. Integration rebase resolved final global venue ID VEN-000020.
byu,bradley-center,VEN-000026,Bradley Center,,Milwaukee,WI,arena,,,unknown,1,2014-03-20,2014-03-20,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted BYU Stage 3A/3B game-level venue/site research; owner-authorized conference-tournament workbook and institutional/NCAA evidence where applicable.,Research-lane physical venue identity. Numeric venue_id intentionally blank; serialized Implementation must perform the authoritative current-main rebase. Integration rebase resolved final global venue ID VEN-000026.
byu,byu-training-school-mens-gymnasium,VEN-000599,BY Academy Training School Men's Gymnasium,,Provo,UT,gymnasium,,,unknown,166,1903-02-14,1927-12-22,primary_home,1902-1903,1927-1928,season,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Official BYU historical facility chronology: early home games were played in the men's gymnasium on the third floor of the Training School building on lower campus; BYU moved home games to the Women's Gym in 1928.,Research-lane physical venue identity. Numeric venue_id intentionally blank; serialized Implementation must perform the authoritative current-main rebase. Integration rebase resolved final global venue ID VEN-000599.
byu,byu-womens-gymnasium,VEN-000600,Ladies Gymnasium (Women's Gymnasium),Ladies Gymnasium; Old Ladies Gymnasium; Women's Gymnasium,Provo,UT,gymnasium,,,unknown,212,1928-01-07,1946-03-10,primary_home,1927-1928,1945-1946,season,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Official BYU historical media-guide chronology says BYU moved home games to the Women's Gym on University Avenue in 1928; current BYU guide identifies the Old Ladies Gymnasium as a Provo home floor.,Research-lane physical venue identity. Numeric venue_id intentionally blank; serialized Implementation must perform the authoritative current-main rebase. Integration rebase resolved final global venue ID VEN-000600.
byu,cannon-activities-center,VEN-000389,Cannon Activities Center,Cannon Event Center,Laie,HI,arena,,,unknown,3,2000-12-21,2000-12-23,,,,,Venue identity never establishes H/A/N; assignment applied only after independent neutral classification.,BYU Stage 6 official-schedule/event recovery plus physical-identity reconciliation where naming continuity applies.,Current-main physical reuse; source naming alias Cannon Event Center. Numeric/global venue ID intentionally blank until serialized Implementation current-main rebase. Integration rebase resolved final global venue ID VEN-000389.
