index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,california,63rd Infantry,63rd-infantry,63rd Infantry,No,2,1917-1918,1917-1918,RESOLVED,RESEARCHED_NON_D1_IDENTITY,,Literal historical/non-D1 identity retained after current-program registry review; no supported current-D1 merge. Representative raw labels: 63rd Infantry
1,california,Air Force,air-force,Air Force,Yes,8,1965-1966,2024-2025,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Representative raw labels: Air Force; Air Force#; Air Force+; Air Force¤; at Air Force
2,california,Akron,akron,Akron,Yes,1,2005-2006,2005-2006,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Representative raw labels: Akron
3,california,Alabama,alabama,Alabama,Yes,1,1994-1995,1994-1995,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Representative raw labels: Alabama* (OT) (14/X)
4,california,Alabama-Birmingham,uab,UAB,Yes,1,1987-1988,1987-1988,RESOLVED,CURRENT_REGISTRY_MATCH,,Historical/spelling/source alias resolved to current protected-main program identity. Representative raw labels: Alabama-Birmingham+
5,california,Alameda Coast Guard,alameda-coast-guard,Alameda Coast Guard,No,4,1942-1943,1944-1945,RESOLVED,RESEARCHED_NON_D1_IDENTITY,,"Historical Alameda Coast Guard service team, distinct from San Francisco Coast Guard Pilots. Representative raw labels: Alameda Coast Guard"
6,california,Alameda NAS,alameda-nas,Alameda NAS,No,3,1944-1945,1945-1946,RESOLVED,RESEARCHED_NON_D1_IDENTITY,,Literal historical/non-D1 identity retained after current-program registry review; no supported current-D1 merge. Representative raw labels: Alameda NAS
7,california,Alameda Wheelmen,alameda-wheelmen,Alameda Wheelmen,No,1,1908-1909,1908-1909,RESOLVED,RESEARCHED_NON_D1_IDENTITY,,Literal historical/non-D1 identity retained after current-program registry review; no supported current-D1 merge. Representative raw labels: Alameda Wheelmen
8,california,Alaska-Anchorage,alaska-anchorage,Alaska-Anchorage,No,2,1977-1978,1990-1991,RESOLVED,RESEARCHED_NON_D1_IDENTITY,,Literal historical/non-D1 identity retained after current-program registry review; no supported current-D1 merge. Representative raw labels: Alaska-Anchorage; Alaska-Anchorage#
9,california,Albany,ualbany,UAlbany,Yes,1,2000-2001,2000-2001,RESOLVED,CURRENT_REGISTRY_MATCH,,Historical/spelling/source alias resolved to current protected-main program identity. Representative raw labels: Albany
10,california,Alcorn State,alcorn-state,Alcorn State,Yes,3,1980-1981,2016-2017,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Representative raw labels: Alcorn State; Alcorn State+
11,california,Alumni,california-alumni,California Alumni,No,9,1923-1924,1952-1953,RESOLVED,RESEARCHED_NON_D1_IDENTITY,,"Historical/non-D1 institutional, club, service, or lower-division identity; no current-D1 registry match. Representative raw labels: Alumni"
12,california,Alumni All-Stars,california-alumni,California Alumni,No,1,1936-1937,1936-1937,RESOLVED,RESEARCHED_NON_D1_IDENTITY,,"Historical/non-D1 institutional, club, service, or lower-division identity; no current-D1 registry match. Representative raw labels: Alumni All-Stars"
13,california,American,american-university,American University,Yes,1,1988-1989,1988-1989,RESOLVED,CURRENT_REGISTRY_MATCH,,Historical/spelling/source alias resolved to current protected-main program identity. Representative raw labels: American
14,california,American Legion,american-legion,American Legion,No,1,1922-1923,1922-1923,RESOLVED,RESEARCHED_NON_D1_IDENTITY,,Literal historical/non-D1 identity retained after current-program registry review; no supported current-D1 merge. Representative raw labels: American Legion
15,california,Arizona,arizona,Arizona,Yes,105,1923-1924,2023-2024,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Representative raw labels: (3OT) * #21 Arizona; * #1 Arizona; * #12 Arizona; * #14 Arizona; * #18 Arizona; * #3 Arizona; * #4 Arizona; * #7 Arizona; * Arizona; * at #11 Arizona; * at #18 Arizona; * at #19 Arizona
16,california,Arizona St.,arizona-state,Arizona State,Yes,4,1980-1981,2007-2008,RESOLVED,CURRENT_REGISTRY_MATCH,,Historical/spelling/source alias resolved to current protected-main program identity. Representative raw labels: Arizona St. (2 OT) (X/5); Arizona St. (X/22) (2OT); at Arizona St. (19/X); at Arizona St. (2 OT)
17,california,Arizona State,arizona-state,Arizona State,Yes,89,1955-1956,2023-2024,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Representative raw labels: (OT) * Arizona State; * #14 Arizona State; * #16 Arizona State; * #25 Arizona State; * Arizona State; * at #14 Arizona State; * at #21 Arizona State; * at Arizona State; Arizona State; Arizona State (18/X); Arizona State (23/X); Arizona State (2OT)
18,california,Arkansas,arkansas,Arkansas,Yes,3,1986-1987,2013-2014,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Representative raw labels: Arkansas; Arkansas+; vs.Arkansas
19,california,Arkansas-Little Rock,little-rock,Little Rock,Yes,1,1986-1987,1986-1987,RESOLVED,CURRENT_REGISTRY_MATCH,,Historical/spelling/source alias resolved to current protected-main program identity. Representative raw labels: at Arkansas-Little Rock#
20,california,Army,army,Army,Yes,1,1969-1970,1969-1970,RESOLVED,CURRENT_REGISTRY_MATCH,,Current protected-main program registry identity at research_base_sha. Representative raw labels: Army+
