index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,CAL-R1-00001,california,cal_record_book_through_2024_25,1907-1908,1908,,Nevada,Nevada,nevada,Yes,41,9,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,2,41 Nevada 9 W,resolved,,RESEARCHED_UNRESOLVED,"Stage 3A terminal researched historical H/A/N debt after target-series, reciprocal institutional, schedule, event, and convergence review; preserved UNKNOWN rather than inferred.",,,,
1,CAL-R1-00002,california,cal_record_book_through_2024_25,1908-1909,1909,,Watsonville YMCA,Watsonville YMCA,watsonville-ymca,No,41,17,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,2,41 Watsonville YMCA 17 W,resolved,,RESEARCHED_UNRESOLVED,"Stage 3A terminal researched historical H/A/N debt after target-series, reciprocal institutional, schedule, event, and convergence review; preserved UNKNOWN rather than inferred.",,,,
2,CAL-R1-00003,california,cal_record_book_through_2024_25,1908-1909,1909,,Pacific,Pacific,pacific,Yes,39,28,W,0,,,H,SOURCE_PROGRAM_HOME,Old Harmon Gymnasium,Old Harmon Gymnasium,Berkeley,CA,,,REGULAR_SEASON,,2,39 Pacific 28 W,resolved,,,,,,,
3,CAL-R1-00004,california,cal_record_book_through_2024_25,1908-1909,1909,,Duboce Athletic Club,Duboce Athletic Club,duboce-athletic-club,No,43,6,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,2,43 Duboce Athletic Club 6 W,resolved,,RESEARCHED_UNRESOLVED,"Stage 3A terminal researched historical H/A/N debt after target-series, reciprocal institutional, schedule, event, and convergence review; preserved UNKNOWN rather than inferred.",,,,
4,CAL-R1-00005,california,cal_record_book_through_2024_25,1908-1909,1909,,Watsonville YMCA,Watsonville YMCA,watsonville-ymca,No,33,23,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,2,33 Watsonville YMCA 23 W,resolved,,RESEARCHED_UNRESOLVED,"Stage 3A terminal researched historical H/A/N debt after target-series, reciprocal institutional, schedule, event, and convergence review; preserved UNKNOWN rather than inferred.",,,,
5,CAL-R1-00006,california,cal_record_book_through_2024_25,1908-1909,1909,,Alameda Wheelmen,Alameda Wheelmen,alameda-wheelmen,No,39,20,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,2,39 Alameda Wheelmen 20 W,resolved,,RESEARCHED_UNRESOLVED,"Stage 3A terminal researched historical H/A/N debt after target-series, reciprocal institutional, schedule, event, and convergence review; preserved UNKNOWN rather than inferred.",,,,
6,CAL-R1-00007,california,cal_record_book_through_2024_25,1908-1909,1909,,Rivals,Rivals,rivals,No,48,16,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,2,48 Rivals 16 W,resolved,,RESEARCHED_UNRESOLVED,"Stage 3A terminal researched historical H/A/N debt after target-series, reciprocal institutional, schedule, event, and convergence review; preserved UNKNOWN rather than inferred.",,,,
7,CAL-R1-00008,california,cal_record_book_through_2024_25,1908-1909,1909,,Stockton All-Stars,Stockton All-Stars,stockton-all-stars,No,25,12,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,2,25 Stockton All-Stars 12 W,resolved,,RESEARCHED_UNRESOLVED,"Stage 3A terminal researched historical H/A/N debt after target-series, reciprocal institutional, schedule, event, and convergence review; preserved UNKNOWN rather than inferred.",,,,
8,CAL-R1-00009,california,cal_record_book_through_2024_25,1908-1909,1909,,Los Angeles YMCA,Los Angeles YMCA,los-angeles-ymca,No,22,13,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,2,22 Los Angeles YMCA 13 W,resolved,,RESEARCHED_UNRESOLVED,"Stage 3A terminal researched historical H/A/N debt after target-series, reciprocal institutional, schedule, event, and convergence review; preserved UNKNOWN rather than inferred.",,,,
9,CAL-R1-00010,california,cal_record_book_through_2024_25,1911-1912,1912,,Stanford,Stanford,stanford,Yes,32,16,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,2,32 Stanford 16 W,resolved,,RESEARCHED_UNRESOLVED,"Stage 3A terminal researched historical H/A/N debt after target-series, reciprocal institutional, schedule, event, and convergence review; preserved UNKNOWN rather than inferred.",,,,
10,CAL-R1-00011,california,cal_record_book_through_2024_25,1911-1912,1912,,Stockton+,Stockton,stockton,No,17,29,L,0,FORFEIT,Cal record book records W by forfeit by Stockton; on-court score 17-29 is retained as a played loss.,U,UNKNOWN,,,,,,,REGULAR_SEASON,,2,17 Stockton+ 29 W,resolved,,RESEARCHED_UNRESOLVED,"Stage 3A terminal researched historical H/A/N debt after target-series, reciprocal institutional, schedule, event, and convergence review; preserved UNKNOWN rather than inferred.",,,,
11,CAL-R1-00012,california,cal_record_book_through_2024_25,1912-1913,1913,,Stanford,Stanford,stanford,Yes,28,15,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,2,28 Stanford 15 W,resolved,,RESEARCHED_UNRESOLVED,"Stage 3A terminal researched historical H/A/N debt after target-series, reciprocal institutional, schedule, event, and convergence review; preserved UNKNOWN rather than inferred.",,,,
12,CAL-R1-00013,california,cal_record_book_through_2024_25,1912-1913,1913,,Stanford,Stanford,stanford,Yes,22,12,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,2,22 Stanford 12 W,resolved,,RESEARCHED_UNRESOLVED,"Stage 3A terminal researched historical H/A/N debt after target-series, reciprocal institutional, schedule, event, and convergence review; preserved UNKNOWN rather than inferred.",,,,
13,CAL-R1-00014,california,cal_record_book_through_2024_25,1913-1914,1914,,Stanford,Stanford,stanford,Yes,32,12,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,2,32 Stanford 12 W,resolved,,,,,,,
14,CAL-R1-00015,california,cal_record_book_through_2024_25,1913-1914,1914,,Stanford,Stanford,stanford,Yes,37,17,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,2,37 Stanford 17 W,resolved,,,,,,,
15,CAL-R1-00016,california,cal_record_book_through_2024_25,1914-1915,1915,,San Francisco,San Francisco,san-francisco,Yes,31,13,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,2,31 San Francisco 13 W,resolved,,RESEARCHED_UNRESOLVED,"Stage 3A terminal researched historical H/A/N debt after target-series, reciprocal institutional, schedule, event, and convergence review; preserved UNKNOWN rather than inferred.",,,,
16,CAL-R1-00017,california,cal_record_book_through_2024_25,1914-1915,1915,,St. Mary’s,Saint Mary's,saint-mary-s,Yes,39,33,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,2,39 St. Mary’s 33 W,resolved,,RESEARCHED_UNRESOLVED,"Stage 3A terminal researched historical H/A/N debt after target-series, reciprocal institutional, schedule, event, and convergence review; preserved UNKNOWN rather than inferred.",,,,
17,CAL-R1-00018,california,cal_record_book_through_2024_25,1914-1915,1915,,Pacific,Pacific,pacific,Yes,39,14,W,0,,,H,SOURCE_PROGRAM_HOME,Old Harmon Gymnasium,Old Harmon Gymnasium,Berkeley,CA,,,REGULAR_SEASON,,2,39 Pacific 14 W,resolved,,,,,,,
18,CAL-R1-00019,california,cal_record_book_through_2024_25,1914-1915,1915,,Nevada,Nevada,nevada,Yes,28,17,W,0,,,H,SOURCE_PROGRAM_HOME,Old Harmon Gymnasium,Old Harmon Gymnasium,Berkeley,CA,,,REGULAR_SEASON,,2,28 Nevada 17 W,resolved,,,,,,,
