index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,california,american-airlines-center,VEN-000010,American Airlines Center,,Dallas,TX,arena,,,,1,2006-03-17,2006-03-17,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,California Stage 3A/3B accepted physical-site research.,Research-time physical identity; no safe research-base global ID assigned. Serialized Implementation must rebase against current main. Integration rebase resolved final global venue ID VEN-000010.
1,california,anaheim-convention-center,VEN-000386,Anaheim Convention Center,,Anaheim,CA,arena,,,,3,2012-11-22,2012-11-25,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,California Stage 3A/3B accepted physical-site research.,Research-base global venue identity reused; serialized Implementation must rebase against current main. Integration rebase resolved final global venue ID VEN-000386.
2,california,honda-center,VEN-000082,Arrowhead Pond,,Anaheim,CA,arena,,,,1,2002-12-07,2002-12-07,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,California Stage 3A/3B accepted physical-site research.,Research-base global venue identity reused; serialized Implementation must rebase against current main. Integration rebase resolved final global venue ID VEN-000082.
3,california,simon-skjodt-assembly-hall,VEN-000186,Assembly Hall,,Bloomington,IN,arena,,,,1,1980-12-13,1980-12-13,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,California Stage 3A/3B accepted physical-site research.,Research-base global venue identity reused; serialized Implementation must rebase against current main. Integration rebase resolved final global venue ID VEN-000186.
4,california,simon-skjodt-assembly-hall,VEN-000186,Assembly Hall,,Bloomington,IN,arena,,,,1,1980-12-12,1980-12-12,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,California Stage 3A/3B accepted physical-site research.,Research-time physical identity; no safe research-base global ID assigned. Serialized Implementation must rebase against current main. Implementation Stage 1 current-main rebase: authoritative global physical identity simon-skjodt-assembly-hall/VEN-000186. Integration rebase resolved final global venue ID VEN-000186.
5,california,baoshan-arena,VEN-000388,Baoshan Arena,,Shanghai,China,arena,,,,1,2018-11-09,2018-11-09,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,California Stage 3A/3B accepted physical-site research.,Research-base global venue identity reused; serialized Implementation must rebase against current main. Integration rebase resolved final global venue ID VEN-000388.
6,california,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,arena,,,,2,2018-11-19,2018-11-20,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,California Stage 3A/3B accepted physical-site research.,Research-base global venue identity reused; serialized Implementation must rebase against current main. Integration rebase resolved final global venue ID VEN-000020.
7,california,bloch-arena,VEN-000633,Bloch Arena,,Honolulu,HI,arena,,,,2,2016-12-06,2016-12-07,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,California Stage 3A/3B accepted physical-site research.,Research-time physical identity; no safe research-base global ID assigned. Serialized Implementation must rebase against current main. Integration rebase resolved final global venue ID VEN-000633.
8,california,cu-events-center,VEN-000052,CU Events Center,,Boulder,CO,arena,,,,1,2011-03-18,2011-03-18,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,California Stage 3A/3B accepted physical-site research.,Research-time physical identity; no safe research-base global ID assigned. Serialized Implementation must rebase against current main. Integration rebase resolved final global venue ID VEN-000052.
9,california,carlson-center,VEN-000466,Carlson Center,,Fairbanks,AK,arena,,,,3,1999-11-18,1999-11-21,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,California Stage 3A/3B accepted physical-site research.,Research-base global venue identity reused; serialized Implementation must rebase against current main. Integration rebase resolved final global venue ID VEN-000466.
