source_program_key,start_season,end_season,conference_key,conference_name,membership_type,ongoing,basis,notes
cincinnati,1901-1902,1909-1910,independent,Independent,independent,No,"Cincinnati 2025-26 institutional record book, Yearly Records by Conference Affiliation; owner-authorized Implementation Stage 1 correction.",Corrects the frozen Research conference chronology before INTEGRATION_FROZEN. No conference tournament is inferred or asserted.
cincinnati,1910-1911,1924-1925,ohio-athletic,Ohio Athletic Conference,primary,No,"Cincinnati 2025-26 institutional record book, Yearly Records by Conference Affiliation; owner-authorized Implementation Stage 1 correction.",Corrects the frozen Research conference chronology before INTEGRATION_FROZEN. No conference tournament is inferred or asserted.
cincinnati,1925-1926,1936-1937,buckeye-athletic,Buckeye Athletic Association,primary,No,"Cincinnati 2025-26 institutional record book, Yearly Records by Conference Affiliation; owner-authorized Implementation Stage 1 correction.",Corrects the frozen Research conference chronology before INTEGRATION_FROZEN. No conference tournament is inferred or asserted.
cincinnati,1937-1938,1945-1946,independent,Independent,independent,No,"Cincinnati 2025-26 institutional record book, Yearly Records by Conference Affiliation; owner-authorized Implementation Stage 1 correction.",Corrects the frozen Research conference chronology before INTEGRATION_FROZEN. No conference tournament is inferred or asserted.
cincinnati,1946-1947,1952-1953,mac,MAC,primary,No,"Cincinnati 2025-26 institutional record book, Yearly Records by Conference Affiliation; owner-authorized Implementation Stage 1 correction.",Start season corrected to 1946-47 from Cincinnati's institutional conference-affiliation chronology.
cincinnati,1953-1954,1956-1957,independent,Independent,independent,No,Cincinnati historical conference chronology carried into Stage 4.,
cincinnati,1957-1958,1969-1970,missouri-valley,Missouri Valley,primary,No,Cincinnati historical conference chronology carried into Stage 4; current protected-main conference key reused.,
cincinnati,1970-1971,1974-1975,independent,Independent,independent,No,Cincinnati historical conference chronology carried into Stage 4.,
cincinnati,1975-1976,1990-1991,metro-1975,Metro (1975),primary,No,Accepted Stage 3B conference-tournament history and current protected-main historical conference identity.,
cincinnati,1991-1992,1994-1995,great-midwest,Great Midwest,primary,No,Accepted Stage 3B conference-tournament history and current protected-main historical conference identity.,
cincinnati,1995-1996,2004-2005,cusa,Conference USA,primary,No,Accepted Stage 3B conference-tournament history and current protected-main conference identity.,
cincinnati,2005-2006,2012-2013,big-east,Big East,primary,No,Accepted Stage 3B conference-tournament history and current protected-main conference identity.,
cincinnati,2013-2014,2022-2023,american,American Athletic Conference,primary,No,Accepted Stage 3B conference-tournament history and current protected-main conference identity.,
cincinnati,2023-2024,,big-12,Big 12,primary,Yes,Accepted current membership and 2025-26 Big 12 Tournament Stage 3B evidence.,Ongoing through completed 2025-26 season.
