source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
cincinnati,#2 Iowa State,iowa-state,Iowa State,Yes,1,2025-2026,2025-2026,RESOLVED,Current protected-main program identity / source alias.,,Stage 2 identity research complete; Stage 5 owner NON_D1 sanity scan pending.
cincinnati,#6 Louisville,louisville,Louisville,Yes,1,2025-2026,2025-2026,RESOLVED,Current protected-main program identity / source alias.,,Stage 2 identity research complete; Stage 5 owner NON_D1 sanity scan pending.
cincinnati,#8 Houston,houston,Houston,Yes,1,2025-2026,2025-2026,RESOLVED,Current protected-main program identity / source alias.,,Stage 2 identity research complete; Stage 5 owner NON_D1 sanity scan pending.
cincinnati,3 USF,south-florida,USF,Yes,1,1985-1986,1985-1986,RESOLVED,Current protected-main program identity / source alias.,,Stage 2 identity research complete; Stage 5 owner NON_D1 sanity scan pending.
cincinnati,9 Northern Ky.,northern-kentucky,Northern Ky.,Yes,1,1986-1987,1986-1987,RESOLVED,Current protected-main program identity / source alias.,,Stage 2 identity research complete; Stage 5 owner NON_D1 sanity scan pending.
cincinnati,AR Pine Bluff,arkansas-pine-bluff,AR Pine Bluff,Yes,3,2008-2009,2018-2019,RESOLVED,Current protected-main program identity / source alias.,,Stage 2 identity research complete; Stage 5 owner NON_D1 sanity scan pending.
cincinnati,Akron,akron,Akron,Yes,19,1914-1915,2003-2004,RESOLVED,Current protected-main program identity / source alias.,,Stage 2 identity research complete; Stage 5 owner NON_D1 sanity scan pending.
cincinnati,Akron Goodyear,akron-goodyear,Akron Goodyear,No,2,1935-1936,1935-1936,RESOLVED,Literal historical identity preserved; no current-D1 merge supported.,,Stage 2 identity research complete; Stage 5 owner NON_D1 sanity scan pending; Stage 5 owner NON_D1 sanity scan APPROVED 2026-09-21; 0 owner flags.
cincinnati,Ala. A&M,alabama-a-m,Ala. A&M,Yes,2,2019-2020,2021-2022,RESOLVED,Current protected-main program identity / source alias.,,Stage 2 identity research complete; Stage 5 owner NON_D1 sanity scan pending.
cincinnati,Ala. State,alabama-state,Ala. State,Yes,1,2011-2012,2011-2012,RESOLVED,Current protected-main program identity / source alias.,,Stage 2 identity research complete; Stage 5 owner NON_D1 sanity scan pending.
cincinnati,Alabama,alabama,Alabama,Yes,3,1983-1984,2012-2013,RESOLVED,Current protected-main program identity / source alias.,,Stage 2 identity research complete; Stage 5 owner NON_D1 sanity scan pending.
cincinnati,Alabama State,alabama-state,Alabama State,Yes,3,2017-2018,2025-2026,RESOLVED,Current protected-main program identity / source alias.,,Stage 2 identity research complete; Stage 5 owner NON_D1 sanity scan pending.
cincinnati,Albany,ualbany,Albany,Yes,1,2016-2017,2016-2017,RESOLVED,Current protected-main program identity / source alias.,,Stage 2 identity research complete; Stage 5 owner NON_D1 sanity scan pending.
cincinnati,Alcorn St.,alcorn-state,Alcorn St.,Yes,1,1989-1990,1989-1990,RESOLVED,Current protected-main program identity / source alias.,,Stage 2 identity research complete; Stage 5 owner NON_D1 sanity scan pending.
