source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
CIN-STG1-00001,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1901-1902,1902,1901-12-12,Engineers,Engineers,engineers,No,42,21,W,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,D 12 Engineers W 42-21 Mc,resolved,,,,,,,
CIN-STG1-00002,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1901-1902,1902,1901-12-29,Yale,Yale,yale,Yes,9,37,L,0,,,AG,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,29 Yale L 9-37 AG,resolved,,,,,,,
CIN-STG1-00003,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1901-1902,1902,1902-01-03,Wyoming (Ohio),Wyoming (Ohio),wyoming-ohio,No,36,12,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,J 3 Wyoming (Ohio) W 36-12 A,resolved,,,,,,,
CIN-STG1-00004,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1901-1902,1902,1902-01-11,Cincinnati YMCA,Cincinnati YMCA,cincinnati-ymca,No,13,42,L,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,11 Cincinnati YMCAL 13-42 Mc,resolved,,,,,,,
CIN-STG1-00005,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1901-1902,1902,1902-01-21,Christ Church,Christ Church,christ-church,No,28,14,W,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,21 Christ Church W 28-14 Mc,resolved,,,,,,,
CIN-STG1-00006,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1901-1902,1902,1902-02-01,Wyoming (Ohio),Wyoming (Ohio),wyoming-ohio,No,52,10,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,F 1 Wyoming (Ohio) W 52-10 A,resolved,,,,,,,
CIN-STG1-00007,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1901-1902,1902,1902-02-14,Kentucky,Kentucky,kentucky,Yes,31,21,W,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,14 Kentucky W 31-21 Mc,resolved,,,,,,,
CIN-STG1-00008,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1901-1902,1902,1902-02-19,Circleville,Circleville,circleville,No,17,84,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,19 Circleville L 17-84 A,resolved,,,,,,,
CIN-STG1-00009,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1901-1902,1902,1902-02-20,Circleville,Circleville,circleville,No,13,84,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,20 Circleville L 13-84 A,resolved,,,,,,,
CIN-STG1-00010,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1902-1903,1903,1903-01-01,Wyoming (Ohio),Wyoming (Ohio),wyoming-ohio,No,32,30,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,J 1 Wyoming (Ohio) W 32-30 A,resolved,,,,,,,
CIN-STG1-00011,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1902-1903,1903,1903-01-28,Hanover,Hanover,hanover,No,30,25,W,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,28 Hanover W 30-25 Mc,resolved,,,,,,,
CIN-STG1-00012,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1902-1903,1903,1903-02-03,Glendale,Glendale,glendale,No,23,21,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,F 3 Glendale W 23-21 A,resolved,,,,,,,
CIN-STG1-00013,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1902-1903,1903,1903-02-12,Ecclectic Medic.,Ecclectic Medic.,ecclectic-medic,No,50,10,W,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,12 Ecclectic Medic. W 50-10 Mc,resolved,,,,,,,
CIN-STG1-00014,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1902-1903,1903,1903-03-03,Circleville,Circleville,circleville,No,20,37,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,M 3 Circleville L 20-37 A,resolved,,,,,,,
CIN-STG1-00015,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1902-1903,1903,1903-03-04,Circleville,Circleville,circleville,No,17,50,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,4 Circleville L 17-50 A,resolved,,,,,,,
CIN-STG1-00016,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1902-1903,1903,1903-03-05,Marietta,Marietta,marietta,No,15,37,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,5 Marietta L 15-37 A,resolved,,,,,,,
CIN-STG1-00017,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1902-1903,1903,1903-03-06,Marietta,Marietta,marietta,No,16,29,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,6 Marietta L 16-29 A,resolved,,,,,,,
CIN-STG1-00018,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1903-1904,1904,1903-12-10,Alumni,Alumni,alumni,No,25,11,W,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,D 10 Alumni W 25-11 Mc,resolved,,,,,,,
CIN-STG1-00019,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1903-1904,1904,1904-01-09,Kenyon,Kenyon,kenyon,No,17,26,L,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,J 9 Kenyon L 17-26 Mc,resolved,,,,,,,
CIN-STG1-00020,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1903-1904,1904,1904-01-22,Miami ((Ohio),Miami ((Ohio),miami-oh,Yes,43,10,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,22 Miami ((Ohio) W 43-10 A,resolved,,,,,,,
CIN-STG1-00021,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1903-1904,1904,1904-01-26,Wyoming (Ohio),Wyoming (Ohio),wyoming-ohio,No,40,29,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,26 Wyoming (Ohio) W 40-29 A,resolved,,,,,,,
CIN-STG1-00022,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1903-1904,1904,1904-01-29,Hanover,Hanover,hanover,No,22,32,L,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,29 Hanover L 22-32 Mc,resolved,,,,,,,
CIN-STG1-00023,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1903-1904,1904,1904-02-12,Westwood,Westwood,westwood,No,40,28,W,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,F 12 Westwood W 40-28 Mc,resolved,,,,,,,
CIN-STG1-00024,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1903-1904,1904,1904-02-19,G’town (Ky.),Georgetown College (KY),georgetown-college-ky,No,22,27,L,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,19 G’town (Ky.) L 22-27 Mc,resolved,,,,,,,
CIN-STG1-00025,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1903-1904,1904,1904-02-21,P.M. Gym,P.M. Gym,p-m-gym,No,30,19,W,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,21 P.M. Gym W 30-19 Mc,resolved,,,,,,,
CIN-STG1-00026,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1903-1904,1904,1904-03-04,G’town (Ky.),Georgetown College (KY),georgetown-college-ky,No,20,17,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,M 4 G’town (Ky.) W 20-17 A,resolved,,,,,,,
CIN-STG1-00027,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1903-1904,1904,1904-03-05,Kentucky,Kentucky,kentucky,Yes,21,28,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,5 Kentucky L 21-28 A,resolved,,,,,,,
CIN-STG1-00028,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1903-1904,1904,1904-03-08,Hamilton,Hamilton,hamilton,No,15,37,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,8 Hamilton L 15-37 A,resolved,,,,,,,
CIN-STG1-00029,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1903-1904,1904,1904-03-10,Ecclectic Medic.,Ecclectic Medic.,ecclectic-medic,No,54,17,W,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,10 Ecclectic Medic. W 54-17 Mc,resolved,,,,,,,
CIN-STG1-00030,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1903-1904,1904,1904-03-25,Hanover,Hanover,hanover,No,11,29,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,25 Hanover L 11-29 A,resolved,,,,,,,
CIN-STG1-00031,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1903-1904,1904,1904-03-25,Madison (Ind.),Madison (Ind.),madison-ind,No,23,22,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,25 Madison (Ind.) W 23-22 A,resolved,,,,,,,
CIN-STG1-00032,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1904-1905,1905,1904-12-16,Miami (Ohio),Miami (Ohio),miami-oh,Yes,43,8,W,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,D 16 Miami (Ohio) W 43-8 Mc,resolved,,,,,,,
CIN-STG1-00033,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1904-1905,1905,1905-01-03,Yale,Yale,yale,Yes,17,31,L,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,J 3 Yale L 17-31 Mc,resolved,,,,,,,
CIN-STG1-00034,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1904-1905,1905,1905-01-06,Central YMCA,Central YMCA,central-ymca,No,24,26,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,6 Central YMCA L 24-26 A,resolved,,,,,,,
CIN-STG1-00035,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1904-1905,1905,1905-01-13,Wittenberg,Wittenberg,wittenberg,No,40,13,W,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,13 Wittenberg W 40-13 Mc,resolved,,,,,,,
CIN-STG1-00036,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1904-1905,1905,1905-01-20,Kenyon,Kenyon,kenyon,No,25,12,W,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,20 Kenyon W 25-12 Mc,resolved,,,,,,,
CIN-STG1-00037,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1904-1905,1905,1905-02-02,Kenyon,Kenyon,kenyon,No,20,9,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,F 2 Kenyon W 20-9 A,resolved,,,,,,,
CIN-STG1-00038,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1904-1905,1905,1905-02-03,Otterbein,Otterbein,otterbein,No,33,23,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,3 Otterbein W 33-23 A,resolved,,,,,,,
CIN-STG1-00039,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1904-1905,1905,1905-02-04,Ohio State,Ohio State,ohio-state,Yes,6,42,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,4 Ohio State L 6-42 A,resolved,,,,,,,
CIN-STG1-00040,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1904-1905,1905,1905-02-10,Hanover,Hanover,hanover,No,15,14,W,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,10 Hanover W 15-14 Mc,resolved,,,,,,,
CIN-STG1-00041,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1905-1906,1906,1906-01-06,Yale,Yale,yale,Yes,0,23,L,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,J 6 Yale L 0-23 Mc,resolved,,,,,,,
CIN-STG1-00042,cincinnati,Cincinnati 2025-26 History and Records yearly results + accepted Stage 1-3B research,1905-1906,1906,1906-02-16,Kentucky,Kentucky,kentucky,Yes,38,9,W,0,,,Mc,SOURCE_PROGRAM_HOME,McMicken Gym,McMicken Gym,Cincinnati,OH,,,REGULAR_SEASON,,Cincinnati 2025-26 History and Records yearly results,F 16 Kentucky W 38-9 Mc,resolved,,,,,,,
