source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
cincinnati,afook-chinen-civic-auditorium,VEN-000465,Afook-Chinen Civic Auditorium,,Hilo,HI,venue,,,,3,1999-11-26,1999-11-28,,,,,Venue identity never establishes H/A/N; assignments were applied only after independently accepted Stage 3A/3B classification.,Accepted Cincinnati Stage 3A/3B site research plus read-only current protected-main physical-venue reconciliation.,Research physical identity status: DEFINITE_CURRENT_MAIN_REUSE__EXACT. Global numeric venue_id intentionally blank in Research; serialized Implementation must rebase against current protected main. Current-main candidate/reuse ID(s): VEN-000465. Integration rebase resolved final global venue ID VEN-000465.
cincinnati,ahearn-field-house,VEN-000001,Ahearn Field House,,Manhattan,KS,venue,,,,4,1960-03-11,1962-03-17,,,,,Venue identity never establishes H/A/N; assignments were applied only after independently accepted Stage 3A/3B classification.,Accepted Cincinnati Stage 3A/3B site research plus read-only current protected-main physical-venue reconciliation.,Research physical identity status: DEFINITE_CURRENT_MAIN_REUSE__EXACT. Global numeric venue_id intentionally blank in Research; serialized Implementation must rebase against current protected main. Current-main candidate/reuse ID(s): VEN-000001. Integration rebase resolved final global venue ID VEN-000001.
cincinnati,alamodome,VEN-000002,Alamodome,,San Antonio,TX,venue,,,,1,1995-02-19,1995-02-19,,,,,Venue identity never establishes H/A/N; assignments were applied only after independently accepted Stage 3A/3B classification.,Accepted Cincinnati Stage 3A/3B site research plus read-only current protected-main physical-venue reconciliation.,Research physical identity status: DEFINITE_CURRENT_MAIN_REUSE__EXACT. Global numeric venue_id intentionally blank in Research; serialized Implementation must rebase against current protected main. Current-main candidate/reuse ID(s): VEN-000002. Integration rebase resolved final global venue ID VEN-000002.
cincinnati,allen-fieldhouse,VEN-000003,Allen Fieldhouse,,Lawrence,KS,venue,,,,11,1958-03-14,1976-03-13,,,,,Venue identity never establishes H/A/N; assignments were applied only after independently accepted Stage 3A/3B classification.,Accepted Cincinnati Stage 3A/3B site research plus read-only current protected-main physical-venue reconciliation.,Research physical identity status: DEFINITE_CURRENT_MAIN_REUSE__EXACT. Global numeric venue_id intentionally blank in Research; serialized Implementation must rebase against current protected main. Current-main candidate/reuse ID(s): VEN-000003. Integration rebase resolved final global venue ID VEN-000003.
cincinnati,allstate-arena,VEN-000004,Allstate Arena,Rosemont Horizon,Rosemont,IL,venue,,,,1,1984-12-18,1984-12-18,,,,,Venue identity never establishes H/A/N; assignments were applied only after independently accepted Stage 3A/3B classification.,Accepted Cincinnati Stage 3A/3B site research plus read-only current protected-main physical-venue reconciliation.,Research physical identity status: DEFINITE_CURRENT_MAIN_REUSE__ALIAS. Global numeric venue_id intentionally blank in Research; serialized Implementation must rebase against current protected main. Current-main candidate/reuse ID(s): VEN-000004. Integration rebase resolved final global venue ID VEN-000004.
cincinnati,alumni-hall-depaul,VEN-000006,Alumni Hall,,Chicago,IL,venue,,,,1,1990-03-20,1990-03-20,,,,,Venue identity never establishes H/A/N; assignments were applied only after independently accepted Stage 3A/3B classification.,Accepted Cincinnati Stage 3A/3B site research plus read-only current protected-main physical-venue reconciliation.,Research physical identity status: DEFINITE_CURRENT_MAIN_REUSE__EXACT. Global numeric venue_id intentionally blank in Research; serialized Implementation must rebase against current protected main. Current-main candidate/reuse ID(s): VEN-000006. Integration rebase resolved final global venue ID VEN-000006.
cincinnati,arizona-veterans-memorial-coliseum,VEN-000488,Arizona Veterans Memorial Coliseum,,Phoenix,AZ,venue,,,,2,1993-02-21,1996-02-11,,,,,Venue identity never establishes H/A/N; assignments were applied only after independently accepted Stage 3A/3B classification.,Accepted Cincinnati Stage 3A/3B site research plus read-only current protected-main physical-venue reconciliation.,Research physical identity status: DEFINITE_CURRENT_MAIN_REUSE__EXACT. Global numeric venue_id intentionally blank in Research; serialized Implementation must rebase against current protected main. Current-main candidate/reuse ID(s): VEN-000488. Integration rebase resolved final global venue ID VEN-000488.
cincinnati,armory-fieldhouse-cincinnati,VEN-000674,Armory Fieldhouse,,Cincinnati,OH,venue,,,,277,1954-12-18,1976-02-14,source_program_home,1954-1955,1975-1976,season,Venue identity never establishes H/A/N; assignments were applied only after independently accepted Stage 3A/3B classification.,Accepted Cincinnati Stage 3A/3B site research plus read-only current protected-main physical-venue reconciliation.,Research physical identity status: RESOLVED_LOCAL_IDENTITY__PENDING_CURRENT_MAIN_REBASE. Global numeric venue_id intentionally blank in Research; serialized Implementation must rebase against current protected main. Integration rebase resolved final global venue ID VEN-000674.
cincinnati,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,venue,,,,2,2015-11-27,2015-11-28,,,,,Venue identity never establishes H/A/N; assignments were applied only after independently accepted Stage 3A/3B classification.,Accepted Cincinnati Stage 3A/3B site research plus read-only current protected-main physical-venue reconciliation.,Research physical identity status: DEFINITE_CURRENT_MAIN_REUSE__EXACT. Global numeric venue_id intentionally blank in Research; serialized Implementation must rebase against current protected main. Current-main candidate/reuse ID(s): VEN-000020. Integration rebase resolved final global venue ID VEN-000020.
cincinnati,bb-t-arena,VEN-000675,BB&T Arena,,Highland Heights,KY,venue,,,,16,2017-11-11,2018-02-25,source_program_home,2017-2018,2017-2018,season,Venue identity never establishes H/A/N; assignments were applied only after independently accepted Stage 3A/3B classification.,Accepted Cincinnati Stage 3A/3B site research plus read-only current protected-main physical-venue reconciliation.,Research physical identity status: RESOLVED_LOCAL_IDENTITY__PENDING_CURRENT_MAIN_REBASE. Global numeric venue_id intentionally blank in Research; serialized Implementation must rebase against current protected main. Integration rebase resolved final global venue ID VEN-000675.
