index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,colorado,ADAMS STATE,adams-state,Adams State,No,2,1979-1980,1980-1981,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Colorado's record book/all-time series preserves this distinct historical opponent identity; no current-D1 identity match found after registry/alias review. Representative raw labels: ADAMS STATE.
1,colorado,AIR FORCE,air-force,Air Force,Yes,28,1957-1958,2018-2019,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Source label resolves directly to the research-base current-D1 program registry. Representative raw labels: AIR FORCE | ^ vs. Air Force | at Air Force.
2,colorado,ALABAMA,alabama,Alabama,Yes,1,2010-2011,2010-2011,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Source label resolves directly to the research-base current-D1 program registry. Representative raw labels: %# vs. Alabama.
3,colorado,ALABAMA STATE,alabama-state,Alabama State,Yes,1,2025-2026,2025-2026,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Source label resolves directly to the research-base current-D1 program registry. Representative raw labels: Alabama State.
4,colorado,ALASKA-FAIRBANKS,alaska-fairbanks,Alaska Fairbanks,No,1,2000-2001,2000-2001,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Colorado's record book/all-time series preserves this distinct historical opponent identity; no current-D1 identity match found after registry/alias review. Representative raw labels: ^ at Alaska-Fairbanks.
5,colorado,ALCORN STATE,alcorn-state,Alcorn State,Yes,1,2010-2011,2010-2011,RESOLVED,CURRENT_D1_REGISTRY_MATCH,,Source label resolves directly to the research-base current-D1 program registry. Representative raw labels: ALCORN STATE.
6,colorado,ALL-STARS,all-stars,All-Stars,No,1,1903-1904,1903-1904,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Colorado's record book/all-time series preserves this distinct historical opponent identity; no current-D1 identity match found after registry/alias review. Representative raw labels: at All-Stars.
7,colorado,AMBROSE LEGION,ambrose-legion,Ambrose Legion,No,2,1944-1945,1944-1945,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Colorado's record book/all-time series preserves this distinct historical opponent identity; no current-D1 identity match found after registry/alias review. Representative raw labels: AMBROSE LEGION | at Ambrose Legion.
8,colorado,AMERICAN (P.R.),american-puerto-rico,American (P.R.),No,1,1998-1999,1998-1999,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Colorado's record book/all-time series preserves this distinct historical opponent identity; no current-D1 identity match found after registry/alias review. Representative raw labels: ^ vs. American (P.R.).
9,colorado,ARCTICS (ALASKA),arctics-alaska,Arctics (Alaska),No,1,1907-1908,1907-1908,RESOLVED,HISTORICAL_NON_D1_IDENTITY,,Colorado's record book/all-time series preserves this distinct historical opponent identity; no current-D1 identity match found after registry/alias review. Representative raw labels: ARCTICS (Alaska).
