index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,COL-S1-000001,colorado,record_book_game_by_game,1901-1902,1902,1902-01-10,STATE PREP SCHOOL,State Prep School,state-prep-school,No,34,10,W,0,,,,SOURCE_PROGRAM_HOME,,University Gymnasium,Boulder,CO,,,REGULAR_SEASON,,5,J 10 STATE PREP SCHOOL W34-10,resolved,,,,,,,
1,COL-S1-000002,colorado,record_book_game_by_game,1901-1902,1902,1902-01-17,STATE PREP SCHOOL,State Prep School,state-prep-school,No,9,10,L,0,,,,SOURCE_PROGRAM_HOME,,University Gymnasium,Boulder,CO,,,REGULAR_SEASON,,5,J 17 STATE PREP SCHOOL L 9-10,resolved,,,,,,,
2,COL-S1-000003,colorado,record_book_game_by_game,1901-1902,1902,1902-02-02,at Denver Turn Verein,Denver Turn Verein,denver-turn-verein,No,49,13,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,F 2 at Denver Turn Verein W49-13,resolved,,,,,,,
3,COL-S1-000004,colorado,record_book_game_by_game,1901-1902,1902,1902-02-10,at Denver Wheel,Denver Wheel,denver-wheel,No,27,11,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,F 10 at Denver Wheel W27-11,resolved,,,,,,,
4,COL-S1-000005,colorado,record_book_game_by_game,1902-1903,1903,1903-01-29,at Denver,Denver,denver,Yes,54,17,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,J 29 at Denver W54-17,resolved,,,,,,,
5,COL-S1-000006,colorado,record_book_game_by_game,1902-1903,1903,1903-02-05,NEBRASKA,Nebraska,nebraska,Yes,12,28,L,0,,,,SOURCE_PROGRAM_HOME,,University Gymnasium,Boulder,CO,,,REGULAR_SEASON,,5,F 5 NEBRASKA L 12-28,resolved,,,,,,,
6,COL-S1-000007,colorado,record_book_game_by_game,1902-1903,1903,1903-03-27,at Latter Day Saints (SLC),Latter-day Saints University (Salt Lake City),latter-day-saints-university,No,9,11,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,M27 at Latter Day Saints (SLC) L 9-11,resolved,,,,,,,
7,COL-S1-000008,colorado,record_book_game_by_game,1902-1903,1903,1903-03-28,at BYU,BYU,byu,Yes,15,23,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,M28 at BYU L 15-23,resolved,,,,,,,
8,COL-S1-000009,colorado,record_book_game_by_game,1902-1903,1903,1903-03-31,at Brigham Young College,Brigham Young College,brigham-young-college,No,6,7,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,M31 at Brigham Young College L 6-7,resolved,,,,,,,
9,COL-S1-000010,colorado,record_book_game_by_game,1902-1903,1903,1903-04-01,at Latter Day Saints (SLC),Latter-day Saints University (Salt Lake City),latter-day-saints-university,No,13,18,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,A 1 at Latter Day Saints (SLC) L 13-18,resolved,,,,,,,
10,COL-S1-000011,colorado,record_book_game_by_game,1902-1903,1903,1903-04-02,at BYU,BYU,byu,Yes,16,10,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,A 2 at BYU W16-10,resolved,,,,,,,
11,COL-S1-000012,colorado,record_book_game_by_game,1903-1904,1904,1904-01-07,at Cheyenne,Cheyenne,cheyenne,No,19,25,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,J 7 at Cheyenne L 19-25,resolved,,,,,,,
12,COL-S1-000013,colorado,record_book_game_by_game,1903-1904,1904,1904-01-09,H.W.C.,H.W.C.,h-w-c,No,15,23,L,0,,,,SOURCE_PROGRAM_HOME,,University Gymnasium,Boulder,CO,,,REGULAR_SEASON,,5,J 9 H.W.C. L 15-23,resolved,,,,,,,
13,COL-S1-000014,colorado,record_book_game_by_game,1903-1904,1904,1904-01-16,at Tritch,Tritch,tritch,No,35,18,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,J 16 at Tritch W35-18,resolved,,,,,,,
14,COL-S1-000015,colorado,record_book_game_by_game,1903-1904,1904,1904-02-04,at All-Stars,All-Stars,all-stars,No,33,25,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,F 4 at All-Stars W33-25,resolved,,,,,,,
15,COL-S1-000016,colorado,record_book_game_by_game,1903-1904,1904,1904-02-06,DENVER,Denver,denver,Yes,11,16,L,0,,,,SOURCE_PROGRAM_HOME,,University Gymnasium,Boulder,CO,,,REGULAR_SEASON,,5,F 6 DENVER L 11-16,resolved,,,,,,,
16,COL-S1-000017,colorado,record_book_game_by_game,1903-1904,1904,1904-02-11,COLORADO COLLEGE,Colorado College,colorado-college,No,29,25,W,0,,,,SOURCE_PROGRAM_HOME,,University Gymnasium,Boulder,CO,,,REGULAR_SEASON,,5,F 11 COLORADO COLLEGE W29-25,resolved,,,,,,,
17,COL-S1-000018,colorado,record_book_game_by_game,1903-1904,1904,1904-02-27,at Colorado College,Colorado College,colorado-college,No,21,20,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,F 27 at Colorado College W21-20,resolved,,,,,,,
18,COL-S1-000019,colorado,record_book_game_by_game,1904-1905,1905,1904-11-25,VICTORS,Victors,victors,No,19,38,L,0,,,,SOURCE_PROGRAM_HOME,,University Gymnasium,Boulder,CO,,,REGULAR_SEASON,,5,N 25 VICTORS L 19-38,resolved,,,,,,,
19,COL-S1-000020,colorado,record_book_game_by_game,1904-1905,1905,1905-01-14,H.W.C.,H.W.C.,h-w-c,No,19,24,L,0,,,,SOURCE_PROGRAM_HOME,,University Gymnasium,Boulder,CO,,,REGULAR_SEASON,,5,J 14 H.W.C. L 19-24,resolved,,,,,,,
20,COL-S1-000021,colorado,record_book_game_by_game,1904-1905,1905,1905-01-21,at Greeley High,Greeley High,greeley-high,No,41,17,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,J 21 at Greeley High W41-17,resolved,,,,,,,
21,COL-S1-000022,colorado,record_book_game_by_game,1904-1905,1905,1905-02-04,at Cheyenne Business,Cheyenne Business,cheyenne-business,No,37,24,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,F 4 at Cheyenne Business W37-24,resolved,,,,,,,
22,COL-S1-000023,colorado,record_book_game_by_game,1904-1905,1905,1905-02-10,at Cheyenne Business,Cheyenne Business,cheyenne-business,No,16,10,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,F 10 at Cheyenne Business W16-10,resolved,,,,,,,
23,COL-S1-000024,colorado,record_book_game_by_game,1905-1906,1906,1905-12-09,at Denver,Denver,denver,Yes,46,34,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,D 9 at Denver W46-34,resolved,,,,,,,
24,COL-S1-000025,colorado,record_book_game_by_game,1905-1906,1906,1906-01-20,HIGHLAND WHEEL,Highland Wheel,highland-wheel,No,24,27,L,0,,,,SOURCE_PROGRAM_HOME,,University Gymnasium,Boulder,CO,,,REGULAR_SEASON,,5,J 20 HIGHLAND WHEEL L 24-27,resolved,,,,,,,
25,COL-S1-000026,colorado,record_book_game_by_game,1905-1906,1906,1906-01-25,CHEYENNE BUSINESS,Cheyenne Business,cheyenne-business,No,30,23,W,0,,,,SOURCE_PROGRAM_HOME,,University Gymnasium,Boulder,CO,,,REGULAR_SEASON,,5,J 25 CHEYENNE BUSINESS W30-23,resolved,,,,,,,
26,COL-S1-000027,colorado,record_book_game_by_game,1905-1906,1906,1906-01-26,LONGMONT YMCA,Longmont YMCA,longmont-ymca,No,11,12,L,0,,,,SOURCE_PROGRAM_HOME,,University Gymnasium,Boulder,CO,,,REGULAR_SEASON,,5,J 26 LONGMONT YMCA L 11-12,resolved,,,,,,,
27,COL-S1-000028,colorado,record_book_game_by_game,1905-1906,1906,1906-02-03,CHICAGO METEORS,Chicago Meteors,chicago-meteors,No,28,31,L,0,,,,SOURCE_PROGRAM_HOME,,University Gymnasium,Boulder,CO,,,REGULAR_SEASON,,5,F 3 CHICAGO METEORS L 28-31,resolved,,,,,,,
28,COL-S1-000029,colorado,record_book_game_by_game,1905-1906,1906,1906-02-10,at Victors,Victors,victors,No,30,23,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,F 10 at Victors W30-23,resolved,,,,,,,
29,COL-S1-000030,colorado,record_book_game_by_game,1905-1906,1906,1906-02-17,at Colorado Mines,Colorado Mines,colorado-mines,No,43,26,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,F 17 at Colorado Mines W43-26,resolved,,,,,,,
30,COL-S1-000031,colorado,record_book_game_by_game,1905-1906,1906,1906-03-02,COLORADO STATE,Colorado State,colorado-state,Yes,42,23,W,0,,,,SOURCE_PROGRAM_HOME,,University Gymnasium,Boulder,CO,,,REGULAR_SEASON,,5,M 2 COLORADO STATE W42-23,resolved,,,,,,,
31,COL-S1-000032,colorado,record_book_game_by_game,1905-1906,1906,1906-03-07,at Red Men,Red Men,red-men,No,21,25,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,M 7 at Red Men L 21-25,resolved,,,,,,,
32,COL-S1-000033,colorado,record_book_game_by_game,1905-1906,1906,1906-03-09,COLORADO MINES,Colorado Mines,colorado-mines,No,23,62,L,0,,,,SOURCE_PROGRAM_HOME,,University Gymnasium,Boulder,CO,,,REGULAR_SEASON,,5,M 9 COLORADO MINES L 23-62,resolved,,,,,,,
33,COL-S1-000034,colorado,record_book_game_by_game,1905-1906,1906,1906-03-13,SIOUX CITY YMCA,Sioux City YMCA,sioux-city-ymca,No,64,26,W,0,,,,SOURCE_PROGRAM_HOME,,University Gymnasium,Boulder,CO,,,REGULAR_SEASON,,5,M13 SIOUX CITY YMCA W64-26,resolved,,,,,,,
34,COL-S1-000035,colorado,record_book_game_by_game,1906-1907,1907,1907-01-11,at Colorado State,Colorado State,colorado-state,Yes,34,15,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,J 11 at Colorado State W34-15,resolved,,,,,,,
35,COL-S1-000036,colorado,record_book_game_by_game,1906-1907,1907,1907-01-19,at Denver,Denver,denver,Yes,32,17,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,5,J 19 at Denver W32-17,resolved,,,,,,,
