index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,colorado,acrisure-arena,VEN-000242,Acrisure Arena,,Palm Desert,CA,arena,,,,2,2025-11-27,2025-11-28,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,Colorado Stage 3A neutral-site research using institutional/reciprocal/event evidence as documented.,Physical venue identity is established. Numeric/global identity remains subject to serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000242.
1,colorado,afook-chinen-civic-auditorium,VEN-000465,Afook-Chinen Civic Auditorium,,Hilo,HI,arena,,,,3,1996-11-29,1996-12-01,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,Colorado Stage 3A neutral-site research using institutional/reciprocal/event evidence as documented.,Physical venue identity is established. Numeric/global identity remains subject to serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000465.
2,colorado,ahearn-field-house,VEN-000001,Ahearn Field House,,Manhattan,KS,arena,,,,6,1955-03-11,1969-03-15,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,"Colorado source, owner-authorized Colorado-scope tournament site index where applicable, NCAA official site evidence, and/or targeted institutional/reciprocal verification; research-base venue registry.",Integration rebase resolved final global venue ID VEN-000001.
3,colorado,allen-fieldhouse,VEN-000003,Allen Fieldhouse,,Lawrence,KS,arena,,,,4,1963-03-15,1980-02-26,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,"Colorado source, owner-authorized Colorado-scope tournament site index where applicable, NCAA official site evidence, and/or targeted institutional/reciprocal verification; research-base venue registry.",Integration rebase resolved final global venue ID VEN-000003.
4,colorado,amalie-arena,VEN-000008,Benchmark International Arena,St. Pete Times Forum,Tampa,FL,arena,,,,1,2003-03-21,2003-03-21,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,"Colorado source, owner-authorized Colorado-scope tournament site index where applicable, NCAA official site evidence, and/or targeted institutional/reciprocal verification; research-base venue registry.",Integration rebase resolved final global venue ID VEN-000008.
5,colorado,american-airlines-center,VEN-000010,American Airlines Center,,Dallas,TX,arena,,,,6,2003-03-13,2013-11-08,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,"Colorado source, owner-authorized Colorado-scope tournament site index where applicable, NCAA official site evidence, and/or targeted institutional/reciprocal verification; research-base venue registry.",Integration rebase resolved final global venue ID VEN-000010.
6,colorado,amway-center,VEN-000012,Amway Center,,Orlando,FL,arena,,,,1,2014-03-20,2014-03-20,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,"Colorado source, owner-authorized Colorado-scope tournament site index where applicable, NCAA official site evidence, and/or targeted institutional/reciprocal verification; research-base venue registry.",Integration rebase resolved final global venue ID VEN-000012.
7,colorado,balch-fieldhouse,VEN-000474,Balch Fieldhouse,CU Fieldhouse,Boulder,CO,arena,1936,,YEAR,413,1937-01-08,1979-02-24,PRIMARY_HOME,1936-1937,1978-1979,SEASON,Venue never establishes H/A/N; relationship applied only after independent site classification.,Colorado institutional/media-guide facility and site research; Stage 3A game-level H/A/N evidence.,No same physical venue identified in the research-base registry; proposed key/ID remains provisional until serialized current-main rebase. Research-time numeric venue ID is provisional/transport-only; serialized Implementation must rebase physical identity against then-current protected main and allocate the authoritative ID. Integration rebase resolved final global venue ID VEN-000474.
8,colorado,ball-arena,VEN-000018,Ball Arena,,Denver,CO,arena,,,,1,2005-11-26,2005-11-26,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,Colorado Stage 3A neutral-site research using institutional/reciprocal/event evidence as documented.,Physical venue identity is established. Numeric/global identity remains subject to serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000018.
9,colorado,baoshan-arena,VEN-000388,Baoshan Arena,,Shanghai,China,arena,,,,1,2019-11-08,2019-11-08,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,Colorado Stage 3A neutral-site research using institutional/reciprocal/event evidence as documented.,Physical venue identity is established. Numeric/global identity remains subject to serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000388.
10,colorado,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,arena,,,,3,2016-11-21,2023-12-10,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,Colorado Stage 3A neutral-site research using institutional/reciprocal/event evidence as documented.,Physical venue identity is established. Numeric/global identity remains subject to serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000020.
11,colorado,bob-devaney-sports-center,VEN-000023,Bob Devaney Sports Center,,Lincoln,NE,arena,,,,1,1981-03-03,1981-03-03,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,"Colorado source, owner-authorized Colorado-scope tournament site index where applicable, NCAA official site evidence, and/or targeted institutional/reciprocal verification; research-base venue registry.",Integration rebase resolved final global venue ID VEN-000023.
12,colorado,bramlage-coliseum,VEN-000027,Bramlage Coliseum,,Manhattan,KS,arena,,,,1,2020-11-25,2020-11-25,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,Colorado Stage 3A neutral-site research using institutional/reciprocal/event evidence as documented.,Physical venue identity is established. Numeric/global identity remains subject to serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000027.
13,colorado,bridgestone-arena,VEN-000031,Bridgestone Arena,,Nashville,TN,arena,,,,1,2022-11-13,2022-11-13,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,Colorado Stage 3A neutral-site research using institutional/reciprocal/event evidence as documented.,Physical venue identity is established. Numeric/global identity remains subject to serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000031.
14,colorado,carlson-center,VEN-000466,Carlson Center,,Fairbanks,AK,arena,,,,2,2000-11-18,2000-11-19,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,Colorado Stage 3A neutral-site research using institutional/reciprocal/event evidence as documented.,Physical venue identity is established. Numeric/global identity remains subject to serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000466.
15,colorado,carlson-gymnasium-colorado,VEN-000475,Carlson Gymnasium,Men's Gymnasium,Boulder,CO,gymnasium,1924,,YEAR,81,1925-01-22,1936-02-28,PRIMARY_HOME,1924-1925,1935-1936,SEASON,Venue never establishes H/A/N; relationship applied only after independent site classification.,Colorado institutional/media-guide facility and site research; Stage 3A game-level H/A/N evidence.,No same physical venue identified in the research-base registry; proposed key/ID remains provisional until serialized current-main rebase. Research-time numeric venue ID is provisional/transport-only; serialized Implementation must rebase physical identity against then-current protected main and allocate the authoritative ID. Integration rebase resolved final global venue ID VEN-000475.
