source_game_id,source_program_key,season_label,game_date,source_opponent_label,normalized_opponent_key,normalized_opponent_name,team_score,opponent_score,played_result,overtime_periods,curated_site_type,curated_venue_name,city,state,curated_game_type,curated_postseason_round,event_or_tournament,administrative_status,site_research_status,site_research_basis,raw_text,source_page,source_series_event_note
DEPRAW-00001,depaul,1923-1924,,vs. Kent College,chicago-kent,Chicago-Kent College of Law,,,W,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,"Completed post-Checkpoint-12 adversarial review did not produce sufficiently supported H/A/N. Preserved explicitly rather than inferred from geography, chronology, or series pattern.",vs. Kent College W,,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00002,depaul,1923-1924,,vs. Bauer & Black,bauer-black,Bauer & Black,,,W,0,UNKNOWN,,,,REGULAR_SEASON,,,,RESEARCHED_UNRESOLVED,"Completed post-Checkpoint-12 adversarial review did not produce sufficiently supported H/A/N. Preserved explicitly rather than inferred from geography, chronology, or series pattern.",vs. Bauer & Black W,,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00003,depaul,1923-1924,1923-12-17,vs. Valparaiso,valparaiso,Valparaiso,18,20,L,0,OPPONENT_HOME,,Valparaiso,IN,REGULAR_SEASON,,,,,,"12/17/23 vs. Valparaiso L, 18-20",,Normalized package date 1923-12-17; literal source date preserved in raw_text
DEPRAW-00004,depaul,1923-1924,,Hamilton Club,hamilton-club-chicago,Hamilton Club (Chicago),24,13,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"Hamilton Club W, 24-13",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00005,depaul,1923-1924,,Chicago Chiropractic,chicago-chiropractic,Chicago Chiropractic,27,2,W,0,SOURCE_PROGRAM_HOME,University Auditorium,Chicago,IL,REGULAR_SEASON,,,,,,"Chicago Chiropractic W, 27-2",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00006,depaul,1923-1924,,at Loras,loras,Loras,19,27,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at Loras L, 19-27",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00007,depaul,1923-1924,,at Luther,luther,Luther,15,23,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at Luther L, 15-23",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00008,depaul,1923-1924,,at UW-LaCrosse,uw-la-crosse,UW-La Crosse,14,26,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at UW-LaCrosse L, 14-26",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00009,depaul,1923-1924,,at St. Mary’s (Minn.),st-mary-s-minn,St. Mary’s (Minn.),19,22,L,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at St. Mary’s (Minn.) L, 19-22",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
DEPRAW-00010,depaul,1923-1924,,at Loras,loras,Loras,14,10,W,0,OPPONENT_HOME,,,,REGULAR_SEASON,,,,,,"at Loras W, 14-10",,Stage 6 terminal exact-date debt: bounded reciprocal/institutional self-challenge found no remaining proportionate high-yield systematic recovery path; exact date remains historically unresolved and is not inferred.
