source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
depaul,ahearn-field-house,VEN-000001,Ahearn Field House,,Manhattan,KS,arena,,,,2,1960-03-11,1960-03-12,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000001); current-main rebase still required before tracked Phase 0.
depaul,allen-county-war-memorial-coliseum,VEN-000301,Allen County War Memorial Coliseum,,Fort Wayne,IN,arena,,,,2,1953-03-10,1956-03-12,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000301); current-main rebase still required before tracked Phase 0.
depaul,allen-fieldhouse,VEN-000003,Allen Fieldhouse,,Lawrence,KS,arena,,,,4,1959-03-13,1978-03-19,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000003); current-main rebase still required before tracked Phase 0.
depaul,allstate-arena,VEN-000004,Allstate Arena,Rosemont Horizon,Rosemont,IL,arena,,,,525,1980-12-01,2017-03-04,,1980-12-01,2017-03-04,exact,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000004); current-main rebase still required before tracked Phase 0.
depaul,alumni-hall-depaul,VEN-000006,Alumni Hall,,Chicago,IL,arena,,,,359,1956-12-01,1999-11-20,,1956-12-01,1999-11-20,exact,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000006); current-main rebase still required before tracked Phase 0. Stage 6 mechanical closeout: games_currently_assigned reduced 360→359 because S6-R003 removed the unsafe 1957-58 Alumni Hall placeholder; no venue identity/history change.
depaul,anaheim-convention-center,VEN-000386,Anaheim Convention Center,,Anaheim,CA,arena,,,,3,2010-11-25,2010-11-28,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000386); current-main rebase still required before tracked Phase 0.
depaul,baha-mar-convention-center,VEN-000267,Baha Mar Convention Center,"Baha Mar Convention, Arts & Entertainment Center",Nassau,BS,arena,,,,2,2022-11-18,2022-11-20,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000267); current-main rebase still required before tracked Phase 0.
depaul,amalie-arena,VEN-000008,Benchmark International Arena,St. Pete Times Forum,Tampa,FL,arena,,,,1,2009-12-10,2009-12-10,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000008); current-main rebase still required before tracked Phase 0.
depaul,bob-devaney-sports-center,VEN-000023,Bob Devaney Sports Center,,Lincoln,NE,arena,,,,1,1984-03-18,1984-03-18,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000023); current-main rebase still required before tracked Phase 0.
depaul,bradley-center,VEN-000026,Bradley Center,,Milwaukee,WI,arena,,,,1,1995-03-09,1995-03-09,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000026); current-main rebase still required before tracked Phase 0.
depaul,bramlage-coliseum,VEN-000027,Bramlage Coliseum,,Manhattan,KS,arena,,,,1,2007-03-19,2007-03-19,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000027); current-main rebase still required before tracked Phase 0.
depaul,brendan-byrne-arena,VEN-000028,Brendan Byrne Arena,,East Rutherford,NJ,arena,,,,1,1986-03-21,1986-03-21,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000028); current-main rebase still required before tracked Phase 0.
depaul,breslin-center,VEN-000029,Breslin Center,,East Lansing,MI,arena,,,,1,2003-11-29,2003-11-29,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000029); current-main rebase still required before tracked Phase 0.
depaul,caesars-superdome,VEN-000034,Caesars Superdome,Louisiana Superdome,New Orleans,LA,arena,,,,2,1988-12-28,1988-12-29,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000034); current-main rebase still required before tracked Phase 0.
depaul,capital-one-arena,VEN-000036,Capital One Arena,MCI Center,Washington,DC,arena,,,,2,1998-12-06,1998-12-07,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000036); current-main rebase still required before tracked Phase 0.
depaul,charles-koch-arena,VEN-000039,Charles Koch Arena,Levitt Arena,Wichita,KS,arena,,,,1,1978-03-12,1978-03-12,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000039); current-main rebase still required before tracked Phase 0.
depaul,charlotte-coliseum-1955,VEN-000040,Charlotte Coliseum,,Charlotte,NC,arena,,,,1,1976-03-13,1976-03-13,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000040); current-main rebase still required before tracked Phase 0.
depaul,charlotte-coliseum-1988,VEN-000041,Charlotte Coliseum,,Charlotte,NC,arena,,,,1,1991-12-07,1991-12-07,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000041); current-main rebase still required before tracked Phase 0.
depaul,chicago-armory,VEN-000496,Chicago Armory,,Chicago,IL,arena,,,,13,1935-01-01,1939-02-03,,1935-01-01,1939-02-03,exact,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-time physical identity; numeric global venue ID intentionally blank/provisional pending current-main Implementation rebase. Implementation Stage 1 current-main rebase against ffbef04a4045d4bddecb8e9c0437f31ec7834070: physical identity reconciled as global key 'chicago-armory' with authoritative ID VEN-000496. Status INTEGRATION_FROZEN.
depaul,chicago-stadium,VEN-000044,Chicago Stadium,,Chicago,IL,arena,,,,160,1931-12-15,1992-03-13,,1931-12-15,1956-02-25,exact,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000044); current-main rebase still required before tracked Phase 0.
depaul,clune-arena,VEN-000497,Clune Arena,,Colorado Springs,CO,arena,,,,1,2007-03-21,2007-03-21,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-time physical identity; numeric global venue ID intentionally blank/provisional pending current-main Implementation rebase. Implementation Stage 1 current-main rebase against ffbef04a4045d4bddecb8e9c0437f31ec7834070: physical identity reconciled as global key 'clune-arena' with authoritative ID VEN-000497. Status INTEGRATION_FROZEN.
depaul,coliseo-ruben-rodriguez,VEN-000347,Coliseo Rubén Rodríguez,,Bayamón,PR,arena,,,,2,1999-11-26,1999-11-27,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted DePaul Stage 3A/3B site research,Research-base global venue identity reused (VEN-000347); current-main rebase still required before tracked Phase 0.
