index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,duke,Air Force,air-force,Air Force,Yes,1,2006-2007,2006-2007,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `air-force` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Air Force 9.
1,duke,Alabama,alabama,Alabama,Yes,12,1921-1922,2024-2025,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `alabama` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Alabama; Alabama 17; Alabama 6.
2,duke,Alabama State,alabama-state,Alabama State,Yes,1,2003-2004,2003-2004,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `alabama-state` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Alabama State 6.
3,duke,Alabama-Birmingham,uab,UAB,Yes,3,1984-1985,2010-2011,RESOLVED,CURRENT_REGISTRY_ALIAS_NORMALIZATION,,Resolved against data/reference/programs.csv at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b; current program key `uab`. Representative raw labels: Alabama-Birmingham; Alabama-Birmingham 6.
4,duke,Albany,ualbany,UAlbany,Yes,2,2007-2008,2012-2013,RESOLVED,CURRENT_REGISTRY_ALIAS_NORMALIZATION,,Resolved against data/reference/programs.csv at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b; current program key `ualbany`. Representative raw labels: Albany 6.
5,duke,Alumni,duke-alumni,Duke Alumni,No,1,1925-1926,1925-1926,RESOLVED,OWNER_APPROVED_NON_D1,,Duke_NON_D1_owner_sanity_scan.csv — owner APPROVED / COMPLETE; mechanically revalidated in recovery. Representative raw labels: Alumni.
6,duke,Appalachian State,app-state,Appalachian State,Yes,10,1973-1974,2021-2022,RESOLVED,CURRENT_REGISTRY_ALIAS_NORMALIZATION,,Resolved against data/reference/programs.csv at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b; current program key `app-state`. Representative raw labels: Appalachian State; Appalachian State 15; Appalachian State 4; Appalachian State 6.
7,duke,Arizona,arizona,Arizona,Yes,12,1961-1962,2024-2025,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `arizona` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Arizona; Arizona 12; Arizona 6; Arizona 9.
8,duke,Arizona State,arizona-state,Arizona State,Yes,1,2009-2010,2009-2010,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `arizona-state` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Arizona State.
9,duke,Arkansas,arkansas,Arkansas,Yes,6,1989-1990,2025-2026,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `arkansas` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: #22 Arkansas; Arkansas; Arkansas 15; Arkansas 6; Arkansas 9.
10,duke,Arkansas-Pine Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,1,2009-2010,2009-2010,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `arkansas-pine-bluff` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Arkansas-Pine Bluff.
11,duke,Army West Point,army,Army,Yes,17,1931-1932,2025-2026,RESOLVED,CURRENT_REGISTRY_ALIAS_NORMALIZATION,,Resolved against data/reference/programs.csv at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b; current program key `army`. Representative raw labels: Army West Point; Army West Point 11; Army West Point 18; Army West Point 4; Army West Point 6; Army West Point 9.
12,duke,Asheville YMCA,asheville-ymca,Asheville YMCA,No,8,1912-1913,1916-1917,RESOLVED,OWNER_APPROVED_NON_D1,,Duke_NON_D1_owner_sanity_scan.csv — owner APPROVED / COMPLETE; mechanically revalidated in recovery. Representative raw labels: Asheville YMCA.
13,duke,Atlanta AC,atlanta-ac,Atlanta AC,No,1,1921-1922,1921-1922,RESOLVED,OWNER_APPROVED_NON_D1,,Duke_NON_D1_owner_sanity_scan.csv — owner APPROVED / COMPLETE; mechanically revalidated in recovery. Representative raw labels: Atlanta AC.
14,duke,Auburn,auburn,Auburn,Yes,5,1963-1964,2024-2025,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `auburn` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Auburn; Auburn 8; Auburn 9.
15,duke,BYU-Hawaii,byu-hawaii,BYU-Hawaii,No,1,1986-1987,1986-1987,RESOLVED,OWNER_APPROVED_NON_D1,,Duke_NON_D1_owner_sanity_scan.csv — owner APPROVED / COMPLETE; mechanically revalidated in recovery. Representative raw labels: BYU-Hawaii.
16,duke,Ball State,ball-state,Ball State,Yes,1,2001-2002,2001-2002,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `ball-state` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Ball State.
17,duke,Baltimore,university-of-baltimore,University of Baltimore,No,5,1931-1932,1939-1940,RESOLVED,OWNER_APPROVED_NON_D1,,Duke_NON_D1_owner_sanity_scan.csv — owner APPROVED / COMPLETE; mechanically revalidated in recovery. Representative raw labels: Baltimore.
18,duke,Baylor,baylor,Baylor,Yes,3,2009-2010,2024-2025,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `baylor` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Baylor; Baylor 21.
19,duke,Bellarmine,bellarmine,Bellarmine,Yes,2,2020-2021,2022-2023,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `bellarmine` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Bellarmine 6; Bellarmine 8.
20,duke,Belmont,belmont,Belmont,Yes,2,2007-2008,2011-2012,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `belmont` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Belmont 6; Belmont 9.
21,duke,Binghamton,binghamton,Binghamton,Yes,1,2008-2009,2008-2009,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `binghamton` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Binghamton 6.
22,duke,Birmingham AC,birmingham-ac,Birmingham AC,No,1,1923-1924,1923-1924,RESOLVED,OWNER_APPROVED_NON_D1,,Duke_NON_D1_owner_sanity_scan.csv — owner APPROVED / COMPLETE; mechanically revalidated in recovery. Representative raw labels: Birmingham AC.
23,duke,Boston,boston-university,Boston University,Yes,6,1987-1988,2005-2006,RESOLVED,CURRENT_REGISTRY_PLUS_HISTORICAL_ALIAS_EVIDENCE,,Duke official opponent-history page identifies the six source-'Boston' games from 1987-88 through 2005-06 as Boston University. Current project registry key: boston-university. Representative raw labels: Boston; Boston 5; Boston 8.
24,duke,Boston College,boston-college,Boston College,Yes,34,1979-1980,2025-2026,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `boston-college` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Boston College; Boston College 10; Boston College 11; Boston College 15; Boston College 16; Boston College 17; Boston College 2; Boston College 21; Boston College 4; Boston College 5; Boston College 6; Boston College 8; Boston College 9.
25,duke,Bradley,bradley,Bradley,Yes,3,1950-1951,2010-2011,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `bradley` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Bradley.
26,duke,Brigham Young,byu,BYU,Yes,2,1952-1953,1992-1993,RESOLVED,CURRENT_REGISTRY_ALIAS_NORMALIZATION,,Resolved against data/reference/programs.csv at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b; current program key `byu`. Representative raw labels: Brigham Young.
27,duke,Brown,brown,Brown,Yes,5,1938-1939,2019-2020,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `brown` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Brown; Brown 4; Brown 8.
28,duke,Bryant,bryant,Bryant,Yes,1,2015-2016,2015-2016,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `bryant` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Bryant 5.
29,duke,Bucknell,bucknell,Bucknell,Yes,4,1959-1960,2023-2024,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `bucknell` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Bucknell; Bucknell 9.
30,duke,Buffalo,buffalo,Buffalo,Yes,1,2015-2016,2015-2016,RESOLVED,CURRENT_REGISTRY_EXACT_NORMALIZATION,,Source identity resolves directly to current program registry identity `buffalo` at research_base_sha bb2fcf16dd8800e3d9b823c0b4999b2d1b516d6b. Representative raw labels: Buffalo.
