index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,DUKE-PRINT-00001,duke,duke_media_guide_all_time_results,1905-1906,1906,1906-03-02,Wake Forest,Wake Forest,wake-forest,Yes,10,24,L,0,,,H,SOURCE_PROGRAM_HOME,,Angier B. Duke Gymnasium,Durham,NC,,,REGULAR_SEASON,,163,M 2 Wake Forest H L 10 24,resolved,,,,,,,
1,DUKE-PRINT-00002,duke,duke_media_guide_all_time_results,1905-1906,1906,1906-03-16,Wake Forest,Wake Forest,wake-forest,Yes,5,15,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,163,M 16 Wake Forest A L 5 15,resolved,,,,,,,
2,DUKE-PRINT-00003,duke,duke_media_guide_all_time_results,1905-1906,1906,,Trinity Park,Trinity Park School,trinity-park-school,No,28,18,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,163,Trinity Park U W 28 18,resolved,,RESEARCHED_UNRESOLVED,Duke's primary all-time-results source explicitly preserves this game's site as U. Duke Series Records / available reciprocal evidence were reviewed where productive; no game-specific H/A/N evidence safely supersedes the source. Preserved UNKNOWN rather than inferred from geography or series pattern.,,,,
3,DUKE-PRINT-00004,duke,duke_media_guide_all_time_results,1905-1906,1906,,Trinity Park,Trinity Park School,trinity-park-school,No,16,19,L,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,163,Trinity Park U L 16 19,resolved,,RESEARCHED_UNRESOLVED,Duke's primary all-time-results source explicitly preserves this game's site as U. Duke Series Records / available reciprocal evidence were reviewed where productive; no game-specific H/A/N evidence safely supersedes the source. Preserved UNKNOWN rather than inferred from geography or series pattern.,,,,
4,DUKE-PRINT-00005,duke,duke_media_guide_all_time_results,1905-1906,1906,,Trinity Park,Trinity Park School,trinity-park-school,No,19,13,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,163,Trinity Park U W 19 13,resolved,,RESEARCHED_UNRESOLVED,Duke's primary all-time-results source explicitly preserves this game's site as U. Duke Series Records / available reciprocal evidence were reviewed where productive; no game-specific H/A/N evidence safely supersedes the source. Preserved UNKNOWN rather than inferred from geography or series pattern.,,,,
5,DUKE-PRINT-00006,duke,duke_media_guide_all_time_results,1906-1907,1907,,Trinity Park,Trinity Park School,trinity-park-school,No,24,1,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,163,Trinity Park U W 24 1,resolved,,RESEARCHED_UNRESOLVED,Duke's primary all-time-results source explicitly preserves this game's site as U. Duke Series Records / available reciprocal evidence were reviewed where productive; no game-specific H/A/N evidence safely supersedes the source. Preserved UNKNOWN rather than inferred from geography or series pattern.,,,,
6,DUKE-PRINT-00007,duke,duke_media_guide_all_time_results,1906-1907,1907,,Wake Forest,Wake Forest,wake-forest,Yes,6,8,L,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,163,Wake Forest U L 6 8,resolved,,RESEARCHED_UNRESOLVED,Duke's primary all-time-results source explicitly preserves this game's site as U. Duke Series Records / available reciprocal evidence were reviewed where productive; no game-specific H/A/N evidence safely supersedes the source. Preserved UNKNOWN rather than inferred from geography or series pattern.,,,,
7,DUKE-PRINT-00008,duke,duke_media_guide_all_time_results,1906-1907,1907,,Littleton HS,Littleton HS,littleton-hs,No,62,1,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,163,Littleton HS U W 62 1,resolved,,RESEARCHED_UNRESOLVED,Duke's primary all-time-results source explicitly preserves this game's site as U. Duke Series Records / available reciprocal evidence were reviewed where productive; no game-specific H/A/N evidence safely supersedes the source. Preserved UNKNOWN rather than inferred from geography or series pattern.,,,,
8,DUKE-PRINT-00009,duke,duke_media_guide_all_time_results,1906-1907,1907,,Trinity Park,Trinity Park School,trinity-park-school,No,38,6,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,163,Trinity Park U W 38 6,resolved,,RESEARCHED_UNRESOLVED,Duke's primary all-time-results source explicitly preserves this game's site as U. Duke Series Records / available reciprocal evidence were reviewed where productive; no game-specific H/A/N evidence safely supersedes the source. Preserved UNKNOWN rather than inferred from geography or series pattern.,,,,
9,DUKE-PRINT-00010,duke,duke_media_guide_all_time_results,1906-1907,1907,,Guilford,Guilford,guilford,No,20,1,W,0,,,U,UNKNOWN,,,,,,,REGULAR_SEASON,,163,Guilford U W 20 1,resolved,,RESEARCHED_UNRESOLVED,Duke's primary all-time-results source explicitly preserves this game's site as U. Duke Series Records / available reciprocal evidence were reviewed where productive; no game-specific H/A/N evidence safely supersedes the source. Preserved UNKNOWN rather than inferred from geography or series pattern.,,,,
