index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,duke,alamodome,VEN-000002,Alamodome,,San Antonio,TX,arena,,,,2,2004-04-03,2025-04-05,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,Duke Stage 3A/3B accepted physical-site research.,Physical venue identity reuses research-base registry; numeric/global identity remains subject to serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000002.
1,duke,allstate-arena,VEN-000004,Allstate Arena,Rosemont Horizon,Rosemont,IL,arena,,,,2,1993-03-18,1993-03-20,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,Duke Stage 3A/3B accepted physical-site research.,Physical venue identity reuses research-base registry; numeric/global identity remains subject to serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000004.
2,duke,alumni-memorial-gymnasium-duke,VEN-000513,Alumni Memorial Gymnasium,Brodie Gym,Durham,NC,gymnasium,1923,,YEAR,26,1924-01-25,1930-02-20,PRIMARY_HOME,1923-1924,1929-1930,SEASON,Venue never establishes H/A/N; relationship applied only after independent site classification.,Duke Stage 3A/3B accepted physical-site research. Duke institutional home-facility chronology and game-level H/A/N evidence.,Research-time provisional physical identity; no safe research-base global match. Numeric ID is transport-only and serialized Implementation must rebase against current main. Integration rebase resolved final global venue ID VEN-000513.
3,duke,amalie-arena,VEN-000008,Benchmark International Arena,St. Pete Times Forum,Tampa,FL,arena,,,,1,2007-03-08,2007-03-08,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,Duke Stage 3A/3B accepted physical-site research.,Physical venue identity reuses research-base registry; numeric/global identity remains subject to serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000008.
4,duke,american-airlines-center,VEN-000010,American Airlines Center,,Dallas,TX,arena,,,,2,2024-03-29,2024-03-31,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,Duke Stage 3A/3B accepted physical-site research.,Physical venue identity reuses research-base registry; numeric/global identity remains subject to serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000010.
5,duke,amica-mutual-pavilion,VEN-000011,Amica Mutual Pavilion,Dunkin' Donuts Center; Providence Civic Center,Providence,RI,arena,,,,5,1978-03-17,2016-03-19,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,Duke Stage 3A/3B accepted physical-site research.,Physical venue identity reuses research-base registry; numeric/global identity remains subject to serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000011.
6,duke,amway-center,VEN-000012,Amway Center,,Orlando,FL,arena,,,,2,2023-03-16,2023-03-18,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,Duke Stage 3A/3B accepted physical-site research.,Physical venue identity reuses research-base registry; numeric/global identity remains subject to serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000012.
7,duke,angier-b-duke-gymnasium,VEN-000514,Angier B. Duke Gymnasium,Angier Duke Gymnasium; The Ark,Durham,NC,gymnasium,,,,56,1906-03-02,1923-02-03,PRIMARY_HOME,1905-1906,1922-1923,SEASON,Venue never establishes H/A/N; relationship applied only after independent site classification.,Duke Stage 3A/3B accepted physical-site research. Duke institutional home-facility chronology and game-level H/A/N evidence.,Research-time provisional physical identity; no safe research-base global match. Numeric ID is transport-only and serialized Implementation must rebase against current main. Integration rebase resolved final global venue ID VEN-000514.
8,duke,atlanta-municipal-auditorium,VEN-000274,Atlanta Municipal Auditorium,Municipal Auditorium,Atlanta,GA,arena,,,,13,1929-03-01,1932-02-29,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,Duke Stage 3A/3B accepted physical-site research.,Physical venue identity reuses research-base registry; numeric/global identity remains subject to serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000274.
9,duke,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,arena,,,,13,2014-11-21,2024-03-24,GAME_SITE,,,,Venue never establishes H/A/N; relationship applied only after independent site classification.,Duke Stage 3A/3B accepted physical-site research.,Physical venue identity reuses research-base registry; numeric/global identity remains subject to serialized current-main rebase. Integration rebase resolved final global venue ID VEN-000020.
