index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,florida,120th Infantry,camp-blanding-120th-infantry,Camp Blanding 120th Infantry,No,1,1942-1943,1942-1943,RESOLVED,Florida guide series normalization,,
1,florida,197th Field Artillery,field-artillery-197th,Field Artillery 197th,No,1,1942-1943,1942-1943,RESOLVED,Florida guide series normalization,,
2,florida,305th Fighter Squad,305th-fighter-squadron,305th Fighter Squadron,No,1,1942-1943,1942-1943,RESOLVED,Florida guide series normalization,,
3,florida,Air Force,air-force,Air Force,Yes,1,2012-2013,2012-2013,RESOLVED,Current D1 registry / straightforward naming match,,
4,florida,Air Force*,air-force,Air Force,Yes,1,1963-1964,1963-1964,RESOLVED,Current D1 registry / straightforward naming match,,
5,florida,Alabama,alabama,Alabama,Yes,138,1926-1927,2025-2026,RESOLVED,Current D1 registry / straightforward naming match,,
6,florida,Alabama State,alabama-state,Alabama State,Yes,2,2005-2006,2012-2013,RESOLVED,Current D1 registry / straightforward naming match,,
7,florida,Alabama#,alabama,Alabama,Yes,2,2023-2024,2024-2025,RESOLVED,Current D1 registry / straightforward naming match,,
8,florida,Alabama*,alabama,Alabama,Yes,9,1933-1934,2014-2015,RESOLVED,Current D1 registry / straightforward naming match,,
9,florida,Alabama**,alabama,Alabama,Yes,3,1988-1989,1991-1992,RESOLVED,Current D1 registry / straightforward naming match,,
10,florida,Alabama<,alabama,Alabama,Yes,1,2003-2004,2003-2004,RESOLVED,Current D1 registry / straightforward naming match,,
11,florida,Alabama^,alabama,Alabama,Yes,1,1993-1994,1993-1994,RESOLVED,Current D1 registry / straightforward naming match,,
12,florida,Alaska Anchorage*,alaska-anchorage,Alaska-Anchorage,No,1,1982-1983,1982-1983,RESOLVED,Historical/non-current identity normalization,,
13,florida,Alaska-Anchorage*,alaska-anchorage,Alaska-Anchorage,No,2,1988-1989,1990-1991,RESOLVED,Historical/non-current identity normalization,,
14,florida,Albany YMCA,albany-ymca,Albany YMCA,No,5,1921-1922,1937-1938,RESOLVED,Historical/non-current source identity,,
15,florida,Albany>,ualbany,Albany,Yes,1,2005-2006,2005-2006,RESOLVED,Current D1 registry alias,,
16,florida,Albany^,ualbany,Albany,Yes,1,2013-2014,2013-2014,RESOLVED,Current D1 registry alias,,
17,florida,American,american-university,American,Yes,2,2009-2010,2010-2011,RESOLVED,Current D1 registry alias,,
18,florida,American University,american-university,American,Yes,1,2000-2001,2000-2001,RESOLVED,Current D1 registry alias,,
19,florida,Arizona,arizona,Arizona,Yes,3,2011-2012,2025-2026,RESOLVED,Current D1 registry / straightforward naming match,,
20,florida,Arizona State,arizona-state,Arizona State,Yes,1,2024-2025,2024-2025,RESOLVED,Current D1 registry / straightforward naming match,,
21,florida,Arizona State$,arizona-state,Arizona State,Yes,1,2007-2008,2007-2008,RESOLVED,Current D1 registry / straightforward naming match,,
22,florida,Arizona State*,arizona-state,Arizona State,Yes,1,1984-1985,1984-1985,RESOLVED,Current D1 registry / straightforward naming match,,
23,florida,Arizona*,arizona,Arizona,Yes,1,2003-2004,2003-2004,RESOLVED,Current D1 registry / straightforward naming match,,
24,florida,Arizona>,arizona,Arizona,Yes,1,2001-2002,2001-2002,RESOLVED,Current D1 registry / straightforward naming match,,
25,florida,Arkansas,arkansas,Arkansas,Yes,37,1991-1992,2025-2026,RESOLVED,Current D1 registry / straightforward naming match,,
26,florida,Arkansas Little-Rock,little-rock,Little Rock,Yes,1,2013-2014,2013-2014,RESOLVED,Current D1 registry alias,,
27,florida,Arkansas#,arkansas,Arkansas,Yes,2,2017-2018,2018-2019,RESOLVED,Current D1 registry / straightforward naming match,,
28,florida,Arkansas*,arkansas,Arkansas,Yes,5,1998-1999,2015-2016,RESOLVED,Current D1 registry / straightforward naming match,,
29,florida,Army (MSG),army,Army,Yes,1,1971-1972,1971-1972,RESOLVED,Venue qualifier removed,,
30,florida,Army^,army,Army,Yes,1,2020-2021,2020-2021,RESOLVED,Current D1 registry / straightforward naming match,,
31,florida,at Auburn,auburn,Auburn,Yes,1,2021-2022,2021-2022,RESOLVED,Current D1 registry / straightforward naming match,,
32,florida,Atwater Kent,atwater-kent,Atwater Kent,No,2,1930-1931,1930-1931,RESOLVED,Historical/non-current source identity,,
33,florida,Auburn,auburn,Auburn,Yes,168,1926-1927,2025-2026,RESOLVED,Current D1 registry / straightforward naming match,,
34,florida,Auburn!,auburn,Auburn,Yes,1,2024-2025,2024-2025,RESOLVED,Current D1 registry / straightforward naming match,,
35,florida,Auburn#,auburn,Auburn,Yes,3,1980-1981,2018-2019,RESOLVED,Current D1 registry / straightforward naming match,,
36,florida,Auburn*,auburn,Auburn,Yes,5,1997-1998,2009-2010,RESOLVED,Current D1 registry / straightforward naming match,,
37,florida,Augusta College,augusta-college,Augusta College,No,1,1990-1991,1990-1991,RESOLVED,Historical/non-current source identity,,
38,florida,Austin Peay@,austin-peay,Austin Peay,Yes,1,1992-1993,1992-1993,RESOLVED,Current D1 registry / straightforward naming match,,
39,florida,Banana River NAS,banana-river-nas,Banana River NAS,No,2,1946-1947,1946-1947,RESOLVED,Historical/non-current source identity,,
40,florida,Baylor,baylor,Baylor,Yes,2,2017-2018,2019-2020,RESOLVED,Current D1 registry / straightforward naming match,,
41,florida,Baylor#,baylor,Baylor,Yes,1,1981-1982,1981-1982,RESOLVED,Current D1 registry / straightforward naming match,,
42,florida,Baylor^,baylor,Baylor,Yes,1,2023-2024,2023-2024,RESOLVED,Current D1 registry / straightforward naming match,,
43,florida,Belmont,belmont,Belmont,Yes,2,2001-2002,2016-2017,RESOLVED,Current D1 registry / straightforward naming match,,
44,florida,Bethune Cookman,bethune-cookman,Bethune-Cookman,Yes,2,1996-1997,2002-2003,RESOLVED,Current D1 naming normalization,,
45,florida,Bethune-Cookman,bethune-cookman,Bethune-Cookman,Yes,4,1998-1999,2005-2006,RESOLVED,Current D1 registry / straightforward naming match,,
46,florida,Biscayne,st-thomas-university,St. Thomas University,No,5,1979-1980,1983-1984,RESOLVED,Florida guide Biscayne/St. Thomas lineage,,Florida guide Biscayne/St. Thomas lineage
47,florida,Boston College&,boston-college,Boston College,Yes,1,1994-1995,1994-1995,RESOLVED,Current D1 registry / straightforward naming match,,
48,florida,Boston College@,boston-college,Boston College,Yes,1,1993-1994,1993-1994,RESOLVED,Current D1 registry / straightforward naming match,,
49,florida,Boston College^,boston-college,Boston College,Yes,1,2020-2021,2020-2021,RESOLVED,Current D1 registry / straightforward naming match,,
50,florida,Bradley,bradley,Bradley,Yes,1,2008-2009,2008-2009,RESOLVED,Current D1 registry / straightforward naming match,,
51,florida,Bradley*,bradley,Bradley,Yes,1,1970-1971,1970-1971,RESOLVED,Current D1 registry / straightforward naming match,,
52,florida,Brigham Young*,byu,BYU,Yes,2,1959-1960,1991-1992,RESOLVED,Current D1 naming normalization,,
53,florida,Brown,brown,Brown,Yes,1,1977-1978,1977-1978,RESOLVED,Current D1 registry / straightforward naming match,,
54,florida,Bucknell,bucknell,Bucknell,Yes,1,1968-1969,1968-1969,RESOLVED,Current D1 registry / straightforward naming match,,
55,florida,Butler,butler,Butler,Yes,2,2018-2019,2019-2020,RESOLVED,Current D1 registry / straightforward naming match,,
56,florida,Butler#,butler,Butler,Yes,2,1999-2000,2010-2011,RESOLVED,Current D1 registry / straightforward naming match,,
57,florida,Butler$,butler,Butler,Yes,1,2006-2007,2006-2007,RESOLVED,Current D1 registry / straightforward naming match,,
58,florida,Butler^,butler,Butler,Yes,1,2018-2019,2018-2019,RESOLVED,Current D1 registry / straightforward naming match,,
59,florida,BYU#,byu,BYU,Yes,1,2010-2011,2010-2011,RESOLVED,Current D1 registry match,,
60,florida,BYU&,byu,BYU,Yes,1,2009-2010,2009-2010,RESOLVED,Current D1 registry match,,
61,florida,Cal-Berkeley*,california,California,Yes,1,1988-1989,1988-1989,RESOLVED,Current D1 naming normalization,,
62,florida,California#,california,California,Yes,1,1986-1987,1986-1987,RESOLVED,Current D1 registry / straightforward naming match,,
