index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,FLARAW-00001,florida,historical_media_guide,1915-1916,1916,1915-12-15,Jacksonville YMCA,Jacksonville YMCA,jacksonville-ymca,No,30,14,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,D15    Jacksonville YMCA      A  W     30    14,resolved,,,,,
1,FLARAW-00002,florida,historical_media_guide,1915-1916,1916,1916-01-25,Columbia College,Columbia College,columbia-college,No,18,5,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,J25    Columbia College       A  W     18    5,resolved,,,,,
2,FLARAW-00003,florida,historical_media_guide,1915-1916,1916,1916-02-02,Kewatin (St. Aug.),Kewatin (St. Aug.),kewatin-st-aug,No,16,22,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,F2     Kewatin (St. Aug.)       A    L      16    22,resolved,,,,,
3,FLARAW-00004,florida,historical_media_guide,1915-1916,1916,1916-02-03,St. Augustine YMCA,St. Augustine YMCA,st-augustine-ymca,No,46,32,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,F3      St. Augustine YMCA     A  W     46    32,resolved,,,,,
4,FLARAW-00005,florida,historical_media_guide,1915-1916,1916,1916-02-04,Jacksonville YMCA,Jacksonville YMCA,jacksonville-ymca,No,46,42,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,F4      Jacksonville YMCA      A  W     46    42,resolved,,,,,
5,FLARAW-00006,florida,historical_media_guide,1915-1916,1916,1916-02-05,Columbia College,Columbia College,columbia-college,No,36,25,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,F5     Columbia College       A  W     36    25,resolved,,,,,
6,FLARAW-00007,florida,historical_media_guide,1919-1920,1920,,Jacksonville YMCA,Jacksonville YMCA,jacksonville-ymca,No,31,28,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,Jacksonville YMCA      A  W     31    28,resolved,,,,,
7,FLARAW-00008,florida,historical_media_guide,1919-1920,1920,,Jacksonville YMCA,Jacksonville YMCA,jacksonville-ymca,No,31,33,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,Jacksonville YMCA      A    L      31    33,resolved,,,,,
8,FLARAW-00009,florida,historical_media_guide,1919-1920,1920,,Catholic Club (Jax),Catholic Club (Jax),catholic-club-jax,No,28,16,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,Catholic Club (Jax)      A  W     28    16,resolved,,,,,
9,FLARAW-00010,florida,historical_media_guide,1919-1920,1920,,Stetson,Stetson,stetson,Yes,28,35,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,Stetson              A    L      28    35,resolved,,,,,
10,FLARAW-00011,florida,historical_media_guide,1919-1920,1920,,Mercer,Mercer,mercer,Yes,21,30,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,Mercer               A    L      21    30,resolved,,,,,
11,FLARAW-00012,florida,historical_media_guide,1919-1920,1920,,Macon YMCA,Macon YMCA,macon-ymca,No,18,64,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,Macon YMCA          A    L      18    64,resolved,,,,,
12,FLARAW-00013,florida,historical_media_guide,1919-1920,1920,,Savannah,Savannah YMCA,savannah-ymca,No,24,28,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,Savannah             A    L      24    28,resolved,,,,,
13,FLARAW-00014,florida,historical_media_guide,1920-1921,1921,1921-01-15,Stetson,Stetson,stetson,Yes,18,36,L,0,,,Florida Home,SOURCE_PROGRAM_HOME,,University Gymnasium,Gainesville,FL,,,REGULAR_SEASON,,PDF p. 100,J15    Stetson             H    L      18    36,resolved,,,,,
14,FLARAW-00015,florida,historical_media_guide,1920-1921,1921,1921-01-22,Stetson,Stetson,stetson,Yes,16,55,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,J22    Stetson              A    L      16    55,resolved,,,,,
15,FLARAW-00016,florida,historical_media_guide,1920-1921,1921,1921-02-05,Savannah YMCA,Savannah YMCA,savannah-ymca,No,38,20,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,F5     Savannah YMCA        A  W     38    20,resolved,,,,,
16,FLARAW-00017,florida,historical_media_guide,1920-1921,1921,1921-02-06,NC State,NC State,nc-state,Yes,39,18,W,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,F6    NC State              A  W     39    18,resolved,,,,,
17,FLARAW-00018,florida,historical_media_guide,1920-1921,1921,1921-02-08,Trinity,Duke,duke,Yes,21,49,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,F8      Trinity               A    L      21    49,resolved,,,,,
18,FLARAW-00019,florida,historical_media_guide,1920-1921,1921,1921-02-09,VMI,VMI,vmi,Yes,20,60,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,F9    VMI                 A    L      20    60,resolved,,,,,
19,FLARAW-00020,florida,historical_media_guide,1920-1921,1921,1921-02-10,Davidson,Davidson,davidson,Yes,26,45,L,0,,,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 100,F10    Davidson             A    L      26    45,resolved,,,,,
