index,source_program_key,venue_key,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,florida,amerant-bank-arena,Amerant Bank Arena,,Sunrise,FL,arena,,,unknown,1,2025-12-13,2025-12-13,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
1,florida,benchmark-international-arena,Benchmark International Arena,,Tampa,FL,arena,,,unknown,2,2026-03-20,2026-03-22,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s). Current package preserves the supplied venue name as its own identity; possible cross-package naming lineage with the Tampa arena family should be reconciled globally before venue unification.
2,florida,bridgestone-arena,Bridgestone Arena,,Nashville,TN,arena,,,unknown,2,2026-03-13,2026-03-14,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
3,florida,cameron-indoor-stadium,Cameron Indoor Stadium,,Durham,NC,arena,,,unknown,1,2025-12-02,2025-12-02,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
4,florida,colonial-life-arena,Colonial Life Arena,,Columbia,SC,arena,,,unknown,1,2026-01-28,2026-01-28,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
5,florida,florida-gymnasium,Florida Gymnasium,Florida Gym;Alligator Alley,Gainesville,FL,gymnasium,,,unknown,343,1950-01-07,1980-02-20,primary_home,1950-01-07,1980-02-20,exact,A Florida game explicitly classified H in the guide may use this venue when the documented chronology supports it; game-level H/A/N remains authoritative.,Florida media guide Home Court Records table,Guide calls it Florida Gym and notes Alligator Alley; owner selected Florida Gymnasium display.
6,florida,jenny-craig-pavilion,Jenny Craig Pavilion,,San Diego,CA,arena,,,unknown,2,2025-11-27,2025-11-28,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
7,florida,lloyd-noble-center,Lloyd Noble Center,,Norman,OK,arena,,,unknown,1,2026-01-13,2026-01-13,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
8,florida,madison-square-garden,Madison Square Garden,,New York,NY,arena,,,unknown,1,2025-12-09,2025-12-09,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
9,florida,memorial-gymnasium,Memorial Gymnasium,,Nashville,TN,arena,,,unknown,1,2026-01-17,2026-01-17,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
10,florida,mizzou-arena,Mizzou Arena,,Columbia,MO,arena,,,unknown,1,2026-01-03,2026-01-03,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
11,florida,moody-center,Moody Center,,Austin,TX,arena,,,unknown,1,2026-02-25,2026-02-25,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
12,florida,new-gymnasium-florida,New Gymnasium,The New Gym,Gainesville,FL,gymnasium,,,unknown,172,1928-01-06,1949-02-26,primary_home,1928-01-06,1949-02-26,exact,A Florida game explicitly classified H in the guide may use this venue when the documented chronology supports it; game-level H/A/N remains authoritative.,Florida media guide Home Court Records table,Owner selected New Gymnasium for site-facing display.
13,florida,oconnell-center,O'Connell Center,O’Connell Center;Stephen C. O’Connell Center;Exactech Arena;Exactech Arena at the Stephen C. O’Connell Center,Gainesville,FL,arena,,,unknown,679,1980-12-30,2026-03-03,primary_home,1980-12-30,present,exact,A Florida game explicitly classified H in the guide may use this venue when the documented chronology supports it; game-level H/A/N remains authoritative.,Florida media guide Home Court Records / Quick Facts; owner naming decision,Current primary home; site-facing display intentionally O’Connell Center.
14,florida,reed-arena,Reed Arena,,College Station,TX,arena,,,unknown,1,2026-02-07,2026-02-07,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
15,florida,rupp-arena,Rupp Arena,,Lexington,KY,arena,,,unknown,1,2026-03-07,2026-03-07,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
16,florida,sjb-pavilion,SJB Pavilion,,Oxford,MS,arena,,,unknown,1,2026-02-21,2026-02-21,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
17,florida,stegeman-coliseum,Stegeman Coliseum,,Athens,GA,arena,,,unknown,1,2026-02-11,2026-02-11,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
18,florida,t-mobile-arena,T-Mobile Arena,,Paradise,NV,arena,,,unknown,1,2025-11-03,2025-11-03,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
19,florida,university-gymnasium-florida,University Gymnasium,The Gym,Gainesville,FL,gymnasium,,,unknown,24,1921-01-15,1927-02-26,primary_home,1920-01-15,1927-02-26,exact,A Florida game explicitly classified H in the guide may use this venue when the documented chronology supports it; game-level H/A/N remains authoritative.,Florida media guide Home Court Records table,Guide calls this venue “The Gym”; owner selected University Gymnasium for site-facing display.
20,florida,vystar-veterans-memorial-arena,VyStar Veterans Memorial Arena,,Jacksonville,FL,arena,,,unknown,1,2025-11-16,2025-11-16,,,,,,Owner-supplied completed 2025-26 results table,Exact venue supplied for 2025-26 game(s).
