source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
houston,#1/ UCLA,ucla,UCLA,Yes,1,1967-1968,1967-1968,RESOLVED,CURRENT_D1_EXACT_REGISTRY_MATCH,,Exact/unambiguous current-D1 program identity at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1; no competing current program identity found.
houston,#10/ Illinois,illinois,Illinois,Yes,1,1985-1986,1985-1986,RESOLVED,CURRENT_D1_EXACT_REGISTRY_MATCH,,Exact/unambiguous current-D1 program identity at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1; no competing current program identity found.
houston,#11/ Santa Clara,santa-clara,Santa Clara,Yes,1,1969-1970,1969-1970,RESOLVED,CURRENT_D1_EXACT_REGISTRY_MATCH,,Exact/unambiguous current-D1 program identity at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1; no competing current program identity found.
houston,#12/ Florida State,florida-state,Florida State,Yes,1,1971-1972,1971-1972,RESOLVED,CURRENT_D1_EXACT_REGISTRY_MATCH,,Exact/unambiguous current-D1 program identity at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1; no competing current program identity found.
houston,#12/12 Texas Tech,texas-tech,Texas Tech,Yes,1,2025-2026,2025-2026,RESOLVED,CURRENT_D1_EXACT_REGISTRY_MATCH,,Exact/unambiguous current-D1 program identity at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1; no competing current program identity found.
houston,#13/ LSU,lsu,LSU,Yes,1,1984-1985,1984-1985,RESOLVED,CURRENT_D1_EXACT_REGISTRY_MATCH,,Exact/unambiguous current-D1 program identity at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1; no competing current program identity found.
houston,#13/ Louisiana,louisiana,Louisiana,Yes,1,1972-1973,1972-1973,RESOLVED,CURRENT_D1_EXACT_REGISTRY_MATCH,,Exact/unambiguous current-D1 program identity at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1; no competing current program identity found.
houston,#13/ Oklahoma City,oklahoma-city,Oklahoma City,No,1,1958-1959,1958-1959,RESOLVED,HISTORICAL_NON_D1,,Unambiguous Oklahoma City University identity; no current-D1 collision.
houston,#13/ USC,usc,USC,Yes,1,1969-1970,1969-1970,RESOLVED,CURRENT_D1_EXACT_REGISTRY_MATCH,,Exact/unambiguous current-D1 program identity at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1; no competing current program identity found.
houston,#13/12 (3) Illinois,illinois,Illinois,Yes,1,2025-2026,2025-2026,RESOLVED,CURRENT_D1_EXACT_REGISTRY_MATCH,,Exact/unambiguous current-D1 program identity at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1; no competing current program identity found.
