source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_key,normalized_opponent_name,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,site_research_status,site_research_basis,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id,source_series_event_note
HOU-R-00001,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1950-12-02,* at Bradley,bradley,Bradley,Yes,73,94,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,D2 | L 73-94 | * at Bradley,resolved,,,,,,,,
HOU-R-00002,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1950-12-05,* at Saint Louis,saint-louis,Saint Louis,Yes,44,71,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,D5 | L 44-71 | * at Saint Louis,resolved,,,,,,,,
HOU-R-00003,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1950-12-08,Sam Houston,sam-houston,Sam Houston,Yes,63,57,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,D8 W 63-57 | Sam Houston,resolved,,,,,,,,
HOU-R-00004,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1950-12-12,* Saint Louis,saint-louis,Saint Louis,Yes,63,71,L,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,D12 L 63-71 | * Saint Louis,resolved,,,,,,,,
HOU-R-00005,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1950-12-13,at Stephen F. Austin,stephen-f-austin,Stephen F. Austin,Yes,53,52,W,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,D13 W 53-52 | at Stephen F. Austin,resolved,,,,,,,,
HOU-R-00006,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1950-12-19,Texas A&M,texas-a-m,Texas A&M,Yes,52,45,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,D19 W 52-45 | Texas A&M,resolved,,,,,,,,
HOU-R-00007,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1950-12-23,* Wichita State,wichita-state,Wichita State,Yes,86,74,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,D23 W 86-74 | * Wichita State,resolved,,,,,,,,
HOU-R-00008,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-01-01,* at Drake,drake,Drake,Yes,60,66,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,J1 | L 60-66 | * at Drake,resolved,,,,,,,,
HOU-R-00009,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-01-02,* at Drake,drake,Drake,Yes,77,67,W,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,J2 | W 77-67 | * at Drake,resolved,,,,,,,,
HOU-R-00010,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-01-04,at Missouri,missouri,Missouri,Yes,48,66,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,J4 | L 48-66 | at Missouri,resolved,,,,,,,,
HOU-R-00011,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-01-10,Oklahoma City,oklahoma-city,Oklahoma City,No,53,51,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,J10 W 53-51 | Oklahoma City,resolved,,,,,,,,
HOU-R-00012,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-01-13,at Midwestern,midwestern-state,Midwestern State,No,53,54,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,J13 L 53-54 | at Midwestern,resolved,,,,,,,,
HOU-R-00013,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-01-16,at Trinity,trinity-texas,Trinity (TX),No,72,63,W,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,J16 W 72-63 | at Trinity,resolved,,,,,,,,
HOU-R-00014,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-01-18,at Sam Houston,sam-houston,Sam Houston,Yes,67,48,W,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,J18 W 67-48 | at Sam Houston,resolved,,,,,,,,
HOU-R-00015,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-01-20,North Texas,north-texas,North Texas,Yes,54,46,W,0,,,HOME_BOLD,SOURCE_PROGRAM_HOME,,Jeppesen Fieldhouse,Houston,TX,,,REGULAR_SEASON,,printed page 163,J20 W 54-46 | North Texas,resolved,,,,,,,,
HOU-R-00016,houston,2025-26 Houston Men’s Basketball Media Guide — Year-by-Year Results,1950-1951,1951,1951-01-27,* at Wichita State,wichita-state,Wichita State,Yes,68,69,L,0,,,AT,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,printed page 163,J27 L 68-69 | * at Wichita State,resolved,,,,,,,,
