source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
houston,ahearn-field-house,VEN-000001,Ahearn Field House,,Manhattan,KS,arena,,,,2,1965-03-12,1965-03-13,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Houston Stage 3A/3B physical-venue research at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1.,Research-base global venue identity reused (VEN-000001); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000001.
houston,alamodome,VEN-000002,Alamodome,,San Antonio,TX,arena,,,,2,2025-04-05,2025-04-07,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Houston Stage 3A/3B physical-venue research at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1.,Research-base global venue identity reused (VEN-000002); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000002.
houston,allen-fieldhouse,VEN-000003,Allen Fieldhouse,,Lawrence,KS,arena,,,,9,1956-03-16,1970-12-18,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Houston Stage 3A/3B physical-venue research at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1.,Research-base global venue identity reused (VEN-000003); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000003.
houston,alumni-hall-navy,VEN-000525,Alumni Hall,Navy Alumni Hall,Annapolis,MD,arena,,,,1,2022-11-11,2022-11-11,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Houston Stage 3A/3B physical-venue research at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1. Research-base registry has other institutions’ Alumni Hall identities but no Annapolis physical venue; Houston row identifies the Navy building.,Research-time physical identity; numeric global venue ID intentionally blank/provisional pending current-main Implementation rebase. Integration rebase resolved final global venue ID VEN-000525.
houston,american-airlines-center,VEN-000010,American Airlines Center,,Dallas,TX,arena,,,,1,2024-03-29,2024-03-29,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Houston Stage 3A/3B physical-venue research at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1.,Research-base global venue identity reused (VEN-000010); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000010.
houston,amway-center,VEN-000012,Amway Center,,Orlando,FL,arena,,,,4,2016-03-11,2018-03-11,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Houston Stage 3A/3B physical-venue research at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1.,Research-base global venue identity reused (VEN-000012); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000012.
houston,aoyama-gakuin-university-gymnasium,VEN-000487,Aoyama Gakuin University Gymnasium,,Tokyo,JP,arena,,,,2,1982-12-16,1982-12-17,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Houston Stage 3A/3B physical-venue research at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1.,Research-base global venue identity reused (VEN-000487); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000487.
houston,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,arena,,,,2,2013-11-25,2013-11-26,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Houston Stage 3A/3B physical-venue research at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1.,Research-base global venue identity reused (VEN-000020); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000020.
houston,bok-center,VEN-000024,BOK Center,,Tulsa,OK,arena,,,,8,2010-03-10,2019-03-24,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Houston Stage 3A/3B physical-venue research at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1.,Research-base global venue identity reused (VEN-000024); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000024.
houston,bradley-center,VEN-000026,Bradley Center,,Milwaukee,WI,arena,,,,1,1992-03-19,1992-03-19,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Houston Stage 3A/3B physical-venue research at research_base_sha 0b8cf20e3b14517031a5a0e62b362883966e51c1.,Research-base global venue identity reused (VEN-000026); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000026.
