source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
illinois,Air Force,air-force,Air Force,Yes,1,2005-2006,2005-2006,resolved,Inherited Missouri/current-registry identity,,
illinois,Alabama,alabama,Alabama,Yes,5,1953-1954,2024-2025,resolved,Inherited Missouri/current-registry identity,,
illinois,Alabama A&M,alabama-a-m,Alabama A&M,Yes,1,2022-2023,2022-2023,resolved,Inherited Missouri/current-registry identity,,
illinois,Alabama State,alabama-state,Alabama State,Yes,1,2013-2014,2013-2014,resolved,Inherited Missouri/current-registry identity,,
illinois,Alabama-Birmingham,uab,UAB,Yes,1,1984-1985,1984-1985,resolved,Clear institutional alias/name variant,,
illinois,Alaska,alaska-anchorage,Alaska Anchorage,No,1,1978-1979,1978-1979,resolved,User-confirmed historical identity,,
illinois,Alumni,illinois-alumni,Illinois Alumni,No,1,1943-1944,1943-1944,resolved,User-confirmed distinct historical/non-D1 identity,,
illinois,American,american-university,American University,Yes,2,1993-1994,2014-2015,resolved,Inherited Missouri/current-registry identity,,
illinois,American-Puerto Rico,american-of-puerto-rico,American University of Puerto Rico,No,2,1990-1991,1994-1995,resolved,Clear historical/non-current identity or lineage,,
illinois,Ames,iowa-state,Iowa State,Yes,1,1925-1926,1925-1926,resolved,User-confirmed historical name for Iowa State,,
illinois,Arizona,arizona,Arizona,Yes,16,1966-1967,2021-2022,resolved,Inherited Missouri/current-registry identity,,
illinois,Arizona State,arizona-state,Arizona State,Yes,4,1963-1964,2007-2008,resolved,Inherited Missouri/current-registry identity,,
illinois,Arkansas,arkansas,Arkansas,Yes,7,1949-1950,2024-2025,resolved,Inherited Missouri/current-registry identity,,
illinois,Arkansas A.C,arkansas-a-c,Arkansas A.C,No,1,1914-1915,1914-1915,resolved,New historical/non-current identity; source label sufficiently specific,,
illinois,Arkansas State,arkansas-state,Arkansas State,Yes,1,2021-2022,2021-2022,resolved,Inherited Missouri/current-registry identity,,
illinois,Arkansas-Little Rock,little-rock,Little Rock,Yes,3,1988-1989,2005-2006,resolved,Clear institutional alias/name variant,,
illinois,Arkansas-Pine Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,1,2002-2003,2002-2003,resolved,Inherited Missouri/current-registry identity,,
illinois,Army,army,Army,Yes,5,1965-1966,1981-1982,resolved,Inherited Missouri/current-registry identity,,
illinois,Auburn,auburn,Auburn,Yes,3,1987-1988,2013-2014,resolved,Inherited Missouri/current-registry identity,,
illinois,Augustana,augustana,Augustana,No,2,1933-1934,1937-1938,resolved,Inherited Missouri/current-registry identity,,
illinois,Augustana (Ill.),augustana-il,Augustana (IL),No,1,2017-2018,2017-2018,resolved,Clear historical/non-current identity or lineage,,
illinois,Austin Peay,austin-peay,Austin Peay,Yes,5,1986-1987,2017-2018,resolved,Inherited Missouri/current-registry identity,,
illinois,BYU,byu,BYU,Yes,1,2016-2017,2016-2017,resolved,Inherited Missouri/current-registry identity,,
