source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes
ILLRAW-00001,illinois,historical_record_book,1905-1906,1906,1906-01-12,Champaign High School,Champaign High School,champaign-high-school,No,71,4,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,,Kenney Gym,Champaign-Urbana,IL,,,REGULAR_SEASON,,80,J 12 71 Champaign High School (at Urbana) . . . . . . 4 (W),resolved,
ILLRAW-00002,illinois,historical_record_book,1905-1906,1906,1906-01-20,Indiana,Indiana,indiana,Yes,27,24,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,,Kenney Gym,Champaign-Urbana,IL,,,REGULAR_SEASON,,80,J 20 27 Indiana (at Urbana) . . . . . . . . . . . . . . . . . 24 (W),resolved,
ILLRAW-00003,illinois,historical_record_book,1905-1906,1906,1906-01-27,Purdue,Purdue,purdue,Yes,25,19,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,,Kenney Gym,Champaign-Urbana,IL,,,REGULAR_SEASON,,80,J 27 25 Purdue (at Urbana) . . . . . . . . . . . . . . . . . . 19 (W),resolved,
ILLRAW-00004,illinois,historical_record_book,1905-1906,1906,1906-02-02,Minnesota,Minnesota,minnesota,Yes,19,32,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,80,F 2 19 at Minnesota . . . . . . . . . . . . . . . . . . . . . . . 32 (L),resolved,
ILLRAW-00005,illinois,historical_record_book,1905-1906,1906,1906-02-05,Wheaton,Wheaton (IL),wheaton-il,No,23,21,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,,Kenney Gym,Champaign-Urbana,IL,,,REGULAR_SEASON,,80,F 5 23 Wheaton . . . . . . . . . . . . . . . . . . . . . . . . . . . 21 (W),resolved,
ILLRAW-00006,illinois,historical_record_book,1905-1906,1906,1906-02-08,Evanston Y.M.C.A,Evanston Y.M.C.A,evanston-y-m-c-a,No,15,51,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,80,F 8 15 at Evanston Y.M.C.A . . . . . . . . . . . . . . . . . 51 (L),resolved,
ILLRAW-00007,illinois,historical_record_book,1905-1906,1906,1906-02-09,Chicago,Chicago,chicago,No,14,49,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,80,F 9 14 at Chicago . . . . . . . . . . . . . . . . . . . . . . . . . 49 (L),resolved,
ILLRAW-00008,illinois,historical_record_book,1905-1906,1906,1906-02-10,Wheaton,Wheaton (IL),wheaton-il,No,28,37,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,80,F 10 28 at Wheaton . . . . . . . . . . . . . . . . . . . . . . . . 37 (L),resolved,
ILLRAW-00009,illinois,historical_record_book,1905-1906,1906,1906-02-14,Oberlin,Oberlin,oberlin,No,31,25,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,,Kenney Gym,Champaign-Urbana,IL,,,REGULAR_SEASON,,80,F 14 31 Oberlin . . . . . . . . . . . . . . . . . . . . . . . . . . . . 25 (W),resolved,
ILLRAW-00010,illinois,historical_record_book,1905-1906,1906,1906-02-16,Indiana,Indiana,indiana,Yes,7,38,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,80,F 16 7 at Indiana . . . . . . . . . . . . . . . . . . . . . . . . . 38 (L),resolved,
ILLRAW-00011,illinois,historical_record_book,1905-1906,1906,1906-02-17,Purdue,Purdue,purdue,Yes,22,48,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,80,F 17 22 at Purdue . . . . . . . . . . . . . . . . . . . . . . . . . 48 (L),resolved,
ILLRAW-00012,illinois,historical_record_book,1905-1906,1906,1906-02-24,Chicago,Chicago,chicago,No,24,21,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,,Kenney Gym,Champaign-Urbana,IL,,,REGULAR_SEASON,,80,F 24 24 Chicago . . . . . . . . . . . . . . . . . . . . . . . . . . . 21 (W),resolved,
ILLRAW-00013,illinois,historical_record_book,1905-1906,1906,1906-02-28,Minnesota,Minnesota,minnesota,Yes,25,27,L,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,,Kenney Gym,Champaign-Urbana,IL,,,REGULAR_SEASON,,80,F 28 25 Minnesota . . . . . . . . . . . . . . . . . . . . . . . . . 27 (L),resolved,
ILLRAW-00014,illinois,historical_record_book,1905-1906,1906,1906-03-03,Wisconsin,Wisconsin,wisconsin,Yes,32,35,L,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,,Kenney Gym,Champaign-Urbana,IL,,,REGULAR_SEASON,,80,M 3 32 Wisconsin . . . . . . . . . . . . . . . . . . . . . . . . . 35 (L),resolved,
ILLRAW-00015,illinois,historical_record_book,1906-1907,1907,1906-12-15,Peoria Y.M.C.A,Peoria Y.M.C.A,peoria-y-m-c-a,No,38,19,W,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,80,D 15 38 at Peoria Y.M.C.A. . . . . . . . . . . . . . . . . . . . 19 (W),resolved,
ILLRAW-00016,illinois,historical_record_book,1906-1907,1907,1907-01-02,Chicago Y.M.C.A,Chicago Y.M.C.A,chicago-y-m-c-a,No,26,31,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,80,J 2 26 at Chicago Y.M.C.A. . . . . . . . . . . . . . . . . . . 31 (L),resolved,
ILLRAW-00017,illinois,historical_record_book,1906-1907,1907,1907-01-12,Purdue,Purdue,purdue,Yes,27,32,L,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,,Kenney Gym,Champaign-Urbana,IL,,,REGULAR_SEASON,,80,J 12 27 Purdue . . . . . . . . . . . . . . . . . . . . . . . . . . . .32 (L),resolved,
ILLRAW-00018,illinois,historical_record_book,1906-1907,1907,1907-01-19,Wisconsin,Wisconsin,wisconsin,Yes,16,22,L,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,,Kenney Gym,Champaign-Urbana,IL,,,REGULAR_SEASON,,80,J 19 16 Wisconsin . . . . . . . . . . . . . . . . . . . . . . . . . 22 (L),resolved,
ILLRAW-00019,illinois,historical_record_book,1906-1907,1907,1907-01-31,Minnesota,Minnesota,minnesota,Yes,3,42,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,80,J 31 3 at Minnesota . . . . . . . . . . . . . . . . . . . . . . . 42 (L),resolved,
ILLRAW-00020,illinois,historical_record_book,1906-1907,1907,1907-02-01,Wisconsin,Wisconsin,wisconsin,Yes,13,47,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,80,F 1 13 at Wisconsin . . . . . . . . . . . . . . . . . . . . . . . 47 (L),resolved,
