index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,indiana,Alabama,alabama,Alabama,Yes,3,1975-1976,2002-2003,RESOLVED,Current D1 registry / established institutional lineage,,
1,indiana,Alabama A&M,alabama-a-m,Alabama A&M,Yes,1,2025-2026,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
2,indiana,Alaska Anchorage,alaska-anchorage,Alaska Anchorage,No,1,2001-2002,2001-2002,RESOLVED,Established historical/non-current identity or institutional lineage,,
3,indiana,Alaska-Anchorage,alaska-anchorage,Alaska Anchorage,No,1,1995-1996,1995-1996,RESOLVED,Established historical/non-current identity or institutional lineage,,
4,indiana,Alcorn State,alcorn-state,Alcorn State,Yes,2,1978-1979,2015-2016,RESOLVED,Current D1 registry / established institutional lineage,,
5,indiana,Allegheny,allegheny,Allegheny,No,1,1904-1905,1904-1905,RESOLVED,Established historical/non-current identity or institutional lineage,,
6,indiana,Apollo AC,apollo-ac,Apollo AC,No,1,1906-1907,1906-1907,RESOLVED,Historical/non-current source identity; preserved without speculative merger,,
7,indiana,Appalachian State,app-state,App State,Yes,1,1995-1996,1995-1996,RESOLVED,Current D1 registry / established institutional lineage,,
8,indiana,Arizona,arizona,Arizona,Yes,1,2022-2023,2022-2023,RESOLVED,Current D1 registry / established institutional lineage,,
9,indiana,Arizona State,arizona-state,Arizona State,Yes,1,1961-1962,1961-1962,RESOLVED,Current D1 registry / established institutional lineage,,
10,indiana,Arkansas,arkansas,Arkansas,Yes,5,1949-1950,2019-2020,RESOLVED,Current D1 registry / established institutional lineage,,
11,indiana,Arkansas-Little Rock,little-rock,Little Rock,Yes,1,1988-1989,1988-1989,RESOLVED,Current D1 registry / established institutional lineage,,
12,indiana,Arkansas State,arkansas-state,Arkansas State,Yes,1,2017-2018,2017-2018,RESOLVED,Current D1 registry / established institutional lineage,,
13,indiana,Armour Institute,armour-institute,Armour Institute,No,1,1920-1921,1920-1921,RESOLVED,Historical/non-current source identity; preserved without speculative merger,,
14,indiana,Army,army,Army,Yes,1,2023-2024,2023-2024,RESOLVED,Current D1 registry / established institutional lineage,,
15,indiana,Auburn,auburn,Auburn,Yes,2,1986-1987,2023-2024,RESOLVED,Current D1 registry / established institutional lineage,,
