index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,IURAW-00001,indiana,2025-26_record_book_year_by_year,1900-1901,1901,1901-02-08,Butler,Butler,butler,Yes,17,20,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 105,F. 8 at Butler L 17-20,resolved,,,,,
1,IURAW-00002,indiana,2025-26_record_book_year_by_year,1900-1901,1901,1901-02-28,Butler,Butler,butler,Yes,20,24,L,0,,,H,SOURCE_PROGRAM_HOME,,Old Assembly Hall,Bloomington,IN,,,REGULAR_SEASON,,PDF p. 105,F. 28 Butler L 20-24,resolved,,,,,
2,IURAW-00003,indiana,2025-26_record_book_year_by_year,1900-1901,1901,1901-03-01,Purdue,Purdue,purdue,Yes,15,20,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 105,M. 1 at Purdue L 15-20,resolved,,,,,
3,IURAW-00004,indiana,2025-26_record_book_year_by_year,1900-1901,1901,1901-03-08,Wabash,Wabash,wabash,No,26,17,W,0,,,H,SOURCE_PROGRAM_HOME,,Old Assembly Hall,Bloomington,IN,,,REGULAR_SEASON,,PDF p. 105,M. 8 Wabash W 26-17,resolved,,,,,
4,IURAW-00005,indiana,2025-26_record_book_year_by_year,1900-1901,1901,1901-03-15,Purdue,Purdue,purdue,Yes,19,23,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 105,M. 15 at Purdue L 19-23,resolved,,,,,
5,IURAW-00006,indiana,2025-26_record_book_year_by_year,1901-1902,1902,1902-01-15,Butler,Butler,butler,Yes,15,17,L,0,,,H,SOURCE_PROGRAM_HOME,,Old Assembly Hall,Bloomington,IN,,,REGULAR_SEASON,,PDF p. 105,J. 15 Butler L 15-17,resolved,,,,,
6,IURAW-00007,indiana,2025-26_record_book_year_by_year,1901-1902,1902,1902-01-24,Indiana State,Indiana State,indiana-state,Yes,21,13,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 105,J. 24 at Indiana State W 21-13,resolved,,,,,
7,IURAW-00008,indiana,2025-26_record_book_year_by_year,1901-1902,1902,1902-01-25,Rose Poly,Rose-Hulman,rose-hulman,No,16,23,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 105,J. 25 at Rose Poly L 16-23,resolved,,,,,
8,IURAW-00009,indiana,2025-26_record_book_year_by_year,1901-1902,1902,1902-02-01,Wabash,Wabash,wabash,No,26,23,W,0,,,H,SOURCE_PROGRAM_HOME,,Old Assembly Hall,Bloomington,IN,,,REGULAR_SEASON,,PDF p. 105,F. 1 Wabash W 26-23,resolved,,,,,
9,IURAW-00010,indiana,2025-26_record_book_year_by_year,1901-1902,1902,1902-02-15,Purdue,Purdue,purdue,Yes,8,32,L,0,,,H,SOURCE_PROGRAM_HOME,,Old Assembly Hall,Bloomington,IN,,,REGULAR_SEASON,,PDF p. 105,F. 15 Purdue L 8-32,resolved,,,,,
10,IURAW-00011,indiana,2025-26_record_book_year_by_year,1901-1902,1902,1902-02-25,Butler,Butler,butler,Yes,32,29,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 105,F. 25 at Butler W 32-29,resolved,,,,,
11,IURAW-00012,indiana,2025-26_record_book_year_by_year,1901-1902,1902,1902-02-28,Indiana State,Indiana State,indiana-state,Yes,25,14,W,0,,,H,SOURCE_PROGRAM_HOME,,Old Assembly Hall,Bloomington,IN,,,REGULAR_SEASON,,PDF p. 105,F. 28 Indiana State W 25-14,resolved,,,,,
12,IURAW-00013,indiana,2025-26_record_book_year_by_year,1901-1902,1902,1902-03-07,Purdue,Purdue,purdue,Yes,25,71,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 105,M. 7 at Purdue L 25-71,resolved,,,,,
13,IURAW-00014,indiana,2025-26_record_book_year_by_year,1902-1903,1903,1903-01-14,Butler,Butler,butler,Yes,28,16,W,0,,,H,SOURCE_PROGRAM_HOME,,Old Assembly Hall,Bloomington,IN,,,REGULAR_SEASON,,PDF p. 105,J. 14 Butler W 28-16,resolved,,,,,
14,IURAW-00015,indiana,2025-26_record_book_year_by_year,1902-1903,1903,1903-01-16,Wabash,Wabash,wabash,No,14,20,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 105,J. 16 at Wabash L 14-20,resolved,,,,,
15,IURAW-00016,indiana,2025-26_record_book_year_by_year,1902-1903,1903,1903-01-17,Crawfordsville B.C.,Crawfordsville B.C.,crawfordsville-b-c,No,23,10,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 105,J. 17 at Crawfordsville B.C. W 23-10,resolved,,,,,
16,IURAW-00017,indiana,2025-26_record_book_year_by_year,1902-1903,1903,1903-01-20,DePauw,DePauw,depauw,No,43,9,W,0,,,H,SOURCE_PROGRAM_HOME,,Old Assembly Hall,Bloomington,IN,,,REGULAR_SEASON,,PDF p. 105,J. 20 DePauw W 43-9,resolved,,,,,
17,IURAW-00018,indiana,2025-26_record_book_year_by_year,1902-1903,1903,1903-01-24,Shortridge H.S.,Shortridge H.S.,shortridge-h-s,No,23,18,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 105,J. 24 at Shortridge H.S. W 23-18,resolved,,,,,
18,IURAW-00019,indiana,2025-26_record_book_year_by_year,1902-1903,1903,1903-01-30,Purdue,Purdue,purdue,Yes,16,52,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 105,J. 30 at Purdue L 16-52,resolved,,,,,
19,IURAW-00020,indiana,2025-26_record_book_year_by_year,1902-1903,1903,1903-02-19,Wabash,Wabash,wabash,No,12,19,L,0,,,H,SOURCE_PROGRAM_HOME,,Old Assembly Hall,Bloomington,IN,,,REGULAR_SEASON,,PDF p. 105,F. 19 Wabash L 12-19,resolved,,,,,
20,IURAW-00021,indiana,2025-26_record_book_year_by_year,1902-1903,1903,1903-02-23,Butler,Butler,butler,Yes,35,23,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 105,F. 23 at Butler W 35-23,resolved,,,,,
21,IURAW-00022,indiana,2025-26_record_book_year_by_year,1902-1903,1903,1903-02-27,DePauw,DePauw,depauw,No,54,21,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 105,F. 27 at DePauw W 54-21,resolved,,,,,
22,IURAW-00023,indiana,2025-26_record_book_year_by_year,1902-1903,1903,1903-02-28,Indiana State,Indiana State,indiana-state,Yes,32,16,W,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,PDF p. 105,F. 28 at Indiana State W 32-16,resolved,,,,,
23,IURAW-00024,indiana,2025-26_record_book_year_by_year,1902-1903,1903,1903-03-06,Purdue,Purdue,purdue,Yes,14,17,L,0,,,H,SOURCE_PROGRAM_HOME,,Old Assembly Hall,Bloomington,IN,,,REGULAR_SEASON,,PDF p. 105,M. 6 Purdue L 14-17,resolved,,,,,
24,IURAW-00025,indiana,2025-26_record_book_year_by_year,1902-1903,1903,1903-03-13,Indiana State,Indiana State,indiana-state,Yes,23,22,W,0,,,H,SOURCE_PROGRAM_HOME,,Old Assembly Hall,Bloomington,IN,,,REGULAR_SEASON,,PDF p. 105,M. 13 Indiana State W 23-22,resolved,,,,,
