index,source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
0,indiana,mvp-arena,VEN-000145,MVP Arena,,Albany,NY,arena,,,unknown,2,2023-03-17,2023-03-19,,,,,,Indiana NCAA Tournament Results site context plus established physical NCAA site identity.,
1,indiana,the-pit,VEN-000208,The Pit,,Albuquerque,NM,arena,,,unknown,2,1992-03-26,1992-03-28,,,,,,Indiana NCAA Tournament Results site context plus established physical NCAA site identity.,
2,indiana,crisler-center,VEN-000261,Crisler Center,,Ann Arbor,MI,arena,,,unknown,1,2026-01-20,2026-01-20,,,,,,Owner-supplied completed 2025-26 schedule and/or Indiana official postseason evidence.,
3,indiana,georgia-dome,VEN-000073,Georgia Dome,,Atlanta,GA,arena,,,unknown,3,2002-03-30,2012-03-23,,,,,,Indiana NCAA Tournament Results site context plus established physical NCAA site identity.,
4,indiana,omni-coliseum,VEN-000157,Omni Coliseum,,Atlanta,GA,arena,,,unknown,2,1984-03-22,1984-03-24,,,,,,Indiana NCAA Tournament Results site context plus established physical NCAA site identity.,
5,indiana,pete-maravich-assembly-center,VEN-000163,Pete Maravich Assembly Center,,Baton Rouge,LA,arena,,,unknown,2,1976-03-18,1976-03-20,,,,,,Indiana NCAA Tournament Results site context plus established physical NCAA site identity.,
6,indiana,simon-skjodt-assembly-hall,VEN-000186,Assembly Hall,,Bloomington,IN,arena,1971,,YEAR,869,1971-12-01,2026-03-04,home,1971-12-01,,exact,SOURCE_PROGRAM_HOME,Owner-confirmed Indiana home-court chronology corroborated by Indiana official record-book/home-courts material.,Project display for the current Indiana arena is owner-directed as Assembly Hall; Simon Skjodt Assembly Hall is retained only as source/alias wording.
7,indiana,iu-fieldhouse,VEN-000255,IU Fieldhouse,,Bloomington,IN,fieldhouse,1928,,YEAR,318,1928-12-13,1960-02-29,home,1928-12-13,1960-03-11,exact,SOURCE_PROGRAM_HOME,Owner-confirmed Indiana home-court chronology corroborated by Indiana official record-book/home-courts material.,
8,indiana,indiana-mens-gymnasium,VEN-000254,Men's Gymnasium,,Bloomington,IN,fieldhouse,1917,,YEAR,118,1917-01-19,1928-12-08,home,1917-01-19,1928-12-08,exact,SOURCE_PROGRAM_HOME,Owner-confirmed Indiana home-court chronology corroborated by Indiana official record-book/home-courts material.,
9,indiana,new-iu-fieldhouse,VEN-000256,New IU Fieldhouse,,Bloomington,IN,fieldhouse,1960,,YEAR,129,1960-12-03,1971-03-13,home,1960-12-03,1971-03-11,exact,SOURCE_PROGRAM_HOME,Owner-confirmed Indiana home-court chronology corroborated by Indiana official record-book/home-courts material.,
10,indiana,old-assembly-hall-indiana,VEN-000253,Old Assembly Hall,,Bloomington,IN,arena,1896,1938,YEAR,104,1901-02-28,1917-01-05,home,1901-02-28,1917-01-05,exact,SOURCE_PROGRAM_HOME,Owner-confirmed Indiana home-court chronology corroborated by Indiana official record-book/home-courts material.,
11,indiana,extramile-arena,VEN-000061,ExtraMile Arena,,Boise,ID,arena,,,unknown,3,1992-03-19,1995-03-17,,,,,,Indiana NCAA Tournament Results site context plus established physical NCAA site identity.,
