source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
iowa-state,Abilene Christian,abilene-christian,Abilene Christian,Yes,1,1984-1985,1984-1985,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Air Force,air-force,Air Force,Yes,2,1964-1965,1965-1966,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Akron,akron,Akron,Yes,1,2013-2014,2013-2014,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Ala.-Birmingham,uab,UAB,Yes,1,1980-1981,1980-1981,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Alabama,alabama,Alabama,Yes,3,2007-2008,2019-2020,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Alabama A&M,alabama-a-m,Alabama A&M,Yes,1,2012-2013,2012-2013,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Alabama State,alabama-state,Alabama State,Yes,3,2010-2011,2021-2022,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Alaska Anchorage,alaska-anchorage,Alaska Anchorage,No,1,1997-1998,1997-1998,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Albany,ualbany,UAlbany,Yes,1,2007-2008,2007-2008,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Alcorn State,alcorn-state,Alcorn State,Yes,3,1996-1997,2025-2026,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,American-PR,american-university-of-puerto-rico,American University of Puerto Rico,No,1,1991-1992,1991-1992,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Appalachian State,app-state,App State,Yes,1,2017-2018,2017-2018,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Arizona,arizona,Arizona,Yes,11,1969-1970,2025-2026,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Arizona State,arizona-state,Arizona State,Yes,6,1976-1977,2025-2026,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Ark.-Pine Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,4,1997-1998,2021-2022,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Arkansas,arkansas,Arkansas,Yes,5,1970-1971,2014-2015,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Arkansas State,arkansas-state,Arkansas State,Yes,1,1999-2000,1999-2000,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Arkansas-Pine Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,2,2015-2016,2020-2021,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Auburn,auburn,Auburn,Yes,5,1986-1987,2024-2025,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Augustana (S.D.),augustana-s-d,Augustana (S.D.),No,3,1965-1966,1984-1985,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,BYU,byu,BYU,Yes,11,1931-1932,2025-2026,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Ball State,ball-state,Ball State,Yes,1,1983-1984,1983-1984,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Baylor,baylor,Baylor,Yes,52,1988-1989,2025-2026,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Bethune-Cookman,bethune-cookman,Bethune-Cookman,Yes,2,1992-1993,2007-2008,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Binghamton,binghamton,Binghamton,Yes,1,2002-2003,2002-2003,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Boise State,boise-state,Boise State,Yes,2,2013-2014,2017-2018,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
iowa-state,Boston College,boston-college,Boston College,Yes,3,1983-1984,2002-2003,RESOLVED,Iowa State fact-book/source-label normalization; current project program naming conventions; targeted institutional/reciprocal research for ambiguous historical aliases.,,Owner-approved NON_D1 sanity scan completed 2026-09-04; no remaining unresolved opponent identities.
