source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
ISURAW-00001,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1907-1908,1908,1908-02-20,Kansas,Kansas,kansas,Yes,35,53,L,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Margaret Hall Gym,Ames,IA,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,Kansas L 35-53 Feb. 20,resolved,"Legacy site-research metadata preserved during Integration rebase: basis=Iowa State 2025-26 Fact Book, All-Time Home Courts.",,,,,,
ISURAW-00002,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1907-1908,1908,1908-02-29,Drake,Drake,drake,Yes,36,16,W,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Margaret Hall Gym,Ames,IA,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,*Drake W 36-16 Feb. 29,resolved,"Legacy site-research metadata preserved during Integration rebase: basis=Iowa State 2025-26 Fact Book, All-Time Home Courts.",,,,,,
ISURAW-00003,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1908-1909,1909,1909-01-09,Missouri,Missouri,missouri,Yes,14,53,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,at Missouri L 14-53 Jan. 9,resolved,,,,,,,
ISURAW-00004,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1908-1909,1909,1909-01-11,Kansas,Kansas,kansas,Yes,22,65,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,at Kansas L 22-65 Jan. 11,resolved,,,,,,,
ISURAW-00005,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1908-1909,1909,1909-01-12,Kansas State,Kansas State,kansas-state,Yes,32,42,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,at Kansas State L 32-42 Jan. 12,resolved,,,,,,,
ISURAW-00006,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1908-1909,1909,1909-01-13,Neb. Wesleyan,Nebraska Wesleyan,nebraska-wesleyan,No,21,31,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,at Neb. Wesleyan L 21-31 Jan. 13,resolved,,,,,,,
ISURAW-00007,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1908-1909,1909,1909-01-15,Nebraska,Nebraska,nebraska,Yes,20,42,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,*at Nebraska L 20-42 Jan. 15,resolved,,,,,,,
ISURAW-00008,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1908-1909,1909,1909-01-16,Nebraska,Nebraska,nebraska,Yes,21,40,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,*at Nebraska L 21-40 Jan. 16,resolved,,,,,,,
ISURAW-00009,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1908-1909,1909,1909-01-26,Drake,Drake,drake,Yes,24,31,L,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Margaret Hall Gym,Ames,IA,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,*Drake L 24-31 Jan. 26,resolved,"Legacy site-research metadata preserved during Integration rebase: basis=Iowa State 2025-26 Fact Book, All-Time Home Courts.",,,,,,
ISURAW-00010,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1908-1909,1909,1909-02-02,Drake,Drake,drake,Yes,30,22,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,*at Drake W 30-22 Feb. 2,resolved,,,,,,,
ISURAW-00011,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1908-1909,1909,1909-02-03,Grinnell,Grinnell,grinnell,No,11,53,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,at Grinnell L 11-53 Feb. 3,resolved,,,,,,,
ISURAW-00012,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1908-1909,1909,1909-02-08,Nebraska,Nebraska,nebraska,Yes,22,16,W,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Margaret Hall Gym,Ames,IA,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,*Nebraska W 22-16 Feb. 8,resolved,"Legacy site-research metadata preserved during Integration rebase: basis=Iowa State 2025-26 Fact Book, All-Time Home Courts.",,,,,,
ISURAW-00013,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1908-1909,1909,1909-02-09,Nebraska,Nebraska,nebraska,Yes,17,31,L,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Margaret Hall Gym,Ames,IA,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,*Nebraska L 17-31 Feb. 9,resolved,"Legacy site-research metadata preserved during Integration rebase: basis=Iowa State 2025-26 Fact Book, All-Time Home Courts.",,,,,,
ISURAW-00014,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1908-1909,1909,1909-02-13,Drake,Drake,drake,Yes,39,31,W,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Margaret Hall Gym,Ames,IA,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,*Drake W 39-31 Feb. 13,resolved,"Legacy site-research metadata preserved during Integration rebase: basis=Iowa State 2025-26 Fact Book, All-Time Home Courts.",,,,,,
ISURAW-00015,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1908-1909,1909,1909-02-20,Grinnell,Grinnell,grinnell,No,13,27,L,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Margaret Hall Gym,Ames,IA,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,Grinnell L 13-27 Feb. 20,resolved,"Legacy site-research metadata preserved during Integration rebase: basis=Iowa State 2025-26 Fact Book, All-Time Home Courts.",,,,,,
ISURAW-00016,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1908-1909,1909,1909-02-26,Drake,Drake,drake,Yes,32,30,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,*at Drake W 32-30 Feb. 26,resolved,,,,,,,
ISURAW-00017,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1909-1910,1910,1910-01-20,Neb. Wesleyan,Nebraska Wesleyan,nebraska-wesleyan,No,40,37,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,at Neb. Wesleyan W 40-37 Jan. 20,resolved,,,,,,,
ISURAW-00018,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1909-1910,1910,1910-01-21,Nebraska,Nebraska,nebraska,Yes,21,24,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,*at Nebraska L 21-24 Jan. 21,resolved,,,,,,,
ISURAW-00019,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1909-1910,1910,1910-01-22,Nebraska,Nebraska,nebraska,Yes,26,29,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,*at Nebraska L 26-29 Jan. 22,resolved,,,,,,,
ISURAW-00020,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1909-1910,1910,1910-01-25,Drake,Drake,drake,Yes,40,16,W,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Margaret Hall Gym,Ames,IA,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,*Drake W 40-16 Jan. 25,resolved,"Legacy site-research metadata preserved during Integration rebase: basis=Iowa State 2025-26 Fact Book, All-Time Home Courts.",,,,,,
ISURAW-00021,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1909-1910,1910,1910-02-01,Drake,Drake,drake,Yes,32,13,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,*at Drake W 32-13 Feb. 1,resolved,,,,,,,
ISURAW-00022,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1909-1910,1910,1910-02-02,Neb. Wesleyan,Nebraska Wesleyan,nebraska-wesleyan,No,36,16,W,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Margaret Hall Gym,Ames,IA,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,Neb. Wesleyan W 36-16 Feb. 2,resolved,"Legacy site-research metadata preserved during Integration rebase: basis=Iowa State 2025-26 Fact Book, All-Time Home Courts.",,,,,,
ISURAW-00023,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1909-1910,1910,1910-02-05,Iowa,Iowa,iowa,Yes,27,30,L,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Margaret Hall Gym,Ames,IA,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,Iowa L 27-30 Feb. 5,resolved,"Legacy site-research metadata preserved during Integration rebase: basis=Iowa State 2025-26 Fact Book, All-Time Home Courts.",,,,,,
ISURAW-00024,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1909-1910,1910,1910-02-11,Nebraska,Nebraska,nebraska,Yes,34,23,W,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Margaret Hall Gym,Ames,IA,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,*Nebraska W 34-23 Feb. 11,resolved,"Legacy site-research metadata preserved during Integration rebase: basis=Iowa State 2025-26 Fact Book, All-Time Home Courts.",,,,,,
ISURAW-00025,iowa-state,2025-26_iowa_state_fact_book_all_time_results,1909-1910,1910,1910-02-12,Nebraska,Nebraska,nebraska,Yes,18,17,W,0,,,home-by-source-listing,SOURCE_PROGRAM_HOME,,Margaret Hall Gym,Ames,IA,,,REGULAR_SEASON,,Iowa State 2025-26 Fact Book PDF p. 164,*Nebraska W 18-17 Feb. 12,resolved,"Legacy site-research metadata preserved during Integration rebase: basis=Iowa State 2025-26 Fact Book, All-Time Home Courts.",,,,,,
