source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
iowa-state,afook-chinen-civic-auditorium,VEN-000465,Afook-Chinen Civic Auditorium,Afook-Chinen Civic Auditorium,Hilo,HI,arena,,,unknown,5,1994-11-25,1999-11-28,,,,,Venue/site identity never establishes H/A/N; assignments were applied only after independent site classification.,"Iowa State 2025-26 fact book / official season schedules; targeted event, reciprocal, NCAA/postseason, and archival site research as applicable.",Research physical identity: GENUINELY_NEW_PHYSICAL_CANDIDATE. Numeric venue_id intentionally blank; Implementation must rebase against current protected main before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000465. Integration rebase resolved final global venue ID VEN-000465.
iowa-state,ahearn-field-house,VEN-000001,Ahearn Field House,Ahearn Field House,Manhattan,KS,arena,,,unknown,2,1977-02-26,1980-02-26,,,,,Venue/site identity never establishes H/A/N; assignments were applied only after independent site classification.,Iowa State 2025-26 Fact Book; Iowa State official schedule/postseason history; NCAA archival site evidence and targeted event/host research as applicable.,Research-lane physical identity. Numeric venue_id intentionally blank; Implementation must rebase against current protected main and reuse/allocate authoritative global identity. Research physical identity: DEFINITE_CURRENT_MAIN_REUSE. Numeric venue_id intentionally blank; Implementation must rebase against current protected main before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000001. Integration rebase resolved final global venue ID VEN-000001.
iowa-state,alamodome,VEN-000002,Alamodome,Alamodome,San Antonio,TX,arena,,,unknown,1,1997-03-20,1997-03-20,,,,,Venue/site identity never establishes H/A/N; assignments were applied only after independent site classification.,Iowa State 2025-26 Fact Book; Iowa State official schedule/postseason history; NCAA archival site evidence and targeted event/host research as applicable.,Research-lane physical identity. Numeric venue_id intentionally blank; Implementation must rebase against current protected main and reuse/allocate authoritative global identity. Research physical identity: DEFINITE_CURRENT_MAIN_REUSE. Numeric venue_id intentionally blank; Implementation must rebase against current protected main before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000002. Integration rebase resolved final global venue ID VEN-000002.
iowa-state,allen-fieldhouse,VEN-000003,Allen Fieldhouse,Allen Fieldhouse,Lawrence,KS,arena,,,unknown,1,1979-02-27,1979-02-27,,,,,Venue/site identity never establishes H/A/N; assignments were applied only after independent site classification.,Iowa State 2025-26 Fact Book; Iowa State official schedule/postseason history; NCAA archival site evidence and targeted event/host research as applicable.,Research-lane physical identity. Numeric venue_id intentionally blank; Implementation must rebase against current protected main and reuse/allocate authoritative global identity. Research physical identity: DEFINITE_CURRENT_MAIN_REUSE. Numeric venue_id intentionally blank; Implementation must rebase against current protected main before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000003. Integration rebase resolved final global venue ID VEN-000003.
iowa-state,allstate-arena,VEN-000004,Allstate Arena,Allstate Arena; Rosemont Horizon,Rosemont,IL,arena,,,unknown,1,1985-12-30,1985-12-30,,,,,Venue/site identity never establishes H/A/N; assignments were applied only after independent site classification.,"Iowa State 2025-26 fact book / official season schedules; targeted event, reciprocal, NCAA/postseason, and archival site research as applicable.",Research physical identity: DEFINITE_CURRENT_MAIN_REUSE. Numeric venue_id intentionally blank; Implementation must rebase against current protected main before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000004. Integration rebase resolved final global venue ID VEN-000004.
iowa-state,american-airlines-center,VEN-000010,American Airlines Center,American Airlines Center,Dallas,TX,arena,,,unknown,5,2003-03-13,2006-03-09,,,,,Venue/site identity never establishes H/A/N; assignments were applied only after independent site classification.,Iowa State 2025-26 Fact Book; Iowa State official schedule/postseason history; NCAA archival site evidence and targeted event/host research as applicable.,Research-lane physical identity. Numeric venue_id intentionally blank; Implementation must rebase against current protected main and reuse/allocate authoritative global identity. Research physical identity: DEFINITE_CURRENT_MAIN_REUSE. Numeric venue_id intentionally blank; Implementation must rebase against current protected main before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000010. Integration rebase resolved final global venue ID VEN-000010.
iowa-state,aoyama-gakuin-university-gymnasium,VEN-000487,Aoyama Gakuin University Gymnasium,Aoyama Gakuin University Gymnasium,Tokyo,JP,gymnasium,,,unknown,2,1988-12-17,1988-12-18,,,,,Venue/site identity never establishes H/A/N; assignments were applied only after independent site classification.,"Iowa State 2025-26 fact book / official season schedules; targeted event, reciprocal, NCAA/postseason, and archival site research as applicable.",Research physical identity: GENUINELY_NEW_PHYSICAL_CANDIDATE. Numeric venue_id intentionally blank; Implementation must rebase against current protected main before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000487. Integration rebase resolved final global venue ID VEN-000487.
iowa-state,arizona-veterans-memorial-coliseum,VEN-000488,Arizona Veterans Memorial Coliseum,Arizona Veterans Memorial Coliseum,Phoenix,AZ,arena,,,unknown,2,1966-12-20,1966-12-21,,,,,Venue/site identity never establishes H/A/N; assignments were applied only after independent site classification.,"Iowa State 2025-26 fact book / official season schedules; targeted event, reciprocal, NCAA/postseason, and archival site research as applicable.",Research physical identity: GENUINELY_NEW_PHYSICAL_CANDIDATE. Numeric venue_id intentionally blank; Implementation must rebase against current protected main before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000488. Integration rebase resolved final global venue ID VEN-000488.
iowa-state,bok-center,VEN-000024,BOK Center,BOK Center,Tulsa,OK,arena,,,unknown,1,2019-03-22,2019-03-22,,,,,Venue/site identity never establishes H/A/N; assignments were applied only after independent site classification.,Iowa State 2025-26 Fact Book; Iowa State official schedule/postseason history; NCAA archival site evidence and targeted event/host research as applicable.,Research-lane physical identity. Numeric venue_id intentionally blank; Implementation must rebase against current protected main and reuse/allocate authoritative global identity. Research physical identity: DEFINITE_CURRENT_MAIN_REUSE. Numeric venue_id intentionally blank; Implementation must rebase against current protected main before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000024. Integration rebase resolved final global venue ID VEN-000024.
iowa-state,ball-arena,VEN-000018,Ball Arena,Ball Arena,Denver,CO,arena,,,unknown,2,2016-03-17,2016-03-19,,,,,Venue/site identity never establishes H/A/N; assignments were applied only after independent site classification.,Iowa State 2025-26 Fact Book; Iowa State official schedule/postseason history; NCAA archival site evidence and targeted event/host research as applicable.,Research-lane physical identity. Numeric venue_id intentionally blank; Implementation must rebase against current protected main and reuse/allocate authoritative global identity. Research physical identity: DEFINITE_CURRENT_MAIN_REUSE. Numeric venue_id intentionally blank; Implementation must rebase against current protected main before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000018. Integration rebase resolved final global venue ID VEN-000018.
