index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
0,iowa,A&M-Corpus Christi,texas-a-m-corpus-christi,Texas A&M-Corpus Christi,Yes,1,2012-2013,2012-2013,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
1,iowa,Abilene Christian,abilene-christian,Abilene Christian,Yes,2,1985-1986,2013-2014,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
2,iowa,Air Force,air-force,Air Force,Yes,1,2004-2005,2004-2005,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
3,iowa,Alabama,alabama,Alabama,Yes,2,2006-2007,2010-2011,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
4,iowa,Alabama State,alabama-state,Alabama State,Yes,5,2001-2002,2023-2024,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
5,iowa,Alaska-Anchorage,alaska-anchorage,Alaska Anchorage,No,1,1986-1987,1986-1987,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
6,iowa,Alcorn State,alcorn-state,Alcorn State,Yes,1,2014-2015,2014-2015,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
7,iowa,American University,american-university,American University,Yes,1,1992-1993,1992-1993,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
8,iowa,Arizona,arizona,Arizona,Yes,8,1957-1958,1995-1996,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
9,iowa,Arizona State,arizona-state,Arizona State,Yes,3,1980-1981,2006-2007,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
10,iowa,Arkansas,arkansas,Arkansas,Yes,5,1965-1966,1998-1999,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
11,iowa,Arkansas State,arkansas-state,Arkansas State,Yes,2,1985-1986,2023-2024,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
12,iowa,Arkansas-Little Rock,little-rock,Little Rock,Yes,2,1984-1985,1985-1986,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
13,iowa,Arkansas-Pine Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,Yes,1,2013-2014,2013-2014,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
14,iowa,Army,army,Army,Yes,1,1991-1992,1991-1992,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
15,iowa,Ashland (OH),ashland,Ashland,No,1,1970-1971,1970-1971,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
16,iowa,Auburn,auburn,Auburn,Yes,1,2022-2023,2022-2023,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
17,iowa,Augustana,augustana-il,Augustana (IL),No,2,1943-1944,1945-1946,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
18,iowa,Augustana (IL),augustana-il,Augustana (IL),No,8,1901-1902,1921-1922,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
19,iowa,Augustana (SD),augustana-sd,Augustana (SD),No,1,1975-1976,1975-1976,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
20,iowa,Austin Peay,austin-peay,Austin Peay,Yes,1,1996-1997,1996-1997,RESOLVED,Iowa media guide/all-time-series context plus current program registry and targeted institutional lineage research,,
