index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
0,IOWARAW-00001,iowa,2025-26_media_guide_year_by_year,1901-1902,1902,1901-11-06,Grinnell,Grinnell,grinnell,No,34,19,W,0,,,H,SOURCE_PROGRAM_HOME,Old Armory,Old Armory,Iowa City,IA,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","11/6 Grinnell W, 34-19",resolved,,,,,
1,IOWARAW-00002,iowa,2025-26_media_guide_year_by_year,1901-1902,1902,1901-12-14,Upper Iowa,Upper Iowa,upper-iowa,No,42,13,W,0,,,H,SOURCE_PROGRAM_HOME,Old Armory,Old Armory,Iowa City,IA,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","12/14 Upper Iowa W, 42-13",resolved,,,,,
2,IOWARAW-00003,iowa,2025-26_media_guide_year_by_year,1901-1902,1902,1902-01-15,Upper Iowa,Upper Iowa,upper-iowa,No,27,26,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","1/15 at Upper Iowa W, 27-26",resolved,,,,,
3,IOWARAW-00004,iowa,2025-26_media_guide_year_by_year,1901-1902,1902,1902-01-16,Dubuque YMCA,Dubuque YMCA,dubuque-ymca,No,36,27,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","1/16 at DubuqueYMCA W, 36-27",resolved,,,,,
4,IOWARAW-00005,iowa,2025-26_media_guide_year_by_year,1901-1902,1902,1902-01-17,Augustana (IL),Augustana (IL),augustana-il,No,22,21,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","1/17 at Augustana (IL) W, 22-21",resolved,,,,,
5,IOWARAW-00006,iowa,2025-26_media_guide_year_by_year,1901-1902,1902,1902-01-24,West College,Leander Clark College,leander-clark-college,No,24,7,W,0,,,H,SOURCE_PROGRAM_HOME,Old Armory,Old Armory,Iowa City,IA,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","1/24 atWest College W, 24-7",resolved,,,,,
6,IOWARAW-00007,iowa,2025-26_media_guide_year_by_year,1901-1902,1902,1902-02-01,Wilton,Wilton,wilton,No,66,4,W,0,,,H,SOURCE_PROGRAM_HOME,Old Armory,Old Armory,Iowa City,IA,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","2/1 atWilton W, 66-4",resolved,,,,,
7,IOWARAW-00008,iowa,2025-26_media_guide_year_by_year,1901-1902,1902,1902-02-05,Kansas,Kansas,kansas,Yes,40,27,W,0,,,H,SOURCE_PROGRAM_HOME,Old Armory,Old Armory,Iowa City,IA,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","2/5 Kansas W, 40-27",resolved,,,,,
8,IOWARAW-00009,iowa,2025-26_media_guide_year_by_year,1901-1902,1902,1902-02-14,D. M. YMCA,Des Moines YMCA,des-moines-ymca,No,42,17,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","2/14 at D. M.YMCA W, 42-17",resolved,,,,,
9,IOWARAW-00010,iowa,2025-26_media_guide_year_by_year,1901-1902,1902,1902-02-15,Grinnell,Grinnell,grinnell,No,25,21,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","2/15 at Grinnell W, 25-21",resolved,,,,,
10,IOWARAW-00011,iowa,2025-26_media_guide_year_by_year,1901-1902,1902,1902-03-01,Minnesota,Minnesota,minnesota,Yes,10,47,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","3/1 at Minnesota L, 10-47",resolved,,,,,
11,IOWARAW-00012,iowa,2025-26_media_guide_year_by_year,1901-1902,1902,1902-03-03,Minnesota A.C.,Minnesota Athletic Club,minnesota-athletic-club,No,20,24,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","3/3 at Minnesota A.C. L, 20-24",resolved,,,,,
12,IOWARAW-00013,iowa,2025-26_media_guide_year_by_year,1902-1903,1903,1903-01-24,Wilton,Wilton,wilton,No,68,7,W,0,,,H,SOURCE_PROGRAM_HOME,Old Armory,Old Armory,Iowa City,IA,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","1/24 Wilton W, 68-7",resolved,,,,,
13,IOWARAW-00014,iowa,2025-26_media_guide_year_by_year,1902-1903,1903,1903-01-29,Des Moines College,Des Moines College,des-moines-college,No,,,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","1/29 at Des Moines College W, N/A",resolved,,,,,
14,IOWARAW-00015,iowa,2025-26_media_guide_year_by_year,1902-1903,1903,1903-01-30,Des Moines YMCA,Des Moines YMCA,des-moines-ymca,No,21,24,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","1/30 at Des MoinesYMCA L, 21-24",resolved,,,,,
15,IOWARAW-00016,iowa,2025-26_media_guide_year_by_year,1902-1903,1903,1903-02-02,Grinnell,Grinnell,grinnell,No,5,6,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","2/2 at Grinnell L, 5-6",resolved,,,,,
16,IOWARAW-00017,iowa,2025-26_media_guide_year_by_year,1902-1903,1903,1903-02-14,Grinnell,Grinnell,grinnell,No,13,15,L,0,,,H,SOURCE_PROGRAM_HOME,Old Armory,Old Armory,Iowa City,IA,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","2/14 Grinnell L, 13-15",resolved,,,,,
17,IOWARAW-00018,iowa,2025-26_media_guide_year_by_year,1902-1903,1903,,West College,Leander Clark College,leander-clark-college,No,24,14,W,0,,,H,SOURCE_PROGRAM_HOME,Old Armory,Old Armory,Iowa City,IA,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","N/A West College W, 24-14",resolved,,,,,
18,IOWARAW-00019,iowa,2025-26_media_guide_year_by_year,1902-1903,1903,,Highland Park,Highland Park College,highland-park-college,No,27,17,W,0,,,H,SOURCE_PROGRAM_HOME,Old Armory,Old Armory,Iowa City,IA,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","N/A Highland Park W, 27-17",resolved,,,,,
19,IOWARAW-00020,iowa,2025-26_media_guide_year_by_year,1903-1904,1904,1903-12-04,Grinnell,Grinnell,grinnell,No,39,35,W,0,,,H,SOURCE_PROGRAM_HOME,Old Armory,Old Armory,Iowa City,IA,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","12/4 Grinnell W, 39-35",resolved,,,,,
20,IOWARAW-00021,iowa,2025-26_media_guide_year_by_year,1903-1904,1904,1904-01-07,Augustana (IL),Augustana (IL),augustana-il,No,20,12,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","1/7 at Augustana (IL) W, 20-12",resolved,,,,,
21,IOWARAW-00022,iowa,2025-26_media_guide_year_by_year,1903-1904,1904,1904-01-14,Grinnell,Grinnell,grinnell,No,21,20,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","1/14 at Grinnell W, 21-20",resolved,,,,,
22,IOWARAW-00023,iowa,2025-26_media_guide_year_by_year,1903-1904,1904,1904-01-15,Des Moines YMCA,Des Moines YMCA,des-moines-ymca,No,23,16,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,"Iowa 2025-26 media guide, Year-by-Year Scores","1/15 at Des MoinesYMCA W, 23-16",resolved,,,,,
