source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
kansas-state,#KANSAS CITY ATHLETIC CLUB,kansas-city-ac,Kansas City AC,FALSE,1,1909-1910,1909-1910,RESOLVED,HISTORICAL_NON_D1_RESEARCHED,,Owner NON_D1 sanity scan approved 2026-09-06.
kansas-state,-— — OKLAHOMA STATE*,oklahoma-state,Oklahoma State,TRUE,1,1978-1979,1978-1979,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,1 10 KANSAS*,kansas,Kansas,TRUE,1,1957-1958,1957-1958,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,1 15 at Kansas*,kansas,Kansas,TRUE,1,1952-1953,1952-1953,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,1 5 vs. Cincinnati,cincinnati,Cincinnati,TRUE,1,1958-1959,1958-1959,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,1 — at Colorado*,colorado,Colorado,TRUE,1,1957-1958,1957-1958,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,1 — at Missouri*,missouri,Mizzou,TRUE,1,1957-1958,1957-1958,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,1 — at Nebraska*,nebraska,Nebraska,TRUE,1,1957-1958,1957-1958,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,1 — MARQUETTE,marquette,Marquette,TRUE,1,1952-1953,1952-1953,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,1 — MISSOURI*,missouri,Mizzou,TRUE,1,1957-1958,1957-1958,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,1 — NEBRASKA*,nebraska,Nebraska,TRUE,1,1958-1959,1958-1959,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,1 — OKLAHOMA*,oklahoma,Oklahoma,TRUE,1,1957-1958,1957-1958,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,1 — vs. DePaul,depaul,DePaul,TRUE,1,1958-1959,1958-1959,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,1 — vs. Kansas,kansas,Kansas,TRUE,1,1952-1953,1952-1953,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,10 1 TEXAS*,texas,Texas,TRUE,1,2009-2010,2009-2010,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,10 14 at Kansas*,kansas,Kansas,TRUE,1,2012-2013,2012-2013,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,10 — at Creighton,creighton,Creighton,TRUE,1,1965-1966,1965-1966,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,10 — at Iowa,iowa,Iowa,TRUE,1,1956-1957,1956-1957,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,10 — at Iowa State*,iowa-state,Iowa State,TRUE,1,2009-2010,2009-2010,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,10 — at Kansas*,kansas,Kansas,TRUE,1,1960-1961,1960-1961,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,10 — at Minnesota,minnesota,Minnesota,TRUE,1,1956-1957,1956-1957,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
kansas-state,10 — at Missouri*,missouri,Mizzou,TRUE,1,1949-1950,1949-1950,RESOLVED,CURRENT_PROGRAM_REGISTRY,,Historical/current program identity normalized during Kansas State Stage 2 research.
