source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,site_research_status,site_research_basis,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
kansas-state-0001,kansas-state,2025-26_KState_media_guide_year_by_year_results,1902-1903,1902,1903-01-16,HASKELL (Kan.),Haskell,haskell,FALSE,7,60,L,0,,,H,SOURCE_PROGRAM_HOME,,,Manhattan,KS,,,REGULAR_SEASON,,144,J16 | HASKELL (Kan.) | L | 7-60,RESOLVED,,RESEARCHED_UNRESOLVED_HOME_VENUE,"K-State institutional history establishes a Manhattan home game era with multiple pre-Nichols homecourts, but does not safely identify the exact building for this game.",,,,
kansas-state-0002,kansas-state,2025-26_KState_media_guide_year_by_year_results,1902-1903,1902,1903-01-30,at Topeka YMCA,Topeka YMCA,topeka-ymca,FALSE,5,52,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,144,J30 | at Topeka YMCA | L | 5-52,RESOLVED,,,,,,,
kansas-state-0003,kansas-state,2025-26_KState_media_guide_year_by_year_results,1902-1903,1902,1903-02-01,at Bethany (Kan.),Bethany,bethany,FALSE,10,24,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,144,F1 | at Bethany (Kan.) | L | 10-24,RESOLVED,"Official K-State 1902-03 online schedule recovers Feb. 1, 1903.",,,,,,
kansas-state-0004,kansas-state,2025-26_KState_media_guide_year_by_year_results,1902-1903,1902,1903-03-01,at McPherson (Kan.),McPherson,mcpherson,FALSE,11,25,L,0,,,A,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,144,M1 | at McPherson (Kan.) | L | 11-25,RESOLVED,"Official K-State 1902-03 online schedule recovers Mar. 1, 1903.",,,,,,
kansas-state-0005,kansas-state,2025-26_KState_media_guide_year_by_year_results,1902-1903,1902,1903-03-05,BAKER (Kan.),Baker,baker,FALSE,24,34,L,0,,,H,SOURCE_PROGRAM_HOME,,,Manhattan,KS,,,REGULAR_SEASON,,144,M5 | BAKER (Kan.) | L | 24-34,RESOLVED,,RESEARCHED_UNRESOLVED_HOME_VENUE,"K-State institutional history establishes a Manhattan home game era with multiple pre-Nichols homecourts, but does not safely identify the exact building for this game.",,,,
kansas-state-0006,kansas-state,2025-26_KState_media_guide_year_by_year_results,1905-1906,1905,1905-12-08,vs. Campbell,Campbell College (KS),campbell-college-ks,FALSE,11,18,L,0,,,N,NEUTRAL,,,Glasco,KS,"Glasco Tournament - Glasco, Kan.",,REGULAR_SEASON,,144,"D8 | vs. Campbell | L | 11-18 | Glasco Tournament - Glasco, Kan.",RESOLVED,,RESEARCHED_UNRESOLVED,"Kansas State source establishes the 1905 Glasco Tournament in Glasco, Kansas, but accepted evidence does not safely identify the physical building.",,,,
kansas-state-0007,kansas-state,2025-26_KState_media_guide_year_by_year_results,1905-1906,1905,1905-12-08,vs. Glasco Athletics,Glasco Athletics,glasco-athletics,FALSE,15,23,L,0,,,N,NEUTRAL,,,Glasco,KS,"Glasco Tournament - Glasco, Kan.",,REGULAR_SEASON,,144,"D8 | vs. Glasco Athletics | L | 15-23 | Glasco Tournament - Glasco, Kan.",RESOLVED,,RESEARCHED_UNRESOLVED,"Kansas State source establishes the 1905 Glasco Tournament in Glasco, Kansas, but accepted evidence does not safely identify the physical building.",,,,
kansas-state-0008,kansas-state,2025-26_KState_media_guide_year_by_year_results,1905-1906,1905,1905-12-09,at Glasco High School,Glasco High School,glasco-high-school,FALSE,20,30,L,0,,,A,OPPONENT_HOME,,,,,"Glasco Tournament - Glasco, Kan.",,REGULAR_SEASON,,144,"D9 | at Glasco High School | L | 20-30 | Glasco Tournament - Glasco, Kan.",RESOLVED,,,,,,,
kansas-state-0009,kansas-state,2025-26_KState_media_guide_year_by_year_results,1905-1906,1905,1905-12-09,vs. Washburn (Kan.),Washburn,washburn,FALSE,22,43,L,0,,,N,NEUTRAL,,,Glasco,KS,"Glasco Tournament - Glasco, Kan.",,REGULAR_SEASON,,144,"D9 | vs. Washburn (Kan.) | L | 22-43 | Glasco Tournament - Glasco, Kan.",RESOLVED,,RESEARCHED_UNRESOLVED,"Kansas State source establishes the 1905 Glasco Tournament in Glasco, Kansas, but accepted evidence does not safely identify the physical building.",,,,
kansas-state-0010,kansas-state,2025-26_KState_media_guide_year_by_year_results,1905-1906,1905,1905-12-09,vs. Minneapolis High School,Minneapolis High School,minneapolis-high-school,FALSE,15,6,W,0,,,N,NEUTRAL,,,Glasco,KS,"Glasco Tournament - Glasco, Kan.",,REGULAR_SEASON,,144,"D9 | vs. Minneapolis High School | W | 15-6 | Glasco Tournament - Glasco, Kan.",RESOLVED,,RESEARCHED_UNRESOLVED,"Kansas State source establishes the 1905 Glasco Tournament in Glasco, Kansas, but accepted evidence does not safely identify the physical building.",,,,
kansas-state-0011,kansas-state,2025-26_KState_media_guide_year_by_year_results,1905-1906,1905,1906-01-19,FORT RILEY,Fort Riley,fort-riley,FALSE,46,19,W,0,,,H,SOURCE_PROGRAM_HOME,,,Manhattan,KS,"Glasco Tournament - Glasco, Kan.",,REGULAR_SEASON,,144,"J19 | FORT RILEY | W | 46-19 | Glasco Tournament - Glasco, Kan.",RESOLVED,,RESEARCHED_UNRESOLVED_HOME_VENUE,"K-State institutional history establishes a Manhattan home game era with multiple pre-Nichols homecourts, but does not safely identify the exact building for this game.",,,,
