source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
kansas-state,ahearn-field-house,VEN-000001,Ahearn Field House,,Manhattan,KS,fieldhouse,1950-12-09,,exact,468,1950-12-09,1988-03-05,primary_home,1950-12-09,1988-03-05,exact,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Kansas State Stage 3A/3B site research; physical identity reconciled to research_base_sha de0c67405881b7be716c93ecb46f6ae2ea8e29ca.,Research-base global venue identity reused (VEN-000001); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000001.
kansas-state,allen-fieldhouse,VEN-000003,Allen Fieldhouse,,Lawrence,KS,fieldhouse,,,,20,1956-03-16,1970-03-14,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Kansas State Stage 3A/3B site research; physical identity reconciled to research_base_sha de0c67405881b7be716c93ecb46f6ae2ea8e29ca.,Research-base global venue identity reused (VEN-000003); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000003.
kansas-state,allstate-arena,VEN-000004,Allstate Arena,Rosemont Horizon,Rosemont,IL,arena,,,,2,1983-11-25,1983-11-26,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Kansas State Stage 3A/3B site research; physical identity reconciled to research_base_sha de0c67405881b7be716c93ecb46f6ae2ea8e29ca.,Research-base global venue identity reused (VEN-000004); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000004.
kansas-state,amerant-bank-arena,VEN-000009,Amerant Bank Arena,,Sunrise,FL,arena,,,,1,2010-12-18,2010-12-18,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Kansas State Stage 3A/3B site research; physical identity reconciled to research_base_sha de0c67405881b7be716c93ecb46f6ae2ea8e29ca.,Research-base global venue identity reused (VEN-000009); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000009.
kansas-state,american-airlines-center,VEN-000010,American Airlines Center,,Dallas,TX,arena,,,,3,2003-03-13,2006-03-09,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Kansas State Stage 3A/3B site research; physical identity reconciled to research_base_sha de0c67405881b7be716c93ecb46f6ae2ea8e29ca.,Research-base global venue identity reused (VEN-000010); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000010.
kansas-state,amica-mutual-pavilion,VEN-000011,Amica Mutual Pavilion,Providence Civic Center,Providence,RI,arena,,,,2,1975-03-20,1975-03-22,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Kansas State Stage 3A/3B site research; physical identity reconciled to research_base_sha de0c67405881b7be716c93ecb46f6ae2ea8e29ca.,Research-base global venue identity reused (VEN-000011); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000011.
kansas-state,baha-mar-convention-center,VEN-000267,Baha Mar Convention Center,,Nassau,BS,arena,,,,2,2023-11-17,2023-11-19,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Kansas State Stage 3A/3B site research; physical identity reconciled to research_base_sha de0c67405881b7be716c93ecb46f6ae2ea8e29ca.,Research-base global venue identity reused (VEN-000267); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000267.
kansas-state,barclays-center,VEN-000020,Barclays Center,,Brooklyn,NY,arena,,,,3,2013-12-28,2016-11-26,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Kansas State Stage 3A/3B site research; physical identity reconciled to research_base_sha de0c67405881b7be716c93ecb46f6ae2ea8e29ca.,Research-base global venue identity reused (VEN-000020); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000020.
kansas-state,bob-devaney-sports-center,VEN-000023,Bob Devaney Sports Center,Devaney Center,Lincoln,NE,arena,,,,3,1980-03-06,1984-03-06,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Kansas State Stage 3A/3B site research; physical identity reconciled to research_base_sha de0c67405881b7be716c93ecb46f6ae2ea8e29ca.,Research-base global venue identity reused (VEN-000023); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000023.
kansas-state,bramlage-coliseum,VEN-000027,Bramlage Coliseum,,Manhattan,KS,arena,1988-11-26,,exact_start,612,1988-11-26,2026-03-03,primary_home,1988-11-26,,exact_start,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Kansas State Stage 3A/3B site research; physical identity reconciled to research_base_sha de0c67405881b7be716c93ecb46f6ae2ea8e29ca.,Research-base global venue identity reused (VEN-000027); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000027.
kansas-state,carver-hawkeye-arena,VEN-000037,Carver-Hawkeye Arena,,Iowa City,IA,arena,,,,1,2024-03-19,2024-03-19,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Kansas State Stage 3A/3B site research; physical identity reconciled to research_base_sha de0c67405881b7be716c93ecb46f6ae2ea8e29ca.,Research-base global venue identity reused (VEN-000037); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000037.
kansas-state,provisional-casper-events-center,VEN-000469,Casper Events Center,,Casper,WY,arena,,,,1,2004-12-11,2004-12-11,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Kansas State Stage 3A/3B site research; physical identity reconciled to research_base_sha de0c67405881b7be716c93ecb46f6ae2ea8e29ca.,Research-time new physical identity; venue_key and blank numeric ID are provisional and require current-main rebase before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000469.
kansas-state,charles-koch-arena,VEN-000039,Charles Koch Arena,Univ. of Wichita Field House;WSU Field House,Wichita,KS,arena,,,,4,1964-03-13,1968-03-16,,,,,Physical venue identity/location does not establish H/A/N; curated_site_type remains independently sourced.,Accepted Kansas State Stage 3A/3B site research; physical identity reconciled to research_base_sha de0c67405881b7be716c93ecb46f6ae2ea8e29ca.,Research-base global venue identity reused (VEN-000039); current-main rebase still required before tracked Phase 0. Integration rebase resolved final global venue ID VEN-000039.
