source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
kansas,# Rice,rice,Rice,Yes,1,1941-1942,1941-1942,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,22 Hawai’i,hawai-i,Hawai'i,Yes,1,1992-1993,1992-1993,resolved,Ranking/extraction residue removed,,
kansas,Abilene Christian,abilene-christian,Abilene Christian,Yes,1,1984-1985,1984-1985,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Air Force,air-force,Air Force,Yes,2,1960-1961,1961-1962,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Alaska-Anchorage,alaska-anchorage,Alaska Anchorage,No,1,1988-1989,1988-1989,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Albany,ualbany,Albany,Yes,1,2008-2009,2008-2009,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Alcorn State,alcorn-state,Alcorn State,Yes,4,1981-1982,2009-2010,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,American,american-university,American,Yes,2,1987-1988,2012-2013,resolved,Exact canonical-name match among inherited aliases,,
kansas,Appalachian State,app-state,Appalachian State,Yes,1,1987-1988,1987-1988,resolved,Exact canonical-name match among inherited aliases,,
kansas,Arizona,arizona,Arizona,Yes,16,1979-1980,2025-2026,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Arizona State,arizona-state,Arizona State,Yes,13,1961-1962,2025-2026,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Arkansas,arkansas,Arkansas,Yes,15,1946-1947,2024-2025,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Arkansas-Little Rock,little-rock,Little Rock,Yes,2,1991-1992,1993-1994,resolved,Clear Kansas/source alias,,
kansas,Armour Institute,armour-institute,Armour Institute,No,1,1905-1906,1905-1906,resolved,New historical/non-current identity using source label,,
kansas,Auburn,auburn,Auburn,Yes,2,1984-1985,2018-2019,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Augustana (S. D. ),augustana,Augustana,No,1,1974-1975,1974-1975,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Austin Peay,austin-peay,Austin Peay,Yes,1,2015-2016,2015-2016,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,BYU,byu,BYU,Yes,4,2019-2020,2025-2026,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Baker,baker,Baker,No,16,1905-1906,1939-1940,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Ball State,ball-state,Ball State,Yes,3,1992-1993,2006-2007,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Baylor,baylor,Baylor,Yes,49,1951-1952,2025-2026,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Belmont,belmont,Belmont,Yes,2,2009-2010,2012-2013,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Bethany,bethany,Bethany,No,2,1908-1909,1909-1910,resolved,New historical/non-current identity using source label,,
kansas,Bethel,bethel,Bethel,No,1,1941-1942,1941-1942,resolved,New historical/non-current identity using source label,,
kansas,Binghamton,binghamton,Binghamton,Yes,1,2003-2004,2003-2004,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Birm. -Southern,birm-southern,Birm. -Southern,No,1,1979-1980,1979-1980,resolved,New historical/non-current identity using source label,,
kansas,Boise State,boise-state,Boise State,Yes,3,1975-1976,2000-2001,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Boston College,boston-college,Boston College,Yes,3,1968-1969,2007-2008,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Boston University,boston-university,Boston University,Yes,1,2010-2011,2010-2011,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Bowling Green,bowling-green,Bowling Green,Yes,1,1982-1983,1982-1983,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Bradley,bradley,Bradley,Yes,2,1949-1950,2005-2006,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Brigham Young,byu,BYU,Yes,4,1959-1960,1992-1993,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Brown,brown,Brown,Yes,3,1988-1989,2024-2025,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Bucknell,bucknell,Bucknell,Yes,1,2004-2005,2004-2005,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Cal-State Northridge,cal-state-northridge,CSUN,Yes,1,2000-2001,2000-2001,resolved,Exact canonical-name match among inherited aliases,,
kansas,Cal. -Bakersfield,cal-state-bakersfield,Cal State Bakersfield,Yes,1,1979-1980,1979-1980,resolved,Current D1 naming normalization,,
kansas,California,california,California,Yes,19,1928-1929,2010-2011,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,California Baptist,california-baptist,Cal Baptist,Yes,1,2025-2026,2025-2026,resolved,2025-26 curated schedule / current-D1 registry,,
kansas,Camp Crowder,camp-crowder,Camp Crowder,No,2,1942-1943,1942-1943,resolved,New historical/non-current identity using source label,,
kansas,Camp Funston,camp-funston,Camp Funston,No,1,1917-1918,1917-1918,resolved,New historical/non-current identity using source label,,
kansas,Canisius,canisius,Canisius,Yes,2,1957-1958,1958-1959,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Carleton (Minn. ),carleton-minn,Carleton (Minn. ),No,1,1938-1939,1938-1939,resolved,New historical/non-current identity using source label,,
kansas,Centenary,centenary,Centenary,No,1,1948-1949,1948-1949,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
