source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,administrative_status,administrative_note,identity_override,identity_match_program_key,identity_match_source_game_id,identity_override_basis,notes
KURAW-00001,kansas,historical_media_guide,1898-1899,1899,1899-02-03,Kansas City YMCA,Kansas City YMCA,kansas-city-ymca,No,5,16,L,0,Opponent Home,OPPONENT_HOME,,,Kansas City,MO,,,REGULAR_SEASON,,196,"F3 Kansas City YMCA . . . . . . Kansas City, Mo. . . . . . . . . L . . . . . . 5-16",resolved,,,,,,,
KURAW-00002,kansas,historical_media_guide,1898-1899,1899,1899-02-10,Topeka YMCA,Topeka YMCA,topeka-ymca,No,31,6,W,0,Kansas Home,SOURCE_PROGRAM_HOME,,Snow Hall,Lawrence,KS,,,REGULAR_SEASON,,196,F10 Topeka YMCA . . . . . . . . . . Lawrence . . . . . . . . . . . . . W . . . . . . 31-6,resolved,,,,,,,
KURAW-00003,kansas,historical_media_guide,1898-1899,1899,1899-02-18,Lawrence YMCA,Lawrence YMCA,lawrence-ymca,No,14,4,W,0,Kansas Home,SOURCE_PROGRAM_HOME,,Snow Hall,Lawrence,KS,,,REGULAR_SEASON,,196,F18 Lawrence YMCA . . . . . . . . Lawrence . . . . . . . . . . . . . W . . . . . . 14-4,resolved,,,,,,,
KURAW-00004,kansas,historical_media_guide,1898-1899,1899,1899-02-25,Kansas City YMCA,Kansas City YMCA,kansas-city-ymca,No,17,14,W,0,Kansas Home,SOURCE_PROGRAM_HOME,,Snow Hall,Lawrence,KS,,,REGULAR_SEASON,,196,F25 Kansas City YMCA . . . . . . Lawrence . . . . . . . . . . . . . W . . . . . . 17-14,resolved,,,,,,,
KURAW-00005,kansas,historical_media_guide,1898-1899,1899,1899-03-03,Topeka YMCA,Topeka YMCA,topeka-ymca,No,27,17,W,0,Opponent Home,OPPONENT_HOME,,,Topeka,KS,,,REGULAR_SEASON,,196,"M3 Topeka YMCA . . . . . . . . . . Topeka, Kan. . . . . . . . . . . . W . . . . . 27-17",resolved,,,,,,,
KURAW-00006,kansas,historical_media_guide,1898-1899,1899,1899-03-08,Topeka YMCA,Topeka YMCA,topeka-ymca,No,23,12,W,0,Opponent Home,OPPONENT_HOME,,,Topeka,KS,,,REGULAR_SEASON,,196,"M8 Topeka YMCA . . . . . . . . . . Topeka, Kan. . . . . . . . . . . . W . . . . . 23-12",resolved,,,,,,,
KURAW-00007,kansas,historical_media_guide,1898-1899,1899,1899-03-23,Haskell,Haskell,haskell,No,29,8,W,0,Kansas Home,SOURCE_PROGRAM_HOME,,Snow Hall,Lawrence,KS,,,REGULAR_SEASON,,196,M23 Haskell . . . . . . . . . . . . . . . . Lawrence . . . . . . . . . . . . . W . . . . . . 29-8,resolved,,,,,,,
KURAW-00008,kansas,historical_media_guide,1898-1899,1899,1899-03-27,Kansas City AC,Kansas City AC,kansas-city-ac,No,5,19,L,0,Opponent Home,OPPONENT_HOME,,,Kansas City,MO,,,REGULAR_SEASON,,196,"M27 Kansas City AC . . . . . . . . . Kansas City, Mo. . . . . . . . . L . . . . . . 5-19",resolved,,,,,,,
KURAW-00009,kansas,historical_media_guide,1898-1899,1899,1899-03-30,Independence (Mo. ),Independence (Mo. ),independence-mo,No,15,21,L,0,Opponent Home,OPPONENT_HOME,,,Independence,MO,,,REGULAR_SEASON,,196,"M30 Independence (Mo. ) . . . . Independence, Mo. . . . . . L . . . . . . 15-21",resolved,,,,,,,
KURAW-00010,kansas,historical_media_guide,1898-1899,1899,1899-03-31,Independence (Mo. ),Independence (Mo. ),independence-mo,No,10,22,L,0,Opponent Home,OPPONENT_HOME,,,Independence,MO,,,REGULAR_SEASON,,196,"M31 Independence (Mo. ) . . . . Independence, Mo. . . . . . L . . . . . 10-22",resolved,,,,,,,
KURAW-00011,kansas,historical_media_guide,1898-1899,1899,1899-04-03,William Jewell,William Jewell,william-jewell,No,19,3,W,0,Opponent Home,OPPONENT_HOME,,,Liberty,MO,,,REGULAR_SEASON,,196,"A3 William Jewell . . . . . . . . . Liberty, Mo. . . . . . . . . . . . . W . . . . . . 19-3",resolved,,,,,,,
KURAW-00012,kansas,historical_media_guide,1899-1900,1900,1900-01-20,Haskell,Haskell,haskell,No,14,5,W,0,Kansas Home,SOURCE_PROGRAM_HOME,,Snow Hall,Lawrence,KS,,,REGULAR_SEASON,,196,J20 Haskell . . . . . . . . . . . . . . . . Lawrence . . . . . . . . . . . . . W . . . . . . 14-5,resolved,,,,,,,
KURAW-00013,kansas,historical_media_guide,1899-1900,1900,1900-02-02,Haskell,Haskell,haskell,No,13,7,W,0,Kansas Home,SOURCE_PROGRAM_HOME,,Snow Hall,Lawrence,KS,,,REGULAR_SEASON,,196,F2 Haskell . . . . . . . . . . . . . . . . Lawrence . . . . . . . . . . . . . W . . . . . . 13-7,resolved,,,,,,,
KURAW-00014,kansas,historical_media_guide,1899-1900,1900,1900-02-09,Topeka YMCA,Topeka YMCA,topeka-ymca,No,14,28,L,0,Opponent Home,OPPONENT_HOME,,,Topeka,KS,,,REGULAR_SEASON,,196,"F9 Topeka YMCA . . . . . . . . . . Topeka, Kan. . . . . . . . . . . . L . . . . . 14-28",resolved,,,,,,,
KURAW-00015,kansas,historical_media_guide,1899-1900,1900,1900-02-16,Kansas City YMCA,Kansas City YMCA,kansas-city-ymca,No,8,18,L,0,Opponent Home,OPPONENT_HOME,,,Kansas City,MO,,,REGULAR_SEASON,,196,"F16 Kansas City YMCA . . . . . . Kansas City, Mo. . . . . . . . . L . . . . . . 8-18",resolved,,,,,,,
KURAW-00016,kansas,historical_media_guide,1899-1900,1900,1900-03-02,Nebraska,Nebraska,nebraska,Yes,8,48,L,0,Opponent Home,OPPONENT_HOME,,,Lincoln,NE,,,REGULAR_SEASON,,196,"M2 Nebraska . . . . . . . . . . . . . . Lincoln, Neb. . . . . . . . . . . L . . . . . . 8-48",resolved,,,,,,,
KURAW-00017,kansas,historical_media_guide,1899-1900,1900,1900-03-03,Omaha YMCA,Omaha YMCA,omaha-ymca,No,12,10,W,0,Opponent Home,OPPONENT_HOME,,,Omaha,NE,,,REGULAR_SEASON,,196,"M3 Omaha YMCA . . . . . . . . . . Omaha, Neb. . . . . . . . . . . W . . . . . . 12-10",resolved,,,,,,,
KURAW-00018,kansas,historical_media_guide,1899-1900,1900,1900-03-06,Kansas City YMCA,Kansas City YMCA,kansas-city-ymca,No,15,21,L,0,Kansas Home,SOURCE_PROGRAM_HOME,,Snow Hall,Lawrence,KS,,,REGULAR_SEASON,,196,M6 Kansas City YMCA . . . . . . Lawrence . . . . . . . . . . . . . . L . . . . . . 15-21,resolved,,,,,,,
