source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,administrative_status,administrative_note,identity_override,identity_match_program_key,identity_match_source_game_id,identity_override_basis,notes
KYRAW-00001,kentucky,historical_record_book,1902-1903,1903,1903-02-06,Georgetown (Ky.),Georgetown College (KY),georgetown-college-ky,,6,15,L,0,Kentucky Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,163,Feb. 6 GEORGETOWN 6-15 L,resolved,,,,,,,
KYRAW-00002,kentucky,historical_record_book,1902-1903,1903,1903-02-18,Lexington YMCA,Lexington YMCA,lexington-ymca,No,11,10,W,0,Kentucky Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,163,Feb. 18 LEXINGTON YMCA 11-10 W,resolved,,,,,,,
KYRAW-00003,kentucky,historical_record_book,1902-1903,1903,1903-02-20,Transylvania,Transylvania,transylvania,No,2,42,L,0,Kentucky Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,163,Feb. 20 TRANSYLVANIA 2-42 L,resolved,,,,,,,
KYRAW-00004,kentucky,historical_record_book,1903-1904,1904,1904-02-04,Georgetown (Ky.),Georgetown College (KY),georgetown-college-ky,,11,26,L,0,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,163,Feb. 4 at Georgetown 11-26 L,resolved,,,,,,,
KYRAW-00005,kentucky,historical_record_book,1903-1904,1904,1904-02-12,Transylvania,Transylvania,transylvania,No,5,12,L,0,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,163,Feb. 12 at Transylvania# 5-12 L,resolved,,,,,,,
KYRAW-00006,kentucky,historical_record_book,1903-1904,1904,1904-02-13,Georgetown (Ky.),Georgetown College (KY),georgetown-college-ky,,10,22,L,0,Kentucky Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,163,Feb. 13 GEORGETOWN 10-22 L,resolved,,,,,,,
KYRAW-00007,kentucky,historical_record_book,1903-1904,1904,1904-02-26,Transylvania,Transylvania,transylvania,No,12,14,L,0,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,163,Feb. 26 at Transylvania 12-14 L,resolved,,,,,,,
KYRAW-00008,kentucky,historical_record_book,1903-1904,1904,1904-03-04,Cincinnati,Cincinnati,cincinnati,Yes,25,21,W,0,Kentucky Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,163,Mar. 4 CINCINNATI 25-21 W,resolved,,,,,,,
KYRAW-00009,kentucky,historical_record_book,1904-1905,1905,1905-01-13,Georgetown (Ky.),Georgetown College (KY),georgetown-college-ky,,9,14,L,0,Kentucky Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,163,Jan. 13 GEORGETOWN 9-14 L,resolved,,,,,,,
KYRAW-00010,kentucky,historical_record_book,1904-1905,1905,1905-01-21,Cincinnati YMCA,Cincinnati YMCA,cincinnati-ymca,No,22,43,L,0,Kentucky Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,163,Jan. 21 CINCINNATI YMCA 22-43 L,resolved,,,,,,,
KYRAW-00011,kentucky,historical_record_book,1904-1905,1905,1905-01-27,Transylvania,Transylvania,transylvania,No,30,29,W,0,Kentucky Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,163,Jan. 27 TRANSYLVANIA 30-29 W,resolved,,,,,,,
KYRAW-00012,kentucky,historical_record_book,1904-1905,1905,1905-02-04,Transylvania,Transylvania,transylvania,No,1,22,L,0,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,163,Feb. 4 at Transylvania 1-22 L,resolved,,,,,,,
KYRAW-00013,kentucky,historical_record_book,1904-1905,1905,1905-02-22,Transylvania,Transylvania,transylvania,No,23,33,L,0,Kentucky Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,163,Feb. 22 TRANSYLVANIA 23-33 L,resolved,,,,,,,
KYRAW-00014,kentucky,historical_record_book,1905-1906,1906,1906-01-11,Transylvania,Transylvania,transylvania,No,,,W,0,Neutral,NEUTRAL,,,,,,,REGULAR_SEASON,,163,Jan. 11 LEXINGTON YMCA# W,resolved,,,,,,,
KYRAW-00015,kentucky,historical_record_book,1905-1906,1906,1906-01-12,Miami (Ohio),Miami University,miami-oh,Yes,10,15,L,0,Kentucky Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,163,Jan. 12 MIAMI (OHIO) 10-15 L,resolved,,,,,,,
KYRAW-00016,kentucky,historical_record_book,1905-1906,1906,1906-01-19,Central,Centre,centre,No,15,14,W,0,Kentucky Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,163,Jan. 19 CENTRAL U. 15-14 W,resolved,,,,,,,
KYRAW-00017,kentucky,historical_record_book,1905-1906,1906,1906-01-20,Georgetown (Ky.),Georgetown College (KY),georgetown-college-ky,,9,34,L,0,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,163,Jan. 20 at Georgetown 9-34 L,resolved,,,,,,,
KYRAW-00018,kentucky,historical_record_book,1905-1906,1906,1906-01-26,Central,Centre,centre,No,17,15,W,0,Opponent Home,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,163,Jan. 26 at Central U. 17-15 W,resolved,,,,,,,
KYRAW-00019,kentucky,historical_record_book,1905-1906,1906,1906-01-27,Cincinnati YMCA,Cincinnati YMCA,cincinnati-ymca,No,16,23,L,0,Kentucky Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,163,Jan. 27 CINCINNATI YMCA 16-23 L,resolved,,,,,,,
KYRAW-00020,kentucky,historical_record_book,1905-1906,1906,1906-02-03,Christ Church,Christ Church,christ-church,,24,38,L,0,Kentucky Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,163,"Feb. 3 Christ Church, Cin. 24-38 L",resolved,,,,,,,
KYRAW-00021,kentucky,historical_record_book,1905-1906,1906,1906-02-08,Georgetown (Ky.),Georgetown College (KY),georgetown-college-ky,,22,28,L,0,Kentucky Home,SOURCE_PROGRAM_HOME,,,,,,,REGULAR_SEASON,,163,Feb. 8 GEORGETOWN 22-28 L,resolved,,,,,,,
